Language	Total Entities	Avg Entities per Text	Total Tokens	Avg Tokens per Text	Unique Entities	Unique Tokens	Reviewed	Unreviewed Fleiss Kappa	Reviewed Fleiss Kappa	delta
amh	10748	3.359	24233	7.573	33	5270	True	0.8364	0.9327	0.0963
ewe	11563	3.613	33210	10.378	34	4422	True	0.8535	0.9997	0.1462
hau	11792	3.685	32330	10.103	33	1896	True	0.8632	0.996	0.1328
ibo	12639	3.942	35036	10.928	33	3860	True	0.7982	0.9732	0.1751
kin	10753	3.36	30216	9.443	34	6112	True	0.7115	0.9588	0.2473
lin	11400	3.562	29571	9.241	33	2672	True	0.798	0.9903	0.1923
lug	12262	3.828	33368	10.418	33	6589	True	0.8641	0.9897	0.1256
orm	12570	3.928	29429	9.197	33	5706	True	0.8436	0.9919	0.1483
sna	15779	4.931	32901	10.282	33	8206	True	0.9343	0.9763	0.0419
sot	6699	2.093	29515	9.223	34	3323	True	0.6703	0.9969	0.3266
swa	14750	4.609	38822	12.132	34	4603	True	0.8636	0.9846	0.121
twi	14881	4.65	44303	13.845	34	4775	True	0.9125	0.9862	0.0737
wol	11265	3.52	37120	11.6	33	3460	True	0.7259	0.9412	0.2154
xho	12673	3.96	26118	8.162	33	5086	True	0.804	0.9357	0.1318
yor	13886	4.339	43319	13.537	34	3103	True	0.8468	0.988	0.1413
zul	12330	3.856	26496	8.285	34	7742	True	0.6181	0.9121	0.294


Merged Entity Data Analysis

amh	10555	3.298	24233	7.573	23	5270	True	0.85	0.935	0.085
ewe	11181	3.494	33210	10.378	23	4422	True	0.8751	0.9997	0.1246
hau	11491	3.591	32330	10.103	23	1896	True	0.8916	0.9967	0.1051
ibo	12246	3.82	35036	10.928	23	3860	True	0.8124	0.9734	0.161
kin	10112	3.16	30216	9.443	23	6112	True	0.7395	0.9634	0.2239
lin	11025	3.445	29571	9.241	23	2672	True	0.8228	0.9903	0.1675
lug	11769	3.674	33368	10.418	23	6589	True	0.8882	0.9899	0.1017
orm	11958	3.737	29429	9.197	23	5706	True	0.8493	0.992	0.1427
sna	15222	4.757	32901	10.282	23	8206	True	0.935	0.9758	0.0408
sot	6468	2.021	29515	9.223	23	3323	True	0.694	0.9969	0.3029
swa	14217	4.443	38822	12.132	23	4603	True	0.8784	0.9855	0.1071
twi	14325	4.477	44303	13.845	23	4775	True	0.9161	0.9863	0.0702
wol	10942	3.419	37120	11.6	23	3460	True	0.7283	0.9415	0.2133
xho	12475	3.898	26118	8.162	23	5086	True	0.8247	0.9378	0.1131
yor	13620	4.256	43319	13.537	23	3103	True	0.8623	0.9883	0.126
zul	11911	3.725	26496	8.285	23	7742	True	0.6402	0.9127	0.2725
