domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,which account has the most money,3:5:SL:CURRENCY,[IN:balance [SL:CURRENCY ብር] ],CURRENCY: ብር,amh
banking,balance,tell me the current balance in my bank accounts.,,[IN:balance ],,amh
banking,balance,how much money is in my bank account right now.,,[IN:balance ],,amh
banking,balance,How much money do i have in my bank account?,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አዋሽ ባንክ] ],BANK_NAME: አዋሽ ባንክ,amh
banking,balance,how much is my bank account balance?,,[IN:balance ],,amh
banking,balance,how much do i have in my bank account now?,,[IN:balance ],,amh
banking,balance,Is there enough money in my dash account to buy some furniture?,26:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ዳሽን] ],BANK_NAME: ዳሽን,amh
banking,balance,Is there enough money in my savings account to buy some furniture?,26:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አዋሽ] ],BANK_NAME: አዋሽ,amh
banking,balance,I have money for sofa in the bank account of Abyei,"2:9:SL:BANK_NAME,17:19:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME አባይ ባንክ] [SL:SHOPPING_ITEM ሶፋ] ],BANK_NAME: አባይ ባንክ $$ SHOPPING_ITEM: ሶፋ,amh
banking,balance,"I need some clothes, do I have enough money in my Amara Bank account?",22:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አማራ ባንክ] ],BANK_NAME: አማራ ባንክ,amh
banking,balance,Check my bank account to see if I have enough money for these clothes,"6:10:SL:SHOPPING_ITEM,31:38:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM ልብሶች] [SL:BANK_NAME አዋሽ ባንክ] ],SHOPPING_ITEM: ልብሶች $$ BANK_NAME: አዋሽ ባንክ,amh
banking,balance,Tell me my bank account,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አባይ ባንክ] ],BANK_NAME: አባይ ባንክ,amh
banking,balance,You can tell me my bank account,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ዳሽን ባንክ] ],BANK_NAME: ዳሽን ባንክ,amh
