domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,Do I still have money in my purse?,,[IN:balance ],,xho
banking,balance,Please look at the money in my bag.,,[IN:balance ],,xho
banking,balance,Please check with my Absa if I can afford to buy the iPads.,"20:26:SL:BANK_NAME,65:70:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME kuAbsa] [SL:SHOPPING_ITEM iiPad] ],BANK_NAME: kuAbsa $$ SHOPPING_ITEM: iiPad,xho
banking,balance,Can you check my Absa account to see if I have enough money to buy the iPads?,"41:49:SL:BANK_NAME,84:89:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME yaseAbsa] [SL:SHOPPING_ITEM iiPad] ],BANK_NAME: yaseAbsa $$ SHOPPING_ITEM: iiPad,xho
banking,balance,Please check that I have enough money in the Time Bank to buy a cabinet.,"50:62:SL:BANK_NAME,74:83:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME kwaTyme Bank] [SL:SHOPPING_ITEM ikhabhati] ],BANK_NAME: kwaTyme Bank $$ SHOPPING_ITEM: ikhabhati,xho
banking,balance,You can check if I have enough money in the Time Bank to buy a new coat.,"54:66:SL:BANK_NAME,81:90:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME kwaTyme Bank] [SL:SHOPPING_ITEM ikhabhati] ],BANK_NAME: kwaTyme Bank $$ SHOPPING_ITEM: ikhabhati,xho
banking,balance,How much money is left in my Old Mutual bank account?,50:65:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaOld Mutual] ],BANK_NAME: yakwaOld Mutual,xho
banking,balance,Can you check my Old Mutual account?,59:74:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaOld Mutual] ],BANK_NAME: yakwaOld Mutual,xho
banking,balance,How much money do I have in my Investec account?,35:48:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaInvestec] ],BANK_NAME: yakwaInvestec,xho
banking,balance,Please check how much money I have at Investec.,38:49:SL:BANK_NAME,[IN:balance [SL:BANK_NAME kwaInvestec] ],BANK_NAME: kwaInvestec,xho
banking,balance,Do I have any money left in my Investec account?,52:65:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaInvestec] ],BANK_NAME: yakwaInvestec,xho
banking,balance,Do I have any money in First Rand?,29:40:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eFirst Rand] ],BANK_NAME: eFirst Rand,xho
banking,balance,Do I have money in Nedcor?,14:21:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eNedcor] ],BANK_NAME: eNedcor,xho
banking,balance,How much money is left in my Gensec Bank account?,40:55:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseGensec Bank] ],BANK_NAME: yaseGensec Bank,xho
banking,balance,Do I still have money in the Rand Merchant Bank?,19:38:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eRand Merchant Bank] ],BANK_NAME: eRand Merchant Bank,xho
banking,balance,Do I have a bank account?,14:22:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eseUBank] ],BANK_NAME: eseUBank,xho
banking,balance,Can you check how much money is left in my Absa account?,45:53:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseAbsa] ],BANK_NAME: yaseAbsa,xho
banking,balance,Please check my Nedbank account.,55:66:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseNedbank] ],BANK_NAME: yaseNedbank,xho
banking,balance,Can you check my savings account in Timebank for me?,"30:56:SL:ACCOUNT_TYPE,57:70:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE iakhawunti yam yogcinomali] [SL:BANK_NAME uyaseTymebank] ],ACCOUNT_TYPE: iakhawunti yam yogcinomali $$ BANK_NAME: uyaseTymebank,xho
banking,balance,"After buying a $500 pair of shoes, how much money do I have left in the bank?",26:32:SL:MONEY,[IN:balance [SL:MONEY seR500] ],MONEY: seR500,xho
banking,balance,How much money do I have left to pay off the debt to Absa?,56:64:SL:BANK_NAME,[IN:balance [SL:BANK_NAME laseAbsa] ],BANK_NAME: laseAbsa,xho
banking,balance,How much money is left on my Telkom account?,34:57:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kwityala lam laseTelkom] ],BILL_TYPE: kwityala lam laseTelkom,xho
banking,balance,Please check how much I have to pay at Vodacom.,,[IN:balance ],,xho
banking,balance,Can you ask me in Absa how much money I have earned from my investment?,23:28:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eAbsa] ],BANK_NAME: eAbsa,xho
banking,balance,How much money has been added to my savings account?,36:64:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE kwiakhawunti yam yogcinomali] ],ACCOUNT_TYPE: kwiakhawunti yam yogcinomali,xho
banking,balance,How much money do I have left in the bank?,,[IN:balance ],,xho
banking,balance,Do I have any money left in the bank?,,[IN:balance ],,xho
banking,balance,"After the car pulls over, do I have any money left in the bank?",,[IN:balance ],,xho
banking,balance,Do I have enough money in the bank to buy a ticket to the ball?,,[IN:balance ],,xho
banking,balance,Can you check if I have enough money in the bank to buy a phone?,,[IN:balance ],,xho
banking,balance,Would I have enough money in the bank to pay the contribution?,,[IN:balance ],,xho
banking,balance,"Is my bank account up to $5,000?",15:24:SL:MONEY,[IN:balance [SL:MONEY kwiR5 000] ],MONEY: kwiR5 000,xho
banking,balance,"Could I afford to buy a $1,000 refrigerator with my savings?","34:48:SL:SHOPPING_ITEM,49:57:SL:MONEY",[IN:balance [SL:SHOPPING_ITEM isikhenkcezisi] [SL:MONEY seR7 000] ],SHOPPING_ITEM: isikhenkcezisi $$ MONEY: seR7 000,xho
banking,balance,How much money is left in my Capitec account?,37:48:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseCapitec] ],BANK_NAME: yaseCapitec,xho
banking,balance,How much money is left on my Truworths account?,36:60:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE iakhawunti yam yeempahla] ],BILL_TYPE: iakhawunti yam yeempahla,xho
banking,balance,Do I have any money left over from my mortgage?,,[IN:balance ],,xho
banking,balance,Will my account balance be enough to pay off my Absa loan?,"51:71:SL:BILL_TYPE,76:84:SL:BANK_NAME",[IN:balance [SL:BILL_TYPE ityala lemalimboleko] [SL:BANK_NAME yaseAbsa] ],BILL_TYPE: ityala lemalimboleko $$ BANK_NAME: yaseAbsa,xho
banking,balance,Please show me the money in my bank account.,,[IN:balance ],,xho
banking,balance,Can you show me the balance in my bank account?,,[IN:balance ],,xho
