domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,How much money is left in my Cairo account,52:57:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Cairo] ],BANK_NAME: Cairo,lug
banking,balance,"""What would I gain by saving $50 million a year in my savings account?","44:59:SL:MONEY,63:68:SL:DATE",[IN:balance [SL:MONEY obukadde ataano] [SL:DATE mwaka] ],MONEY: obukadde ataano $$ DATE: mwaka,lug
banking,balance,How much money does the school have in its Tropical bank account?,53:66:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Tropical bank] ],BANK_NAME: Tropical bank,lug
banking,balance,How much money is in all your work accounts in DFCU bank?,42:46:SL:BANK_NAME,[IN:balance [SL:BANK_NAME DFCU] ],BANK_NAME: DFCU,lug
banking,balance,Is there a limit on how often I can withdraw money from my Eco bank account?,94:97:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Eco] ],BANK_NAME: Eco,lug
banking,balance,Can I check my account balance in Eco bank by e-mail?,52:60:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Eco bank] ],BANK_NAME: Eco bank,lug
banking,balance,Can I check my bank account online?,,[IN:balance ],,lug
banking,balance,"""Do you have enough money in your KCB bank account to buy a bag?","29:32:SL:BANK_NAME,69:75:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME KCB] [SL:SHOPPING_ITEM ensawo] ],BANK_NAME: KCB $$ SHOPPING_ITEM: ensawo,lug
banking,balance,Do we have enough money in your Centenary bank account to buy children shoes?,"28:37:SL:BANK_NAME,82:89:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME Centenary] [SL:SHOPPING_ITEM engatto] ],BANK_NAME: Centenary $$ SHOPPING_ITEM: engatto,lug
banking,balance,Did you withdraw your money from your Tropical bank account?,38:51:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Tropical bank] ],BANK_NAME: Tropical bank,lug
banking,balance,Is there enough money in the school's account in Citi bank to buy 100 kilos of medicine?,"26:37:SL:BANK_NAME,71:82:SL:DISH_OR_FOOD,83:95:SL:NUMBER",[IN:balance [SL:BANK_NAME Citi bbanka] [SL:DISH_OR_FOOD ebijanjaalo] [SL:NUMBER kkiro kikumi] ],BANK_NAME: Citi bbanka $$ DISH_OR_FOOD: ebijanjaalo $$ NUMBER: kkiro kikumi,lug
banking,balance,Do I have enough money in my bank account to pay my mortgage this month?,"40:56:SL:BANK_NAME,95:106:SL:DATE",[IN:balance [SL:BANK_NAME bbanka of Africa] [SL:DATE omwezi guno] ],BANK_NAME: bbanka of Africa $$ DATE: omwezi guno,lug
banking,balance,I would like to know how much money is left in my account in Stanbic Bank after I withdraw my salary.,69:76:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Stanbic] ],BANK_NAME: Stanbic,lug
banking,balance,You can tell me the amount of money you have in your bank account in Cairo.,66:71:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Cairo] ],BANK_NAME: Cairo,lug
banking,balance,Your sick mother gave you her ATM details so that you could check her bank account.,104:108:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Absa] ],BANK_NAME: Absa,lug
banking,balance,Have you been forced to disclose your account balance to Standard Chartered?,54:72:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Standard Chartered] ],BANK_NAME: Standard Chartered,lug
banking,balance,How much money do I have in my Centenary account?,22:36:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Centenary bank] ],BANK_NAME: Centenary bank,lug
banking,balance,How often do I check my Eco bank account?,35:43:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Eco bank] ],BANK_NAME: Eco bank,lug
banking,balance,"After you withdrew money from your bank account, did you ask for the balance?",,[IN:balance ],,lug
banking,balance,How much money do you have left in your MTN MoMo account?,45:53:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY MTN MoMo] ],PAYMENT_COMPANY: MTN MoMo,lug
banking,balance,"If I ask for my account number at Stanbic Bank, will I be charged?",65:72:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Stanbic] ],BANK_NAME: Stanbic,lug
banking,balance,Does Tropical Bank tell me the balance of my account every time I withdraw money?,9:17:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Tropical] ],BANK_NAME: Tropical,lug
banking,balance,How do I know my bank account in Cairo via the Internet?,46:56:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Cairo bank] ],BANK_NAME: Cairo bank,lug
banking,balance,"""How much money do you have in your account in Absa bank?",40:49:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Absa bank] ],BANK_NAME: Absa bank,lug
banking,balance,Can I check my credit card online?,49:56:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Stanbic] ],BANK_NAME: Stanbic,lug
banking,balance,How do I know the amount of money in my Equity account using an ATM card?,62:68:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Equity] ],BANK_NAME: Equity,lug
banking,balance,How do I renew my credit card number?,,[IN:balance ],,lug
banking,balance,How much money do I have in my account at Stanbic Bank?,31:38:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Stanbic] ],BANK_NAME: Stanbic,lug
banking,balance,How much money should be left in any account in Standard Chartered bank?,31:49:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Standard Chartered] ],BANK_NAME: Standard Chartered,lug
banking,balance,How much money do you have in your Bank of Africa account?,19:33:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Bank of Africa] ],BANK_NAME: Bank of Africa,lug
banking,balance,How do I keep track of my online expenses?,,[IN:balance ],,lug
banking,balance,How do I know how much money is in my bank account on the day of the month I want?,52:61:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Absa bank] ],BANK_NAME: Absa bank,lug
banking,balance,How do I know how much money is in my account after I have lost it?,53:59:SL:CURRENCY,[IN:balance [SL:CURRENCY ddoola] ],CURRENCY: ddoola,lug
banking,balance,Did you tell your brother about your account balance in KCB Bank?,62:72:SL:BANK_NAME,[IN:balance [SL:BANK_NAME KCB Bbanka] ],BANK_NAME: KCB Bbanka,lug
banking,balance,I am sending the last balance of my account at Citibank Uganda.,61:76:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Citibank Uganda] ],BANK_NAME: Citibank Uganda,lug
banking,balance,How much money is allowed in a child's account in Centenary Bank?,74:83:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Centenary] ],BANK_NAME: Centenary,lug
banking,balance,Can I check my bank account using an ATM card?,,[IN:balance ],,lug
banking,balance,"""Is it true that you have no money in your Centenary account?",56:65:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Centenary] ],BANK_NAME: Centenary,lug
banking,balance,What happens if my Barclay account is closed and there is no money in it?,48:55:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Barclay] ],BANK_NAME: Barclay,lug
banking,balance,Who tells me what my bank account is worth?,,[IN:balance ],,lug
banking,balance,How do I know how much money is on my credit card?,,[IN:balance ],,lug
banking,balance,Do you know how they check the savings account in Baroda Bank?,"49:56:SL:ACCOUNT_TYPE,70:76:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE savings] [SL:BANK_NAME Baroda] ],ACCOUNT_TYPE: savings $$ BANK_NAME: Baroda,lug
banking,balance,How much money do you have on your Visa card?,,[IN:balance ],,lug
banking,balance,I want to know how much money I have in my bank account so that I can buy a refrigerator.,56:64:SL:SHOPPING_ITEM,[IN:balance [SL:SHOPPING_ITEM ffiriigi] ],SHOPPING_ITEM: ffiriigi,lug
banking,balance,"On an Equity bank account, do you save money to buy clothes?","15:28:SL:BANK_NAME,61:66:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME Equity bbanka] [SL:SHOPPING_ITEM ngoye] ],BANK_NAME: Equity bbanka $$ SHOPPING_ITEM: ngoye,lug
banking,balance,I would like to know the amount of money in my Cente Plus account in Centenary Bank.,"54:64:SL:ACCOUNT_TYPE,78:87:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE Cente Plus] [SL:BANK_NAME Centenary] ],ACCOUNT_TYPE: Cente Plus $$ BANK_NAME: Centenary,lug
banking,balance,How much money do you have in your fixed deposit account at Barclays Bank?,"40:53:SL:ACCOUNT_TYPE,57:72:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE fixed deposit] [SL:BANK_NAME Barclays bbanka] ],ACCOUNT_TYPE: fixed deposit $$ BANK_NAME: Barclays bbanka,lug
banking,balance,Is your DFCU budget enough to buy a washing machine?,"21:25:SL:BANK_NAME,42:62:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME DFCU] [SL:SHOPPING_ITEM ekyuma ekyoza engoye] ],BANK_NAME: DFCU $$ SHOPPING_ITEM: ekyuma ekyoza engoye,lug
banking,balance,I check my Housing Finance account through an agent.,41:56:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Housing Finance] ],BANK_NAME: Housing Finance,lug
banking,balance,Do I have enough money in my bank account to buy a car?,22:31:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Absa bank] ],BANK_NAME: Absa bank,lug
