domain,intent,text,spans,logical_form
banking,balance,mbongo boni eza na compte bancaire na nga ?,,[IN:balance ]
banking,balance,makuta boni eza na compte bancaire na nga ?,,[IN:balance ]
banking,balance,solde NGA ya compte bancaire na NGA eza boni?,,[IN:balance ]
banking,balance,mbongo boni naza Na yango na compte bancaire na NGA?,,[IN:balance ]
banking,balance,coffre fort na NGA eza wapi?,,[IN:balance ]
banking,balance,est-ce que mbongo eza ya kokoka na orange money na NGA PONA kosomba sabatu ya sika?,"35:47:SL:PAYMENT_COMPANY,68:74:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY orange money] [SL:SHOPPING_ITEM sabatu] ]
banking,balance,mbongo boni eza ya kokoka na orange money na NGA PONA kosomba sabatu ya sika?,29:41:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY orange money] ]
banking,balance,mbongo boni Na nionso eza na compte bancaire na NGA?,,[IN:balance ]
banking,balance,mbongo eza ya kokoka na orange money na NGA PONA kosomba sabatu ya sika?,"24:36:SL:PAYMENT_COMPANY,57:63:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY orange money] [SL:SHOPPING_ITEM sabatu] ]
banking,balance,"Na lingi na somba sabatu ya sika, makoki boni eza ya kokoka na orange money ?","18:24:SL:SHOPPING_ITEM,63:75:SL:PAYMENT_COMPANY",[IN:balance [SL:SHOPPING_ITEM sabatu] [SL:PAYMENT_COMPANY orange money] ]
banking,balance,Oko lakisa mbongo boni eza na compte bancaire na nga ?,,[IN:balance ]
banking,balance,okoki ko yebisa NGA mbongo boni eza na compte bancaire na NGA?,,[IN:balance ]
banking,balance,olingi ko yebisa NGA mbongo boni eza na compte bancaire na NGA?,,[IN:balance ]
banking,balance,Tala soki mbongo Oyo eza Na Mpesa Na NGA ekoki kosomba ba sapatu ya sika?,"28:33:SL:PAYMENT_COMPANY,58:64:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY Mpesa] [SL:SHOPPING_ITEM sapatu] ]
banking,balance,Yebisa NGA mbongo boni eza na compte bancaire na nga ?,,[IN:balance ]
banking,balance,yebisa NGA mbongo boni eza na compte bancaire na nga sikoyo?,53:59:SL:TIME,[IN:balance [SL:TIME sikoyo] ]
banking,balance,mbongo boni eza na compte courant na nga ?,19:33:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte courant] ]
banking,balance,solde ya compte courant na nga eza combien ?,9:23:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte courant] ]
banking,balance,naza na mosolo boni na compte épargne na nga ?,23:37:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte épargne] ]
banking,balance,Mbongo boni eza na compte épargne na nga ?,19:33:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte épargne] ]
banking,balance,Mbongo boni eza na MTN money?,19:28:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY MTN money] ]
banking,balance,naza na talo boni Na orange money ?,21:33:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY orange money] ]
banking,balance,mbongo boni eza na compte na NGA?,,[IN:balance ]
banking,balance,bongo boni eza Sikoyo Na Mpesa na NGA?,"15:21:SL:TIME,25:30:SL:PAYMENT_COMPANY",[IN:balance [SL:TIME Sikoyo] [SL:PAYMENT_COMPANY Mpesa] ]
banking,balance,Compte épargne NGA eza Nini Sikoyo ?,"0:14:SL:ACCOUNT_TYPE,28:34:SL:TIME",[IN:balance [SL:ACCOUNT_TYPE Compte épargne] [SL:TIME Sikoyo] ]
banking,balance,Est-ce que naza Na mobongo Oyo etikali?,,[IN:balance ]
banking,balance,Lukaka mbongo boni eza Sikoyo Na compte na NGA na sofibank,"23:29:SL:TIME,50:58:SL:BANK_NAME",[IN:balance [SL:TIME Sikoyo] [SL:BANK_NAME sofibank] ]
banking,balance,mbongo boni etikali na compte courant na nga ?,23:37:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte courant] ]
banking,balance,mbongo boni etikali na compte courant na NGA?,23:37:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte courant] ]
banking,balance,Mbongo boni etikali na compte épargne na nga ?,23:37:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte épargne] ]
banking,balance,mbongo boni etikali na compte épargne na NGA na sofibank ?,"23:37:SL:ACCOUNT_TYPE,48:56:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE compte épargne] [SL:BANK_NAME sofibank] ]
banking,balance,mbongo boni etikali na MasterCard na nag?,,[IN:balance ]
banking,balance,mbongo boni eza na carte visa na NGA?,,[IN:balance ]
banking,balance,mbongo boni eza na compte bancaire ma NGA?,,[IN:balance ]
banking,balance,mbongo boni eza na compte bancaire na NGA?,,[IN:balance ]
banking,balance,mbongo boni eza na compte courant na NGA?,19:33:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte courant] ]
banking,balance,mbongo boni eza na compte épargne ?,19:33:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte épargne] ]
banking,balance,mbongo boni ezali na compte épargne na NGA?,21:35:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte épargne] ]
banking,balance,mbongo boni naza na yango na bank?,,[IN:balance ]
banking,balance,mbongo boni naza Na yango na compte ?,,[IN:balance ]
banking,balance,mbongo boni Naza Na yango na compte bancaire na nga ?,,[IN:balance ]
banking,balance,mbongo boni Naza Na yango Na compte épargne ?,29:43:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE compte épargne] ]
banking,balance,mbongo bonibnaza Na yango Na ba compte nionso ?,,[IN:balance ]
banking,balance,mbongo etikali na compte?,,[IN:balance ]
banking,balance,Mbongo eza ya ko koka Na compte Airtel na NGA PONA ko somba ba ketch ya sika?,"32:38:SL:PAYMENT_COMPANY,63:68:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY Airtel] [SL:SHOPPING_ITEM ketch] ]
banking,balance,Mbongo eza ya ko koka Na compte Airtel na NGA PONA ko somba billet ya avion?,32:38:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Airtel] ]
banking,balance,Mbongo eza ya ko koka Na compte orangemoney na NGA PONA ko somba ba sandal ya sika?,"32:43:SL:PAYMENT_COMPANY,68:74:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY orangemoney] [SL:SHOPPING_ITEM sandal] ]
banking,balance,Mbongo eza ya ko kokaPONA ko somba ba sandal ya sika Na compte orangemoney na NGA ?,"38:44:SL:SHOPPING_ITEM,63:74:SL:PAYMENT_COMPANY",[IN:balance [SL:SHOPPING_ITEM sandal] [SL:PAYMENT_COMPANY orangemoney] ]
banking,balance,Mbongo na NGA nionso eza boni Na ba compte NGA nionso?,,[IN:balance ]
banking,balance,Mbongo naza na tango na compte nanga ekoki ko somba congélateur ?,,[IN:balance ]
banking,balance,mbongo naza nango na compte Charles ekoki ko somba vareuse?,"28:35:SL:PERSONAL_NAME,51:58:SL:SHOPPING_ITEM",[IN:balance [SL:PERSONAL_NAME Charles] [SL:SHOPPING_ITEM vareuse] ]
banking,balance,mbongo Nini eza ya kosalela na compte na NGA?,,[IN:balance ]
