domain,intent,text,spans,logical_form
banking,balance,Akwai isasshen Naira a asusun bankin zenith ɗina don siyan sabuwar jarida?,"15:20:SL:CURRENCY,37:43:SL:BANK_NAME,67:73:SL:SHOPPING_ITEM",[IN:balance [SL:CURRENCY Naira] [SL:BANK_NAME zenith] [SL:SHOPPING_ITEM jarida] ]
banking,balance,Akwai isasshen Naira a asusun bankin zenith ɗina don siyan sabuwar mota,"15:20:SL:CURRENCY,37:43:SL:BANK_NAME",[IN:balance [SL:CURRENCY Naira] [SL:BANK_NAME zenith] ]
banking,balance,Akwai kuɗi mai yawa a cikin asusun ajiya ta dan tafiya hutun sallah,,[IN:balance ]
banking,balance,Dan Allah gaya min ko kuɗin dake cikin asusun banki zai isa na biya kuɗin haya?,68:78:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kuɗin haya] ]
banking,balance,Dan Allah ka sanar da ni ko kuɗin dake cikin asusun banki zai isa na biya kuɗin haya?,74:84:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kuɗin haya] ]
banking,balance,Gaya min jimlar kuɗi a asusun banki na na GT da union?,"42:44:SL:BANK_NAME,48:53:SL:BANK_NAME",[IN:balance [SL:BANK_NAME GT] [SL:BANK_NAME union] ]
banking,balance,Gaya min ko kuɗin dake cikin asusun banki zai isa na biya kuɗin haya?,58:68:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kuɗin haya] ]
banking,balance,Gaya min ragowar kuɗin dake cikin asusun banki na idan na biya kuɗin haya,63:73:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kuɗin haya] ]
banking,balance,Ina so ka gaya min ko kuɗin dake cikin asusun banki zai isa na biya kuɗin haya?,68:78:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kuɗin haya] ]
banking,balance,Ina so ka gaya min ragowar kuɗin dake cikin asusun bankin access a yanzu,"58:64:SL:BANK_NAME,65:72:SL:TIME",[IN:balance [SL:BANK_NAME access] [SL:TIME a yanzu] ]
banking,balance,Ka san jimlar kuɗi a bankin oipay ɗina?,,[IN:balance ]
banking,balance,Sanar dani ko kuɗin dake cikin asusun banki zai isa na biya kuɗin haya?,60:70:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kuɗin haya] ]
