intent,text,domain,spans,logical_form
alarm,wake me up at noon tomorrow,clinc,,[SL: alarm]
alarm,set my alarm for getting up,clinc,,[SL: alarm]
alarm,make sure my alarm is set for three thirty in the morning,clinc,,[SL: alarm]
alarm,please set an alarm for mid day,clinc,,[SL: alarm]
alarm,have an alarm set for three in the morning,clinc,,[SL: alarm]
alarm,you need to set alarm for me,clinc,,[SL: alarm]
alarm,i need you to set alarm for me,clinc,,[SL: alarm]
alarm,set the alarm for me,clinc,,[SL: alarm]
alarm,can you set alarm for me,clinc,,[SL: alarm]
alarm,please set alarm for me,clinc,,[SL: alarm]
alarm,make a new alarm for 6 in the morning,clinc,,[SL: alarm]
alarm,make a new alarm,clinc,,[SL: alarm]
alarm,create an alarm,clinc,,[SL: alarm]
alarm,i need an alarm for 6am,clinc,,[SL: alarm]
alarm,can you alert me at 6 in the morning,clinc,,[SL: alarm]
alarm,i'd like a new alarm set for 6am,clinc,,[SL: alarm]
alarm,"set an alarm for 6am, please",clinc,,[SL: alarm]
alarm,initiate a new alarm please,clinc,,[SL: alarm]
alarm,set up an alarm,clinc,,[SL: alarm]
alarm,make up a new alarm,clinc,,[SL: alarm]
alarm,i want to make an alarm,clinc,,[SL: alarm]
alarm,i would like an alarm set,clinc,,[SL: alarm]
alarm,schedule an alarm,clinc,,[SL: alarm]
alarm,i need an alarm set,clinc,,[SL: alarm]
alarm,i need alarms set for 6am and 615am,clinc,,[SL: alarm]
alarm,i need an alarm to go off tomorrow at five fifteen,clinc,,[SL: alarm]
alarm,can you set an alarm for seven fifteen for tomorrow,clinc,,[SL: alarm]
alarm,set me an alarm for 4pm and another for 5pm,clinc,,[SL: alarm]
alarm,set one alarm for 215pm and another for 7pm,clinc,,[SL: alarm]
alarm,create an alarm for 9 am and another one for 11 am,clinc,,[SL: alarm]
alarm,set the alarm to go off at 9 tomorrow,clinc,,[SL: alarm]
alarm,make an alarm for tomorrow at twilight,clinc,,[SL: alarm]
alarm,set up two alarms one for 10am and another for 2pm,clinc,,[SL: alarm]
alarm,please set up an alarm to go off tomorrow at daybreak,clinc,,[SL: alarm]
alarm,could you set one alarm for 8am saturday and one for 9am sunday,clinc,,[SL: alarm]
alarm,can i turn on the alarm now,clinc,,[SL: alarm]
alarm,how do i set the alarm,clinc,,[SL: alarm]
alarm,please turn on the alarm,clinc,,[SL: alarm]
