domain,intent,text,spans,logical_form
banking,balance,Ingaba ndisenemali na engxoweni?,,[IN:balance ]
banking,balance,Ndicela undijongele ukuba ndinamalini engxoweni. ,,[IN:balance ]
banking,balance,Ndicela undijongele kuAbsa wam ukuba ndinganayo imali yokuthenga iiPad.,"20:26:SL:BANK_NAME,65:70:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME kuAbsa] [SL:SHOPPING_ITEM iiPad] ]
banking,balance,Ungakwazi ukundijongela kwiakhawunti yam yaseAbsa ukuba ndinganayo imali yokuthenga iiPad?,"41:49:SL:BANK_NAME,84:89:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME yaseAbsa] [SL:SHOPPING_ITEM iiPad] ]
banking,balance,Ndicela undijongele ukuba ndinayo imali eyaneleyo kwaTyme Bank yokuthenga ikhabhati.,"50:62:SL:BANK_NAME,74:83:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME kwaTyme Bank] [SL:SHOPPING_ITEM ikhabhati] ]
banking,balance,Ungakwazi ukundijongela ukuba ndinayo imali eyaneleyo kwaTyme Bank ndizokuthenga ikhabhati.,"54:66:SL:BANK_NAME,81:90:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME kwaTyme Bank] [SL:SHOPPING_ITEM ikhabhati] ]
banking,balance,Ndishiyeke namalini kwiakhawunti yam yasebhankini yakwaOld Mutual?,50:65:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaOld Mutual] ]
banking,balance,Ungakwazi ukundijongela ukuba ndinamalini kwiakhawunti yam yakwaOld Mutual?,59:74:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaOld Mutual] ]
banking,balance,Yimalini endinayo kwiakhawunti yam yakwaInvestec?,35:48:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaInvestec] ]
banking,balance,Ndicela undijongele ukuba ndinamalini kwaInvestec.,38:49:SL:BANK_NAME,[IN:balance [SL:BANK_NAME kwaInvestec] ]
banking,balance,Ikhona imali endisashiyekelwe yiyo kwiakhawunti yam yakwaInvestec?,52:65:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yakwaInvestec] ]
banking,balance,Ingaba ikhona imali endinayo eFirst Rand?,29:40:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eFirst Rand] ]
banking,balance,Ndinayo imali eNedcor?,14:21:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eNedcor] ]
banking,balance,Ndishiyekelwe yimalini kwiakhawunti yam yaseGensec Bank?,40:55:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseGensec Bank] ]
banking,balance,Ingaba ndisenemali eRand Merchant Bank?,19:38:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eRand Merchant Bank] ]
banking,balance,Ndinayo imali eseUBank?,14:22:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eseUBank] ]
banking,balance,Ungakwazi ukundijongela ukuba iakhawunti yam yaseAbsa ishiyekelwe yimalini?,45:53:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseAbsa] ]
banking,balance,Ndicela undijongele ukuba ndinamalini kwiakhawunti yam yaseNedbank.,55:66:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseNedbank] ]
banking,balance,Ungakwazi ukundijongela ukuba iakhawunti yam yogcinomali uyaseTymebank inamalini ngoku?,"30:56:SL:ACCOUNT_TYPE,57:70:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE iakhawunti yam yogcinomali] [SL:BANK_NAME uyaseTymebank] ]
banking,balance,"Emva kokuthenga isihlangu seR500, ndishiyekelwe yimalini ebhankini?",26:32:SL:MONEY,[IN:balance [SL:MONEY seR500] ]
banking,balance,Ndishiyekelwe yimalini ukuze ndigqibe ukubhatala ityala laseAbsa?,56:64:SL:BANK_NAME,[IN:balance [SL:BANK_NAME laseAbsa] ]
banking,balance,Ingakanani imali endishiyeke nayo kwityala lam laseTelkom?,34:57:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE kwityala lam laseTelkom] ]
banking,balance,Ndicela undijongele ukuba kumele ndibhatale malini eVodacom .,,[IN:balance ]
banking,balance,Ungakwazi ukundibuzela eAbsa ukuba yimalini endiyifumeneyo kutyalomali lwam?,23:28:SL:BANK_NAME,[IN:balance [SL:BANK_NAME eAbsa] ]
banking,balance,Sele yonyuke kangakanani inzalamali kwiakhawunti yam yogcinomali?,36:64:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE kwiakhawunti yam yogcinomali] ]
banking,balance,Ndishiyekelwe yimalini ebhankini?,,[IN:balance ]
banking,balance,Ikhona imali endishiyeke nayo ebhankini?,,[IN:balance ]
banking,balance,"Emva kokuba imoto itsalile, ikhona imali endishiyeke nayo ebhankini?",,[IN:balance ]
banking,balance,Ingaba ndinemali eyaneleyo ebhankini ukuze ndithenge itikiti lobukela ibhola?,,[IN:balance ]
banking,balance,Ndicela undijongele ukuba ndinayo imali eyaneleyo ebhankini ukuze ndithenge ifowuni?,,[IN:balance ]
banking,balance,Ndinganayo imali eyaneleyo ebhankini ukuze ndibhatale imali yombutho?,,[IN:balance ]
banking,balance,Ingaba iyafika kwiR5 000 imali endinayo ebhankini?,15:24:SL:MONEY,[IN:balance [SL:MONEY kwiR5 000] ]
banking,balance,Inoba ndinganayo imali yokuthenga isikhenkcezisi seR7 000 kule mali isebhankini yam?,"34:48:SL:SHOPPING_ITEM,49:57:SL:MONEY",[IN:balance [SL:SHOPPING_ITEM isikhenkcezisi] [SL:MONEY seR7 000] ]
banking,balance,Ndishiyeke namalini kwiakhawunti yam yaseCapitec?,37:48:SL:BANK_NAME,[IN:balance [SL:BANK_NAME yaseCapitec] ]
banking,balance,Ndishiyekelwe yimalini ekubhataleni iakhawunti yam yeempahla yakwaTruworths?,36:60:SL:BILL_TYPE,[IN:balance [SL:BILL_TYPE iakhawunti yam yeempahla] ]
banking,balance,Ikhona imali esashiyekileyo kula nzalamali ebendiyifumene ngotyala imali ebhankini?,,[IN:balance ]
banking,balance,Ingaba imali ekwiakhawunti yam inganako ukubhatala ityala lemalimboleko yam yaseAbsa?,"51:71:SL:BILL_TYPE,76:84:SL:BANK_NAME",[IN:balance [SL:BILL_TYPE ityala lemalimboleko] [SL:BANK_NAME yaseAbsa] ]
banking,balance,Ndicela undibonise imali ekhoyo kwiakhawunti yam yebhanki.,,[IN:balance ]
banking,balance,Ungakwazi ukundibonisa imali endinayo kwiakhawunti yam yebhanki?,,[IN:balance ]
banking,balance,Ungakwazi ukundijongela ukuba isekhona imali eshiyekileyo kula mali yepenshini ibindiphumele ebhankini?,,[IN:balance ]
banking,balance,Ungakwazi ukundijongela ukuba ndinako ukuthenga iTV yeR5 000 kula mali ibindishiyekele ebhankini?,"48:51:SL:SHOPPING_ITEM,52:60:SL:MONEY",[IN:balance [SL:SHOPPING_ITEM iTV] [SL:MONEY yeR5 000] ]
banking,balance,Ndicela undijongele ukuba ndingakwazi ukubhatala uEskom kula mali ikwiakhawunti yam yogcinomali.,66:95:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE ikwiakhawunti yam yogcinomali] ]
banking,balance,Ndicela undijongele ukuba ndingakwazi ukubhatala iNedbank kula mali ikwi akhawunti yam yogcinomali eAbsa.,"49:57:SL:BANK_NAME,73:98:SL:ACCOUNT_TYPE,99:104:SL:BANK_NAME",[IN:balance [SL:BANK_NAME iNedbank] [SL:ACCOUNT_TYPE akhawunti yam yogcinomali] [SL:BANK_NAME eAbsa] ]
banking,balance,Ingaba imali ekwiakhawunti yam ingaphezu kweR10 000?,41:51:SL:MONEY,[IN:balance [SL:MONEY kweR10 000] ]
banking,balance,Iyafika kwiR500 imali ekwiakhawunti yam yaseTyme Bank?,"8:15:SL:MONEY,40:53:SL:BANK_NAME",[IN:balance [SL:MONEY kwiR500] [SL:BANK_NAME yaseTyme Bank] ]
banking,balance,Ungakwazi ukundazisa ukuba ndinamalini iyonke eCapitec naseNedbank?,"46:54:SL:BANK_NAME,55:66:SL:BANK_NAME",[IN:balance [SL:BANK_NAME eCapitec] [SL:BANK_NAME naseNedbank] ]
