intent,text,domain,spans,logical_form,split
alarm,set an alarm for my tutorial at 5.00pm ,eng,,[SL: alarm],dev
balance,is there enough money on my M-pesa account to buy the toy worth Ksh. 2000?,eng,,[SL: balance],dev
bill_balance,How much is the bill altogether?,eng,,[SL: bill_balance],dev
book_flight,Which airline can I book for my trip to Lagos on the 2nd of March,eng,,[SL: book_flight],dev
book_hotel,book me the nearest hotel to Murtala Muhammed international airport,eng,,[SL: book_hotel],dev
calendar_update,add family celebration to my calendar for the 10th of March.,eng,,[SL: calendar_update],dev
cancel_reservation,please cancel my 6.00pm reservation at Sweet Sensation,eng,,[SL: cancel_reservation],dev
car_rental,rent a car  for my trip from Murtala Muhammed airport to Ibadan.,eng,,[SL: car_rental],dev
confirm_reservation,Would you please confirm that I have a reservation for dinner at the Hotel Elile?,eng,,[SL: confirm_reservation],dev
cook_time,How long does it take to make Àkàrà?,eng,,[SL: cook_time],dev
exchange_rate,How much Naira will I get for $100?,eng,,[SL: exchange_rate],dev
food_last,can Nigerian meat-pie last for a week in the fridge compartment?,eng,,[SL: food_last],dev
freeze_account,lock my nmb account for 3 days  i have noticed unusual activity,eng,,[SL: freeze_account],dev
ingredients_list,what are the  essential ingredients needed in making tasty pepper-soup?,eng,,[SL: ingredients_list],dev
interest_rate,What is the interest rate on a #5 million loan,eng,,[SL: interest_rate],dev
international_visa,how long does a USA visa application  from Nigeria take?,eng,,[SL: international_visa],dev
make_call,Can you put a call through to Adé?,eng,,[SL: make_call],dev
meal_suggestion,What other meal can I make from beans aside moinmoin?,eng,,[SL: meal_suggestion],dev
min_payment,How much is the minimum deposit for the shoe,eng,,[SL: min_payment],dev
pay_bill,please debit ₦5000 monthly from my GTB account to pay my electricity bill.,eng,,[SL: pay_bill],dev
pin_change,how do I change my First bank debit card pin?,eng,,[SL: pin_change],dev
play_music,play Nathaniel Bassey newest song.,eng,,[SL: play_music],dev
plug_type,do Nigeria and Canada have similar plug-type? ,eng,,[SL: plug_type],dev
recipe,where can I get home-made Suya recipe?,eng,,[SL: recipe],dev
restaurant_reservation,can you  reserve table for two at Tanga Beach hotel for friday night,eng,,[SL: restaurant_reservation],dev
restaurant_reviews,Give a solid 5-star to Amala Skye in the review.,eng,,[SL: restaurant_reviews],dev
restaurant_suggestion,Which restaurants are popular in Ogun state?,eng,,[SL: restaurant_suggestion],dev
share_location,"share the location of the wedding party, please ",eng,,[SL: share_location],dev
shopping_list_update,could you add injera to my current shopping list,eng,,[SL: shopping_list_update],dev
spending_history,how much did I spend last month on my Iroko TV subscription?,eng,,[SL: spending_history],dev
text,send an automated text message to all the lecturers in the department.,eng,,[SL: text],dev
time,what time is it in Addis Ababa,eng,,[SL: time],dev
timezone,what time will it be in jamaica  if south Africa is 4pm now?,eng,,[SL: timezone],dev
transactions,How much money is left in my Momo account?,eng,,[SL: transactions],dev
transfer,Transfer 6000 thousand from  my Tigo pesa accoun to my sportpesa account,eng,,[SL: transfer],dev
translate,"In Kinyarwanda, how do we call people who go to visit attractive places?",eng,,[SL: translate],dev
travel_notification,set a two days notification for my trip to Ibadan ,eng,,[SL: travel_notification],dev
travel_suggestion,are there any tourist attractions in Abeokuta?,eng,,[SL: travel_suggestion],dev
update_playlist,add more gospel songs to my playlist ,eng,,[SL: update_playlist],dev
weather,Is the weather going to be clear of rain tomorrow?,eng,,[SL: weather],dev
alarm,Please set my alarm for 6am every monday morning,eng,,[SL: alarm],test
alarm,Please update my alarm to 04:00 in the morning I have an early flight,eng,,[SL: alarm],test
balance,Will my account balance show on the Gtbank statment of account,eng,,[SL: balance],test
balance,I'd like to know the balance of my credit card.,eng,,[SL: balance],test
bill_balance,how much is left to pay for my water bill?,eng,,[SL: bill_balance],test
bill_balance,What is my balance after paying for my DSTV bill?,eng,,[SL: bill_balance],test
book_flight,"Can you book me a return flight from London to Lagos, Nigeria tonight?",eng,,[SL: book_flight],test
book_flight,What flights can I get from East London to George for a budget of less than R2500?,eng,,[SL: book_flight],test
book_hotel,Can you book me a luxury suite at Eko Hotel from 10th to 15th next month?,eng,,[SL: book_hotel],test
book_hotel,suggest a hotel for two adults and two kids for the Easter weekend,eng,,[SL: book_hotel],test
calendar_update,What meeting do we have on the calender next week thursday,eng,,[SL: calendar_update],test
calendar_update,Please add 21 March on my calander for a family gathering,eng,,[SL: calendar_update],test
cancel_reservation,How can I cancel my reservation at landmark beach in Elegushi,eng,,[SL: cancel_reservation],test
cancel_reservation,Cancel my dinner reservation at the karaoke bar,eng,,[SL: cancel_reservation],test
car_rental,How can I rent out my BMW sport car,eng,,[SL: car_rental],test
car_rental,how much does it cost to rent a Hyundai i20 in Ceza?,eng,,[SL: car_rental],test
confirm_reservation,Can you confirm if my booking for table of 2 for Amala at Embasy canteen was successful,eng,,[SL: confirm_reservation],test
confirm_reservation,Can you confirm my reservation for 6pm?,eng,,[SL: confirm_reservation],test
cook_time,what is the cook-time for Jollof rice?,eng,,[SL: cook_time],test
cook_time,how many minutes does it take you to make noodles?,eng,,[SL: cook_time],test
exchange_rate,How much is 2000 naira in pounds,eng,,[SL: exchange_rate],test
exchange_rate,How much is the rand to the dollar?,eng,,[SL: exchange_rate],test
food_last,Can the Rice stay in the fridge for 5 days,eng,,[SL: food_last],test
food_last,how long does bread remain fresh before it's stale?,eng,,[SL: food_last],test
freeze_account,I would like to freeze my Wema bank current account.,eng,,[SL: freeze_account],test
freeze_account,Can you help me temporarily freeze my credit card?,eng,,[SL: freeze_account],test
ingredients_list,Where is the Jollof rice  ingredent list,eng,,[SL: ingredients_list],test
ingredients_list,What do I need to make amaginya?,eng,,[SL: ingredients_list],test
interest_rate,what is the interest rate on Zenith bank current account?,eng,,[SL: interest_rate],test
interest_rate,does Nedbank give you a 10% interest rate if you invest your money for more than 12 months?,eng,,[SL: interest_rate],test
international_visa,How can I process my US Visa from Nigeriia,eng,,[SL: international_visa],test
international_visa,which countries can a south african travel to without a visa?,eng,,[SL: international_visa],test
make_call,call my landlord at 6.00pm,eng,,[SL: make_call],test
make_call,please call mom so I can tell her I need money for food.,eng,,[SL: make_call],test
meal_suggestion,Can you suggest where I can eat the best Pounded Yam in Osogbo,eng,,[SL: meal_suggestion],test
meal_suggestion,suggest a vegan restaurant in Westville,eng,,[SL: meal_suggestion],test
min_payment,What is the minimum amount I can pay for the electricity bill?,eng,,[SL: min_payment],test
min_payment,how much is the minimum amount for data on the Capitec bank app?,eng,,[SL: min_payment],test
pay_bill,Use my Gtbank account to pay for mtn 200 airtime ,eng,,[SL: pay_bill],test
pay_bill,please pay R750 for the electricity bill.,eng,,[SL: pay_bill],test
pin_change,Can I change my Gtbank ATM card pin ,eng,,[SL: pin_change],test
pin_change,how can I change my FNB app password?,eng,,[SL: pin_change],test
play_music,Can you play me some Beautiful Nubia songs,eng,,[SL: play_music],test
play_music,Play the latest Punk Rock tunes,eng,,[SL: play_music],test
plug_type,"What is the Plug type used in Nigeria, is it type A?",eng,,[SL: plug_type],test
plug_type,Where can I get a type C charger in Durban?,eng,,[SL: plug_type],test
recipe,What recipe do you use for your jollof rice?,eng,,[SL: recipe],test
recipe,I need an easy to follow recipe for cooking malva pudding,eng,,[SL: recipe],test
