domain,intent,text,spans,logical_form
utility,alarm,ndashaka gushyiraho impuruza kuri mudasobwa,,[IN:alarm ]
utility,alarm,shyiraho impuruza ya saa moya n'igice ejo,21:41:SL:DATE,[IN:alarm [SL:DATE saa moya n'igice ejo] ]
utility,alarm,shyiraho impuruza y'ejo sa kumi n'imwe ,20:38:SL:TIME,[IN:alarm [SL:TIME ejo sa kumi n'imwe] ]
utility,alarm,Nyamuneka shyiraho impuruza .,,[IN:alarm ]
utility,alarm,ndifuza gushyiraho impuruza,,[IN:alarm ]
utility,alarm,nashakaga ko hari uwanshiriraho impuruza,,[IN:alarm ]
utility,alarm,ni nde wanshyiriraho impuruza,,[IN:alarm ]
utility,alarm,shiraho impuruza ya saa tanu z'amanywa,20:38:SL:TIME,[IN:alarm [SL:TIME saa tanu z'amanywa] ]
utility,alarm,shyiraho impuruza ya sa mbili za nijoro,21:39:SL:TIME,[IN:alarm [SL:TIME sa mbili za nijoro] ]
utility,alarm,shyiraho impuruza ya saa kumi,21:29:SL:TIME,[IN:alarm [SL:TIME saa kumi] ]
utility,alarm,ndifuza impuruza ya saa kumi n'imwe,20:35:SL:TIME,[IN:alarm [SL:TIME saa kumi n'imwe] ]
utility,alarm,Nkeneye impuruza yo kujya ku urusenger,,[IN:alarm ]
utility,alarm,ndifuza impuruza ubu ngubu,17:26:SL:TIME,[IN:alarm [SL:TIME ubu ngubu] ]
utility,alarm,shyiraho imouruza y'ejo nimugoroba saa mbili,20:44:SL:DATE,[IN:alarm [SL:DATE ejo nimugoroba saa mbili] ]
utility,alarm,uze kunshiriraho impuruza ya saa 7,29:34:SL:TIME,[IN:alarm [SL:TIME saa 7] ]
utility,alarm,ejo nkeneye ko unshyiriraho impuruza ya saa moya,40:48:SL:TIME,[IN:alarm [SL:TIME saa moya] ]
utility,alarm,"shyiraho impuruza ya saa mbili za mugitondo, nyabuneka",21:43:SL:TIME,[IN:alarm [SL:TIME saa mbili za mugitondo] ]
utility,alarm,shyiramo indi mpuruza nyamuneka,,[IN:alarm ]
utility,alarm,shyiraho impuruza.,,[IN:alarm ]
utility,alarm,shyiraho impuruza yo kumbyutsa saa kumi n'imwe,31:46:SL:TIME,[IN:alarm [SL:TIME saa kumi n'imwe] ]
utility,alarm,ndaza gukora impuruza ,,[IN:alarm ]
utility,alarm,ndashaka gushyiraho impuruza kuri telefone yanjye,,[IN:alarm ]
utility,alarm,Teganya impuruza ,,[IN:alarm ]
utility,alarm,Nkeneye impuruza yo  kw'isaha,,[IN:alarm ]
utility,alarm,nkeneye ko unshyiriaho impuruza  ya 4am and 2,"36:39:SL:TIME,44:45:SL:TIME",[IN:alarm [SL:TIME 4am] [SL:TIME 2] ]
utility,alarm,Ndasha ko impuruza ivaho nimugoriba saa mbili za mu gitongo,"25:35:SL:TIME,36:59:SL:TIME",[IN:alarm [SL:TIME nimugoriba] [SL:TIME saa mbili za mu gitongo] ]
utility,alarm,ushobora gushyiraho impuruza ya saa mbili na 15 ejo,32:51:SL:TIME,[IN:alarm [SL:TIME saa mbili na 15 ejo] ]
utility,alarm,nshyiriraho impuruza ya 7:30 mu gitongo n'iya 11:00,"24:39:SL:TIME,42:51:SL:TIME",[IN:alarm [SL:TIME 7:30 mu gitongo] [SL:TIME iya 11:00] ]
utility,alarm,shyiraho impuruza ya 4.30 am n'iya 5 am ,"21:28:SL:TIME,35:39:SL:TIME",[IN:alarm [SL:TIME 4.30 am] [SL:TIME 5 am] ]
utility,alarm,kora impuruza ya 9 pm n'iya 11 pm ,"17:21:SL:TIME,28:33:SL:TIME",[IN:alarm [SL:TIME 9 pm] [SL:TIME 11 pm] ]
utility,alarm, shyiraho impuruza izatangira 10 pm evening ,30:43:SL:TIME,[IN:alarm [SL:TIME 10 pm evening] ]
utility,alarm,kora impuruza y'ejo mu gitondo kare saa 4,,[IN:alarm ]
utility,alarm,shyiraho impuruza ebyiri iya saa 4 n'iya saa 10,"29:34:SL:TIME,41:47:SL:TIME",[IN:alarm [SL:TIME saa 4] [SL:TIME saa 10] ]
utility,alarm,Nyamuneka shyiraho impuruza y'ejo mu museso,30:43:SL:DATE,[IN:alarm [SL:DATE ejo mu museso] ]
utility,alarm,"washyiraho impuruza ebyiri, iko kuwa mbere saa mbili n'iyo kuwa kabili saa tatu mu gitondo","32:52:SL:DATE,59:90:SL:DATE",[IN:alarm [SL:DATE kuwa mbere saa mbili] [SL:DATE kuwa kabili saa tatu mu gitondo] ]
utility,alarm,Nze gushyiraha impuruza,,[IN:alarm ]
utility,alarm,Ni gute nashyiraho impuruza y'ejo,30:33:SL:DATE,[IN:alarm [SL:DATE ejo] ]
utility,alarm,"nshyiriraho impuruza, nyabuneka",,[IN:alarm ]
utility,alarm,shyiraho impuruze yo kuwa 2 saa kumi n'ebyiri,21:45:SL:DATE,[IN:alarm [SL:DATE kuwa 2 saa kumi n'ebyiri] ]
utility,alarm, nashyiraho impuruza ya saa moya za mu gitongo,24:46:SL:TIME,[IN:alarm [SL:TIME saa moya za mu gitongo] ]
utility,alarm,waza gushyiraho impuruza saa kumi,25:33:SL:TIME,[IN:alarm [SL:TIME saa kumi] ]
utility,alarm,Kora impuruza ya  saa moya z'ijoro,18:34:SL:TIME,[IN:alarm [SL:TIME saa moya z'ijoro] ]
utility,alarm,shyiraho imouruza ya saa 4 za mu gitondo,21:40:SL:TIME,[IN:alarm [SL:TIME saa 4 za mu gitondo] ]
utility,alarm,shyiraho imouruza ya saa  8 za mu gitondo,21:41:SL:TIME,[IN:alarm [SL:TIME saa  8 za mu gitondo] ]
utility,alarm,kora impuruza ya saa 4 za mu gitongo,17:36:SL:TIME,[IN:alarm [SL:TIME saa 4 za mu gitongo] ]
utility,alarm,shyiraho impuruza ya saa mbili za nimugoroba,21:44:SL:TIME,[IN:alarm [SL:TIME saa mbili za nimugoroba] ]
utility,alarm,nshyiriraho impuruza ya saa sita z'ijoro,24:40:SL:TIME,[IN:alarm [SL:TIME saa sita z'ijoro] ]
utility,alarm,ndashaka impuruza ya saa kumi n'ebyili za nimugoroba,"21:38:SL:TIME,42:52:SL:TIME",[IN:alarm [SL:TIME saa kumi n'ebyili] [SL:TIME nimugoroba] ]
utility,alarm,shyiraho impuruza kuri telefone yawe ngendanywa,,[IN:alarm ]
utility,alarm,kora impuruza y'ejo mu museso,16:29:SL:TIME,[IN:alarm [SL:TIME ejo mu museso] ]
utility,alarm,shyiraho impuruza yo kumbyutsa ,,[IN:alarm ]
utility,alarm,Nkeneye impuruza yo kumbyutsa ejo sa moya  za mu gitondo ,30:56:SL:TIME,[IN:alarm [SL:TIME ejo sa moya  za mu gitondo] ]
utility,alarm,Ndashaka ko unshyiriraho impuruza ya nimugoroba saa moya,48:56:SL:TIME,[IN:alarm [SL:TIME saa moya] ]
utility,alarm,Nyabuneka shyiraho impuruza ya saa kumi n'ebyiri za mu gitondo,31:62:SL:TIME,[IN:alarm [SL:TIME saa kumi n'ebyiri za mu gitondo] ]
utility,alarm," shyiraho impuruza ya saa tanu za mu gitondo, nyamuneka ",22:44:SL:TIME,[IN:alarm [SL:TIME saa tanu za mu gitondo] ]
utility,alarm,Ndashaka impuruza ya saa  kumi za mugitongo ejo,"21:43:SL:TIME,44:47:SL:DATE",[IN:alarm [SL:TIME saa  kumi za mugitongo] [SL:DATE ejo] ]
utility,alarm,nkeneye impuruza ya saa tatu n'indi iya sa tanu,"20:28:SL:TIME,40:47:SL:TIME",[IN:alarm [SL:TIME saa tatu] [SL:TIME sa tanu] ]
utility,alarm,nshyiriraho impuruza ya saa mbili za nimugoroba n'iya saa 4,"24:47:SL:TIME,54:59:SL:TIME",[IN:alarm [SL:TIME saa mbili za nimugoroba] [SL:TIME saa 4] ]
utility,alarm,wanshyiriraho impuruza yanjye ya sa moya n'iya saa mbili,"33:40:SL:TIME,47:56:SL:TIME",[IN:alarm [SL:TIME sa moya] [SL:TIME saa mbili] ]
utility,alarm,Mfasha unshyirireho  impuruza ya saa kumi n'ebyiri n'iya saa moya,"33:50:SL:TIME,57:65:SL:TIME",[IN:alarm [SL:TIME saa kumi n'ebyiri] [SL:TIME saa moya] ]
utility,alarm,Nyabuneka nshyiriraho impuruza y'ejo mu gitondo sa moya n'iya sa tatu n'igice,"33:47:SL:DATE,48:55:SL:TIME,62:77:SL:TIME",[IN:alarm [SL:DATE ejo mu gitondo] [SL:TIME sa moya] [SL:TIME sa tatu n'igice] ]
utility,alarm,ku wa gatatu nzakenera impuruza ya saa moya za mu gitondo,"0:12:SL:DATE,35:57:SL:TIME",[IN:alarm [SL:DATE ku wa gatatu] [SL:TIME saa moya za mu gitondo] ]
utility,alarm,Ku wa gantandatu saa mbili za mugitondo uzashyireho impuruza,"0:16:SL:DATE,17:39:SL:TIME",[IN:alarm [SL:DATE Ku wa gantandatu] [SL:TIME saa mbili za mugitondo] ]
utility,alarm,ejo niduzaga ko mwanshiriraho impuruza saa tanu,"0:3:SL:DATE,39:47:SL:TIME",[IN:alarm [SL:DATE ejo] [SL:TIME saa tanu] ]
utility,alarm,ndashaka ko ejo  impuruza izatangira sa tatu,37:44:SL:TIME,[IN:alarm [SL:TIME sa tatu] ]
utility,alarm,uzavuze impuruza ejo sa moya,"17:20:SL:DATE,21:28:SL:TIME",[IN:alarm [SL:DATE ejo] [SL:TIME sa moya] ]
utility,alarm,shyiraho inyibutsa saa 3,19:24:SL:TIME,[IN:alarm [SL:TIME saa 3] ]
utility,alarm,uze kumbyutsa sa yine za mugitondo,14:34:SL:TIME,[IN:alarm [SL:TIME sa yine za mugitondo] ]
utility,alarm,uhamagare telefone yanjye saa 5 za mugitongo,26:44:SL:TIME,[IN:alarm [SL:TIME saa 5 za mugitongo] ]
utility,alarm,nshyireho impuruza ya saa ngahe ,,[IN:alarm ]
utility,alarm,Nyabuneka nshyiriraho impuruza y'ejo sa mbili,"33:36:SL:DATE,37:45:SL:TIME",[IN:alarm [SL:DATE ejo] [SL:TIME sa mbili] ]
utility,alarm,shyiraho impuruza ya saa mbili za mu gitondo,21:44:SL:TIME,[IN:alarm [SL:TIME saa mbili za mu gitondo] ]
utility,alarm,nashakaga ko wanshyiriraho impuruza ya saa 3 za mu gitondo na saa 4 za mu gitongo,"39:58:SL:TIME,62:81:SL:TIME",[IN:alarm [SL:TIME saa 3 za mu gitondo] [SL:TIME saa 4 za mu gitongo] ]
utility,alarm,ndashaka gushyiraho impuruza za saa moya na saa mbili za nimugoroba,"32:40:SL:TIME,44:67:SL:TIME",[IN:alarm [SL:TIME saa moya] [SL:TIME saa mbili za nimugoroba] ]
utility,alarm,nyabuneka nshyiriraho impuruza za saa kumi na saa ku n'imwa za mu gitondo,"34:42:SL:TIME,46:73:SL:TIME",[IN:alarm [SL:TIME saa kumi] [SL:TIME saa ku n'imwa za mu gitondo] ]
