domain,intent,text,spans,logical_form
banking,balance,Ego ole ka ndị Access Bank sị na ego m fọrọ ,15:26:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Access Bank] ]
banking,balance,Maara ma ego m fọrọ na Ecobank akaụntụ ọ ga-ezu ịkwụ ụgwọ akwụkwọ m,"23:30:SL:BANK_NAME,53:65:SL:BILL_TYPE",[IN:balance [SL:BANK_NAME Ecobank] [SL:BILL_TYPE ụgwọ akwụkwọ] ]
banking,balance,E nwere m ego ọ bụla na Union bank akaụntụ m ,24:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Union] ]
banking,balance,"Zigara ndị Firstbank ozi, gwa ha na achọrọ m ịhụ ihe dị na akaụntụ ndebe ego m ","11:20:SL:BANK_NAME,59:76:SL:ACCOUNT_TYPE",[IN:balance [SL:BANK_NAME Firstbank] [SL:ACCOUNT_TYPE akaụntụ ndebe ego] ]
banking,balance,"Ọgbara m hari ihe dị na kọrent akaụntụ Providus bank m, biko letera m","24:38:SL:ACCOUNT_TYPE,39:47:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] [SL:BANK_NAME Providus] ]
banking,balance,Gịnị ka ndị Heritage bank sị na ego m fọrọ ,12:20:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Heritage] ]
banking,balance,Enwere m ike ịmata ego ole fọrọ na savings akaụntụ m nke Guaranty Trust bank,"35:50:SL:ACCOUNT_TYPE,57:76:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] [SL:BANK_NAME Guaranty Trust bank] ]
banking,balance,Kedu ngụkọta ọnụ ahịa m ma ị gbakọọ ego nọ n'akaụntụ m niile,,[IN:balance ]
banking,balance,Gịnị fọrọ na akaụntụ ụtụ anyi,,[IN:balance ]
banking,balance,Gwa m ihe m nwere na akaụntụ ndebe ego m nke ụlọ akụ Polaris ,"21:38:SL:ACCOUNT_TYPE,53:60:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ ndebe ego] [SL:BANK_NAME Polaris] ]
banking,balance,Ego ndị dị na savings akaụntụ m o nwere ike kpuchi tiketi ụgbọ elu m,14:29:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] ]
banking,balance,Ị nwere ike ime ka m mara ihe fọrọ na akaụntụ m nke First City Monument,52:71:SL:BANK_NAME,[IN:balance [SL:BANK_NAME First City Monument] ]
banking,balance,Gịnị bụ ihe fọrọ ugbu a na kọrent akaụntụ m nke UBA,"27:41:SL:ACCOUNT_TYPE,48:51:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] [SL:BANK_NAME UBA] ]
banking,balance,"Ị nwere ike ime ka m mara ihe ego m fọrọ, biko",,[IN:balance ]
banking,balance,Biko ị nwere ike ị leta ego fọrọ n'akaụntụ m?,,[IN:balance ]
banking,balance,Ị nwere ike ị gwa m ihe fọrọ n'akaụntụ nwa akwụkwọ m,31:50:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaụntụ nwa akwụkwọ] ]
banking,balance,Ego ole ka m nwere na akaụntụ Sterling m ugbu a,30:38:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Sterling] ]
banking,balance,Gịnị bụ ihe fọrọ na akaụntụ nwa akwụkwọ m ka taa,20:39:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaụntụ nwa akwụkwọ] ]
banking,balance,Ego ole ka m nwere na savings akaụntụ Union bank m ugbua,"22:37:SL:ACCOUNT_TYPE,38:43:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] [SL:BANK_NAME Union] ]
banking,balance,Ị nwere ike ikwu ihe dị na kọrent akaụntụ m nke Firstbank ụnyaahụ ,"27:41:SL:ACCOUNT_TYPE,48:57:SL:BANK_NAME,58:65:SL:DATE",[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] [SL:BANK_NAME Firstbank] [SL:DATE ụnyaahụ] ]
banking,balance,Ego ole fọdụrụ na akaụntụ ndebe ego m?,18:35:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaụntụ ndebe ego] ]
banking,balance,Ị nwere ike ị gwa m na ihe fọrọ n'akaụntụ ndebe ego m,34:51:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaụntụ ndebe ego] ]
banking,balance,Leta ma ego dị na kọrent akaụntụ ezinaụlọ anyị ọ ga ekpuchi tiketi ụgbọ elu anyi niile ,18:32:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] ]
banking,balance,Gwa m ihe fọrọ n'akaụntụ nwa akwụkwọ m nke  Fidelity bank ,"17:36:SL:ACCOUNT_TYPE,44:57:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ nwa akwụkwọ] [SL:BANK_NAME Fidelity bank] ]
banking,balance,Enwere m ego ọ bụla fọdụrụ n'ime savings akaụntụ m,33:48:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] ]
banking,balance,Ego ole ka m nwere na Monie Point akaụntụ m ,22:33:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Monie Point] ]
banking,balance,Biko letara m ihe fọrọ na Opay m,26:30:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Opay] ]
banking,balance,Kedụ ka m ga-esi maara ihe dị na akaụntụ Kuda bank m ugbu a ,"41:50:SL:PAYMENT_COMPANY,53:59:SL:TIME",[IN:balance [SL:PAYMENT_COMPANY Kuda bank] [SL:TIME ugbu a] ]
banking,balance,Ndị Palm pay ọ ga-egosi m ihe fọrọ na akaụntụ m taa,"4:12:SL:PAYMENT_COMPANY,48:51:SL:DATE",[IN:balance [SL:PAYMENT_COMPANY Palm pay] [SL:DATE taa] ]
banking,balance,Ego ole dị na Momo akaụntụ m,14:18:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Momo] ]
banking,balance,Maara ma ego fọrọ na NowNow akaụntụ m ọ ga-ezu ịzụta ihe oriri m n'izu a,"21:27:SL:PAYMENT_COMPANY,67:72:SL:DATE",[IN:balance [SL:PAYMENT_COMPANY NowNow] [SL:DATE izu a] ]
banking,balance, ego ole fọrọ na savings akaụntụ m nke Optimus bank,"17:32:SL:ACCOUNT_TYPE,39:51:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] [SL:BANK_NAME Optimus bank] ]
banking,balance,Achọrọ m ka ndị Fidelity bank zitere m nkwupụta akaụntụ m nke ọnwa May ,"16:24:SL:BANK_NAME,67:70:SL:DATE",[IN:balance [SL:BANK_NAME Fidelity] [SL:DATE May] ]
banking,balance,Kedụ otu m ga-esi mata ma ego ọ fọrọ na kọrent akaụntụ m nke GTBank,"40:54:SL:ACCOUNT_TYPE,61:67:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] [SL:BANK_NAME GTBank] ]
banking,balance,"Ọ bụrụ na m wepụ puku iri na Globus Bank akaụntụ m, gịnị ga-afọ ","17:25:SL:NUMBER,29:35:SL:BANK_NAME",[IN:balance [SL:NUMBER puku iri] [SL:BANK_NAME Globus] ]
banking,balance,"Kpọọ ndị Heritage Bank, gwa ha na m chọrọ ịmata ihe dị na akaụntụ ndebe ego m ugbu a ","9:17:SL:BANK_NAME,58:75:SL:ACCOUNT_TYPE",[IN:balance [SL:BANK_NAME Heritage] [SL:ACCOUNT_TYPE akaụntụ ndebe ego] ]
banking,balance,Gwa m ihe fọrọ n'akaụntụ m nke Union bank ,31:41:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Union bank] ]
banking,balance,Gwa m ihe fọrọ na akaụntụ mụ na di m nke dị na Keystone bank,47:55:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Keystone] ]
banking,balance,Ị nwere ike ị gwa m ihe fọrọ na kọrent akaụntụ m,32:46:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] ]
banking,balance,Ego ahụ dị n'akaụntụ nwa akwụkwọ m o nwere ike  ị zuru m ịgba ụgbọ ala,13:32:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaụntụ nwa akwụkwọ] ]
banking,balance,Gwa m ihe m nwere na kọrent akaụntụ Wema Bank m ,"21:35:SL:ACCOUNT_TYPE,36:40:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] [SL:BANK_NAME Wema] ]
banking,balance,Gịnị fọrọ n'akaụntụ ndebe ego m na Loma Bank. ,"12:29:SL:ACCOUNT_TYPE,35:39:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ ndebe ego] [SL:BANK_NAME Loma] ]
banking,balance,O nwere ego fọrọ n'akaụntụ mụ na di? ,,[IN:balance ]
banking,balance,ego ole  ka ọ dị ka m nwere n'akaụntụ Access Bank  m,38:44:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Access] ]
banking,balance,O nwekwara nnọọ ego fọrọ na kọrent akaụntụ m nke Alternative Bank,"28:42:SL:ACCOUNT_TYPE,49:65:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] [SL:BANK_NAME Alternative Bank] ]
banking,balance,Ị nwere ike ịchọpụta ego ole m nwere na akaụntụ m nke Chikum micro finance,54:74:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Chikum micro finance] ]
banking,balance,Ego m ọ fọrọ iji zụta ụgbọ ala ,,[IN:balance ]
banking,balance,E nwere m ego ga-ezu ịzụ ụgbọ ala n'akaụntụ Loma Bank m,44:48:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Loma] ]
banking,balance,Biko chọpụtara m ihe dị na akaụntụ ndebe ego m nke Lotus Bank,"27:44:SL:ACCOUNT_TYPE,51:61:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ ndebe ego] [SL:BANK_NAME Lotus Bank] ]
banking,balance,A ga m achọ ịma ihe ego ole fọrọ na Mkudi akaụntụ m,36:41:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Mkudi] ]
banking,balance,Achọrọ m enyemaka na nkwupụta akaụntụ Paga m,38:42:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Paga] ]
banking,balance,Kedụ oge ole nọ n'akaụntụ nwa akwụkwọ m nke Parallex bank kemgbe afọ gara aga ,"18:37:SL:ACCOUNT_TYPE,44:52:SL:BANK_NAME,65:77:SL:DATE",[IN:balance [SL:ACCOUNT_TYPE akaụntụ nwa akwụkwọ] [SL:BANK_NAME Parallex] [SL:DATE afọ gara aga] ]
banking,balance,Ego ole fọrọ na Providus bank akaụntụ m,16:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Providus bank] ]
banking,balance,Ego nọ n'akaụntụ Renmoney m ọ ga-ezu m ịzụta akpụkpọ ụkwụ ọhụrụ ,"17:25:SL:PAYMENT_COMPANY,45:57:SL:SHOPPING_ITEM",[IN:balance [SL:PAYMENT_COMPANY Renmoney] [SL:SHOPPING_ITEM akpụkpọ ụkwụ] ]
banking,balance,Ego nọ na savings akaụntụ Signature bank ọ gwụla ,"10:25:SL:ACCOUNT_TYPE,26:35:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] [SL:BANK_NAME Signature] ]
banking,balance,Kedụ ego ole fọrọ na SmartCash akaụntụ m ugbua ,21:30:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY SmartCash] ]
banking,balance,E nwere m ihe rụrụ puku naira iri na Sparkle akaụntụ m,"19:33:SL:MONEY,37:44:SL:PAYMENT_COMPANY",[IN:balance [SL:MONEY puku naira iri] [SL:PAYMENT_COMPANY Sparkle] ]
banking,balance,Ego ole nọ n'akaụntụ nwa akwụkwọ nke Stanbic bank m ,"13:32:SL:ACCOUNT_TYPE,37:44:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ nwa akwụkwọ] [SL:BANK_NAME Stanbic] ]
banking,balance,Gịnị ga-afọ ma m wepụ otu nde narịa site na  savings akaụntụ m nke Standard Chartered bank,"22:35:SL:MONEY,45:60:SL:ACCOUNT_TYPE,67:85:SL:BANK_NAME",[IN:balance [SL:MONEY otu nde narịa] [SL:ACCOUNT_TYPE savings akaụntụ] [SL:BANK_NAME Standard Chartered] ]
banking,balance,I nwere ike ị gwa m ihe fọrọ na kọrent akaụntụ m nke Suntrust bank,"32:46:SL:ACCOUNT_TYPE,53:61:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE kọrent akaụntụ] [SL:BANK_NAME Suntrust] ]
banking,balance,Kedụ ka m ga-esi mara ihe fọrọ n'akaụntụ ndebe ego m nke Trust bank,"33:50:SL:ACCOUNT_TYPE,57:62:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ ndebe ego] [SL:BANK_NAME Trust] ]
banking,balance,Maara ma o nwere nọ ego fọrọ na akaụntụ Zikora bank m,40:46:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Zikora] ]
banking,balance,"Degaara ndị Unity bank ozi, gwa ha depụtara m ihe fọrọ n'akaụntụ ndebe ego m","12:17:SL:BANK_NAME,57:74:SL:ACCOUNT_TYPE",[IN:balance [SL:BANK_NAME Unity] [SL:ACCOUNT_TYPE akaụntụ ndebe ego] ]
banking,balance,Ego ole fọrọ na savings akaụntụ m nke Thrive bank m,"16:31:SL:ACCOUNT_TYPE,38:44:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] [SL:BANK_NAME Thrive] ]
banking,balance,Gwa m ego ole m ji bata n'ọnwa Nọvemba,31:38:SL:DATE,[IN:balance [SL:DATE Nọvemba] ]
banking,balance,Ego m dị na UBA ọ fọrọ ego ole,12:15:SL:BANK_NAME,[IN:balance [SL:BANK_NAME UBA] ]
banking,balance,Ị nwere ike ị gwa m ihe fọrọ na savings akaụntụ ,32:47:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] ]
banking,balance,Maara ma ego fọrọ na akaụntụ ndebe ego m nke Unity bank ọ ga ekpuchi ụgwọ m ji Mr Marcus ,"21:38:SL:ACCOUNT_TYPE,45:55:SL:BANK_NAME,82:88:SL:PERSONAL_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ ndebe ego] [SL:BANK_NAME Unity bank] [SL:PERSONAL_NAME Marcus] ]
banking,balance,Biko Gwa m ihe m nwere na savings akaụntụ m ugbu a ,26:41:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE savings akaụntụ] ]
banking,balance,Enwere m ego ọ bụla n'akaụntụ nwa akwụkwọ m nke Zenith Bank ,"22:41:SL:ACCOUNT_TYPE,48:54:SL:BANK_NAME",[IN:balance [SL:ACCOUNT_TYPE akaụntụ nwa akwụkwọ] [SL:BANK_NAME Zenith] ]
