domain,intent,text,spans,logical_form,xtreme-up,source_language
kitchen_and_dining,restaurant_reservation,I reserved a seat at the restaurant Chez L Homme Tranquille in Saly at 9pm.,"32:55:SL:RESTAURANT_NAME,64:68:SL:CITY_OR_PROVINCE,72:83:SL:TIME",[IN:restaurant_reservation [SL:RESTAURANT_NAME Chez L Homme Tranquille] [SL:CITY_OR_PROVINCE Saly] [SL:TIME 9h ci ngoon] ],RESTAURANT_NAME: Chez L Homme Tranquille $$ CITY_OR_PROVINCE: Saly $$ TIME: 9h ci ngoon,wol
kitchen_and_dining,restaurant_reservation,Call me at the Phoenix Palace today at 8pm for four nights,"17:22:SL:RESTAURANT_NAME,23:26:SL:DATE,31:34:SL:TIME,46:52:SL:NUMBER",[IN:restaurant_reservation [SL:RESTAURANT_NAME fenix] [SL:DATE tey] [SL:TIME 20h] [SL:NUMBER ñeenti] ],RESTAURANT_NAME: fenix $$ DATE: tey $$ TIME: 20h $$ NUMBER: ñeenti,wol
kitchen_and_dining,restaurant_reservation,Did Baobab have a palace dinner there?,"0:6:SL:RESTAURANT_NAME,39:43:SL:MEAL_PERIOD",[IN:restaurant_reservation [SL:RESTAURANT_NAME Baobab] [SL:MEAL_PERIOD reer] ],RESTAURANT_NAME: Baobab $$ MEAL_PERIOD: reer,wol
kitchen_and_dining,restaurant_reservation,please help me to make a reservation at the restaurant La Parrilla at 6 pm,"47:58:SL:RESTAURANT_NAME,62:65:SL:TIME",[IN:restaurant_reservation [SL:RESTAURANT_NAME La Parrilla] [SL:TIME 18h] ],RESTAURANT_NAME: La Parrilla $$ TIME: 18h,wol
banking,pay_bill,pay my water bill before it gets wet,14:26:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE facture ndox] ],BILL_TYPE: facture ndox,wol
banking,pay_bill,how will he pay my bill again,25:38:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE facture kuraŋ] ],BILL_TYPE: facture kuraŋ,wol
banking,pay_bill,How will he pay the water bill with my count free money?,"20:32:SL:BILL_TYPE,47:57:SL:PAYMENT_COMPANY",[IN:pay_bill [SL:BILL_TYPE facture ndox] [SL:PAYMENT_COMPANY free money] ],BILL_TYPE: facture ndox $$ PAYMENT_COMPANY: free money,wol
banking,pay_bill,Pay my water bill,14:26:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE facture ndox] ],BILL_TYPE: facture ndox,wol
banking,spending_history,how much money does the bank charge me to send a chicken to the office?,48:54:SL:CALENDAR_EVENT,[IN:spending_history [SL:CALENDAR_EVENT korite] ],CALENDAR_EVENT: korite,wol
banking,spending_history,How much money did you make to support the brothers?,33:40:SL:CALENDAR_EVENT,[IN:spending_history [SL:CALENDAR_EVENT tabaski] ],CALENDAR_EVENT: tabaski,wol
utility,alarm,Can you set the alarm for the salon in Lagos for 5:40 p.m.?,"42:47:SL:CITY_OR_PROVINCE,52:66:SL:TIME",[IN:alarm [SL:CITY_OR_PROVINCE Lagos] [SL:TIME 5: 40 ci ngoon] ],CITY_OR_PROVINCE: Lagos $$ TIME: 5: 40 ci ngoon,wol
utility,alarm,Can you set an alarm for the curfew in Jakarta?,44:48:SL:CITY_OR_PROVINCE,[IN:alarm [SL:CITY_OR_PROVINCE Ndar] ],CITY_OR_PROVINCE: Ndar,wol
