domain,intent,text,spans,logical_form
kitchen_and_dining,restaurant_reservation,reserwel ma palaas ci restorant Chez L Homme Tranquille bi nekk Saly su 9h ci ngoon jote,"32:55:SL:RESTAURANT_NAME,64:68:SL:CITY_OR_PROVINCE,72:83:SL:TIME",[IN:restaurant_reservation [SL:RESTAURANT_NAME Chez L Homme Tranquille] [SL:CITY_OR_PROVINCE Saly] [SL:TIME 9h ci ngoon] ]
kitchen_and_dining,restaurant_reservation,Diapal ma palass fenix tey bou 20h jote pour  ñeenti nite,"17:22:SL:RESTAURANT_NAME,23:26:SL:DATE,31:34:SL:TIME,46:52:SL:NUMBER",[IN:restaurant_reservation [SL:RESTAURANT_NAME fenix] [SL:DATE tey] [SL:TIME 20h] [SL:NUMBER ñeenti] ]
kitchen_and_dining,restaurant_reservation,Baobab meun na fa am palaas ngoon guir reer?,"0:6:SL:RESTAURANT_NAME,39:43:SL:MEAL_PERIOD",[IN:restaurant_reservation [SL:RESTAURANT_NAME Baobab] [SL:MEAL_PERIOD reer] ]
kitchen_and_dining,restaurant_reservation,ndax mun ngama dimbali ma reserwe ca restorant La Parrilla bu 18h jote,"47:58:SL:RESTAURANT_NAME,62:65:SL:TIME",[IN:restaurant_reservation [SL:RESTAURANT_NAME La Parrilla] [SL:TIME 18h] ]
banking,pay_bill,feyal ma sama facture ndox mi bala mo wessou,14:26:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE facture ndox] ]
banking,pay_bill,naka lay def ba fey sama facture kuraŋ,25:38:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE facture kuraŋ] ]
banking,pay_bill,naka lay def ba fey facture ndox ak sama count free money?,"20:32:SL:BILL_TYPE,47:57:SL:PAYMENT_COMPANY",[IN:pay_bill [SL:BILL_TYPE facture ndox] [SL:PAYMENT_COMPANY free money] ]
banking,pay_bill,Feyal ma sama facture ndox mi,14:26:SL:BILL_TYPE,[IN:pay_bill [SL:BILL_TYPE facture ndox] ]
banking,spending_history,ñaata ci xaalis la depaase bi may jénd ndugg ci korite bi ?,48:54:SL:CALENDAR_EVENT,[IN:spending_history [SL:CALENDAR_EVENT korite] ]
banking,spending_history,ñaata ci xaalis la def si niawou tabaski yi?,33:40:SL:CALENDAR_EVENT,[IN:spending_history [SL:CALENDAR_EVENT tabaski] ]
utility,alarm,"Ndax mën nga tëral alarm ci salon bi nekk Lagos, ci 5: 40 ci ngoon?","42:47:SL:CITY_OR_PROVINCE,52:66:SL:TIME",[IN:alarm [SL:CITY_OR_PROVINCE Lagos] [SL:TIME 5: 40 ci ngoon] ]
utility,alarm,Ndax mën nga tëral alarm ci waxtu fadjar ci Ndar?,44:48:SL:CITY_OR_PROVINCE,[IN:alarm [SL:CITY_OR_PROVINCE Ndar] ]
kitchen_and_dining,restaurant_reviews,Ndax am nga benn xalaat ci restorant bu am ñeenti biddiiw ci Mumbai?,61:67:SL:CITY_OR_PROVINCE,[IN:restaurant_reviews [SL:CITY_OR_PROVINCE Mumbai] ]
kitchen_and_dining,restaurant_reviews,Ndax mën nga ma xamal benn bérab bu ñu gën a xam ci Sushi ci Los Angeles?,"52:57:SL:DISH_OR_FOOD,61:72:SL:CITY_OR_PROVINCE",[IN:restaurant_reviews [SL:DISH_OR_FOOD Sushi] [SL:CITY_OR_PROVINCE Los Angeles] ]
kitchen_and_dining,restaurant_reviews,Ndax am nga benn xalaat ci restorant bu am juroomi biddiiw ci Dubai?,"43:50:SL:NUMBER,62:67:SL:CITY_OR_PROVINCE",[IN:restaurant_reviews [SL:NUMBER juroomi] [SL:CITY_OR_PROVINCE Dubai] ]
kitchen_and_dining,restaurant_reviews,Ndax mën nga ma xamal benn bérab bu ñu gën a xam ci yapp ci Nairobi?,"22:26:SL:NUMBER,52:56:SL:DISH_OR_FOOD,60:67:SL:CITY_OR_PROVINCE",[IN:restaurant_reviews [SL:NUMBER benn] [SL:DISH_OR_FOOD yapp] [SL:CITY_OR_PROVINCE Nairobi] ]
travel,exchange_rate,Lu tollo ak 5000 MAD ci dolaar yu Canada?,"12:20:SL:MONEY,17:20:SL:CURRENCY,24:30:SL:CURRENCY,34:40:SL:COUNTRY",[IN:exchange_rate [SL:MONEY 5000 MAD] [SL:CURRENCY MAD] [SL:CURRENCY dolaar] [SL:COUNTRY Canada] ]
