domain,intent,text,spans,logical_form
banking,balance,"Je, nina shilingi ngapi katika akaunti yangu ya Akiba ya NBC benki?","9:17:SL:CURRENCY,31:53:SL:ACCOUNT_TYPE,57:60:SL:BANK_NAME",[IN:balance [SL:CURRENCY shilingi] [SL:ACCOUNT_TYPE akaunti yangu ya Akiba] [SL:BANK_NAME NBC] ]
banking,balance,Ni kiasi gani kimebaki kwenye akaunti yangu ya T-pesa baada ya kufanya manunuzi ya vifaa vya nyumbani?,47:53:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY T-pesa] ]
banking,balance,Ni kiasi gani cha pesa kipo katika akaunti yangu ya Amana benki?,52:57:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Amana] ]
banking,balance,Ni salio gani limebaki katika akaunti yangu ya halo-pesa?,47:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY halo-pesa] ]
banking,balance,Ni kiasi gani cha pesa kipo katika akaunti yangu ya Tigo-pesa?,52:61:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Tigo-pesa] ]
banking,balance,Akaunti yangu ya Nbc imebakiwa na kiasi gani cha pesa?,17:20:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nbc] ]
banking,balance,Tafadhali angalia salio kwenye akanti yangu ya kuustafu.,31:55:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akanti yangu ya kuustafu] ]
banking,balance,Nijulishe kiasi kilichopo  katika akaunti yangu ya Azam-pesa.,51:60:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Azam-pesa] ]
banking,balance,Angalia salio la akaunti yangu ya akiba.,17:39:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya akiba] ]
banking,balance,"Je, nina kiasi cha kutosha kuweza kufanya uhamisho wa shilingi milioni saba?",54:75:SL:MONEY,[IN:balance [SL:MONEY shilingi milioni saba] ]
banking,balance,Angalia salio la akaunti yangu ya dharura.,17:41:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya dharura] ]
banking,balance,Je ni kiasi gani cha pesa kilichobaki kwenye akaunti ya Nbc benki?,56:59:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nbc] ]
banking,balance,Angalia salio la akaunti ya akiba ya mke wangu?,17:33:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti ya akiba] ]
banking,balance,Je nina kiasi cha kutosha katika akaunti yangu m-pesa kuweza kununua Gari aina ya Toyota Hilux?,47:53:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY m-pesa] ]
banking,balance,Angalia salio katika akaunti yangu ya Crdb benki.,38:42:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Crdb] ]
banking,balance,Je ni kiasi gani kimebaki katika akaunti yangu ya M-pesa?,50:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ]
banking,balance,Tafadhali angalia salio la akaunti yangu ya Stanbic benki.,44:51:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Stanbic] ]
banking,balance,Je ni shilingi ngapi zimebaki kwenye akaunti yangu ya Crdb benki baada ya manunuzi ya siku ya leo?,"6:14:SL:CURRENCY,54:58:SL:BANK_NAME,94:97:SL:DATE",[IN:balance [SL:CURRENCY shilingi] [SL:BANK_NAME Crdb] [SL:DATE leo] ]
banking,balance,Nimetumia kiasi gani katika akaunti yangu ya Azania benki katika kipindi cha miezi mitatu iliyopita?,"45:51:SL:BANK_NAME,77:99:SL:DATE",[IN:balance [SL:BANK_NAME Azania] [SL:DATE miezi mitatu iliyopita] ]
banking,balance,"Je, ni shilingi ngapi zimebaki katika akaunti yangu ya DTB benki baada ya manunuzi ya vifaa vya ujenzi?","7:15:SL:CURRENCY,55:58:SL:BANK_NAME,86:102:SL:SHOPPING_ITEM",[IN:balance [SL:CURRENCY shilingi] [SL:BANK_NAME DTB] [SL:SHOPPING_ITEM vifaa vya ujenzi] ]
banking,balance,Angalia salio la akaunti yangu ya M-pesa kwa kutumia M-pesa App.,34:40:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ]
banking,balance,"Je, akaunti yangu ya Tigo-pesa ina salio la shilingi ngapi?","21:30:SL:PAYMENT_COMPANY,44:52:SL:CURRENCY",[IN:balance [SL:PAYMENT_COMPANY Tigo-pesa] [SL:CURRENCY shilingi] ]
banking,balance,Ni kiasi gani pesa kilichosalia katika akaunti yangu ya kustaafu?,,[IN:balance ]
banking,balance,"Je, ni kiasi gani kilichosalia kwenye mkopo wangu wa Nmb Benki?",53:56:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nmb] ]
banking,balance,Angalia salio la akaunti yangu ya M-pesa.,34:40:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ]
banking,balance,"Je, nina kiasi gani katika akaunti yangu ya dharura?",27:51:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya dharura] ]
banking,balance,"Je, ni salio gani limesalia kwenye mkopo wa gari langu?",,[IN:balance ]
banking,balance,Akaunti yangu ya Nbc Benki imebakiwa na kiasi gani?,17:20:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nbc] ]
banking,balance,Ni kiasi gani kimebaki kwenye akaunti yangu ya Halo-pesa?,47:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Halo-pesa] ]
banking,balance,"Je, nina shilingi ngapi katika hazina ya matengenezo ya gari langu?",9:17:SL:CURRENCY,[IN:balance [SL:CURRENCY shilingi] ]
banking,balance,Ni kiasi gani kimebaki kwenye akaunti yangu ya Azam-pesa?,47:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Azam-pesa] ]
banking,balance,Angalia salio la akaunti yangu ya Z-pesa.,34:40:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Z-pesa] ]
banking,balance,Ni kiasi gani cha pesa kimebaki katika akaunti yangu ya benki ya Amana?,65:70:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Amana] ]
banking,balance,Ni kiasi gani kilichobaki katika akaunti yangu ya M-pesa?,50:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ]
banking,balance,"Je, nina kiasi cha kutosha kuweza kufanya uhamisho wa shilingi laki tatu?",54:72:SL:MONEY,[IN:balance [SL:MONEY shilingi laki tatu] ]
banking,balance,Angalia salio kwenye akaunti yangu ya Absa benki.,38:42:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Absa] ]
banking,balance,Angalia salio katika akaunti yangu ya Tigo-pesa.,38:47:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Tigo-pesa] ]
banking,balance,Je ni shilingi ngapi zimebaki katika akaunti yangu ya Tigo-pesa?,"6:14:SL:CURRENCY,54:63:SL:PAYMENT_COMPANY",[IN:balance [SL:CURRENCY shilingi] [SL:PAYMENT_COMPANY Tigo-pesa] ]
banking,balance,Ningependa kuangalia salio katika akaunti ya ujenzi wa shule.,,[IN:balance ]
banking,balance,"Je, nina pesa kiasi gani kwenye akaunti yangu ya Amana benki sasa hivi?","49:54:SL:BANK_NAME,61:70:SL:TIME",[IN:balance [SL:BANK_NAME Amana] [SL:TIME sasa hivi] ]
banking,balance,Tafadhali angalia salio katika akaunti yangu ya Nmb benki.,48:51:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nmb] ]
banking,balance,Ni kiasi gani cha salio kimebaki kwenye akaunti yangu ya biashara?,40:65:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya biashara] ]
banking,balance,"Je, nina kiasi gani cha pesa kwenye akaunti yangu ya uwekezaji?",36:62:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya uwekezaji] ]
banking,balance,Angalia salio katika akaunti yangu ya kustaafu.,21:46:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya kustaafu] ]
banking,balance,Ni kiasi gani cha pesa kimebaki kwenye akaunti yangu ya Tigo-pesa?,56:65:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Tigo-pesa] ]
banking,balance,Kiasi gani cha pesa kimebaki kwenye akaunti yangu ya dharura?,,[IN:balance ]
banking,balance,Kiasi gani cha pesa kimebaki katika akaunti ya akiba ya watoto wangu?,36:52:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti ya akiba] ]
banking,balance,Angalia salio la akaunti yangu ya likizo.,,[IN:balance ]
banking,balance,"Je, ni kiasi gani kimebaki kwenye akaunti yangu ya M-pesa?",51:57:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ]
banking,balance,Ni kiasi gani kipo katika akaunti yangu ya benki ya Crdb?,52:56:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Crdb] ]
banking,balance,Ni shilingi ngapi zimebaki kwenye akaunti ya ujenzi wa hospitali?,3:11:SL:CURRENCY,[IN:balance [SL:CURRENCY shilingi] ]
banking,balance,Tafadhali nijulishe salio liliopo kwenye akaunti yangu ya Halo-pesa.,58:67:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Halo-pesa] ]
banking,balance,Angalia salio kwenye akaunti yangu ya Nmb benki.,38:41:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nmb] ]
banking,balance,Tafadhali hakikisha kama nina salio la kutosha kutuma shilingi elfu sabini kwa Ahmedi katika akaunti yangu Azam-pesa.,"54:74:SL:MONEY,79:85:SL:PERSONAL_NAME,107:116:SL:PAYMENT_COMPANY",[IN:balance [SL:MONEY shilingi elfu sabini] [SL:PERSONAL_NAME Ahmedi] [SL:PAYMENT_COMPANY Azam-pesa] ]
banking,balance,Ni kiasi gani kimebaki kwenye akaunti yangu ya Commercial Benki?,47:57:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Commercial] ]
banking,balance,Angalia salio katika akaunti yangu ya dharura.,21:45:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya dharura] ]
banking,balance,Ni kiasi gani kimebaki kwenye akaunti yangu ya Nbc benki?,47:50:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nbc] ]
banking,balance,Tafadhali nijulishe kiwango cha pesa kilichopo katika akaunti ya ujenzi wa shule?,,[IN:balance ]
banking,balance,Angalia kiwango cha pesa kilichobaki katika akaunti ya akiba ya watoto wangu.,44:60:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti ya akiba] ]
