domain,intent,text,spans,logical_form,xtreme-up,source_language
utility,alarm,i want to set up an alarm on the computer,,[IN:alarm ],,kin
utility,alarm,set the alarm for tomorrow at 1.30,21:41:SL:DATE,[IN:alarm [SL:DATE saa moya n'igice ejo] ],DATE: saa moya n'igice ejo,kin
utility,alarm,set the alarm for tomorrow at eleven o'clock ,20:38:SL:TIME,[IN:alarm [SL:TIME ejo sa kumi n'imwe] ],TIME: ejo sa kumi n'imwe,kin
utility,alarm,Please set an alarm.,,[IN:alarm ],,kin
utility,alarm,i want to set up an alarm,,[IN:alarm ],,kin
utility,alarm,i wish someone would set an alarm for me,,[IN:alarm ],,kin
utility,alarm,who can set my alarm,,[IN:alarm ],,kin
utility,alarm,set the alarm for five o'clock in the morning,20:38:SL:TIME,[IN:alarm [SL:TIME saa tanu z'amanywa] ],TIME: saa tanu z'amanywa,kin
utility,alarm,set the alarm for midnight,21:39:SL:TIME,[IN:alarm [SL:TIME sa mbili za nijoro] ],TIME: sa mbili za nijoro,kin
utility,alarm,set the alarm for ten o'clock,21:29:SL:TIME,[IN:alarm [SL:TIME saa kumi] ],TIME: saa kumi,kin
utility,alarm,I want the alarm for eleven o'clock,20:35:SL:TIME,[IN:alarm [SL:TIME saa kumi n'imwe] ],TIME: saa kumi n'imwe,kin
utility,alarm,I need a menstrual alarm,,[IN:alarm ],,kin
utility,alarm,I want an alert now,17:26:SL:TIME,[IN:alarm [SL:TIME ubu ngubu] ],TIME: ubu ngubu,kin
utility,alarm,set the alarm for tomorrow evening at two,20:44:SL:DATE,[IN:alarm [SL:DATE ejo nimugoroba saa mbili] ],DATE: ejo nimugoroba saa mbili,kin
utility,alarm,come set my alarm for 7 o'clock,29:34:SL:TIME,[IN:alarm [SL:TIME saa 7] ],TIME: saa 7,kin
utility,alarm,I need you to set my alarm for four o'clock tomorrow,40:48:SL:TIME,[IN:alarm [SL:TIME saa moya] ],TIME: saa moya,kin
utility,alarm,"set the alarm for two in the morning, please",21:43:SL:TIME,[IN:alarm [SL:TIME saa mbili za mugitondo] ],TIME: saa mbili za mugitondo,kin
utility,alarm,please add another alarm,,[IN:alarm ],,kin
utility,alarm,set the alarm.,,[IN:alarm ],,kin
utility,alarm,set my alarm for 11 o'clock,31:46:SL:TIME,[IN:alarm [SL:TIME saa kumi n'imwe] ],TIME: saa kumi n'imwe,kin
utility,alarm,I'm going to make an alarm.,,[IN:alarm ],,kin
utility,alarm,i want to set an alarm on my phone,,[IN:alarm ],,kin
utility,alarm,Set up an alarm,,[IN:alarm ],,kin
utility,alarm,I need an alarm clock,,[IN:alarm ],,kin
utility,alarm,I need you to set my 4am and 2am alarm,"36:39:SL:TIME,44:45:SL:TIME",[IN:alarm [SL:TIME 4am] [SL:TIME 2] ],TIME: 4am $$ TIME: 2,kin
utility,alarm,I recommend that the alarm goes off at two o'clock in the morning,"25:35:SL:TIME,36:59:SL:TIME",[IN:alarm [SL:TIME nimugoriba] [SL:TIME saa mbili za mu gitongo] ],TIME: nimugoriba $$ TIME: saa mbili za mu gitongo,kin
utility,alarm,you can set an alarm for 2:15 tomorrow,32:51:SL:TIME,[IN:alarm [SL:TIME saa mbili na 15 ejo] ],TIME: saa mbili na 15 ejo,kin
utility,alarm,I set the alarm for 7:30 in the garden and 11:00,"24:39:SL:TIME,42:51:SL:TIME",[IN:alarm [SL:TIME 7:30 mu gitongo] [SL:TIME iya 11:00] ],TIME: 7:30 mu gitongo $$ TIME: iya 11:00,kin
utility,alarm,set the alarm for 4.30 am and 5 am ,"21:28:SL:TIME,35:39:SL:TIME",[IN:alarm [SL:TIME 4.30 am] [SL:TIME 5 am] ],TIME: 4.30 am $$ TIME: 5 am,kin
utility,alarm,set the 9 pm and 11 pm alarms.,"17:21:SL:TIME,28:33:SL:TIME",[IN:alarm [SL:TIME 9 pm] [SL:TIME 11 pm] ],TIME: 9 pm $$ TIME: 11 pm,kin
utility,alarm,set the alarm to start at 10 pm evening ,30:43:SL:TIME,[IN:alarm [SL:TIME 10 pm evening] ],TIME: 10 pm evening,kin
utility,alarm,set the alarm for tomorrow morning at 4 o'clock,,[IN:alarm ],,kin
utility,alarm,set two alarm clocks at 4 and 10,"29:34:SL:TIME,41:47:SL:TIME",[IN:alarm [SL:TIME saa 4] [SL:TIME saa 10] ],TIME: saa 4 $$ TIME: saa 10,kin
utility,alarm,Please set the alarm for tomorrow at dawn,30:43:SL:DATE,[IN:alarm [SL:DATE ejo mu museso] ],DATE: ejo mu museso,kin
utility,alarm,"set two alarms, one on Monday at 2 a.m. and one on Tuesday at 9 a.m.","32:52:SL:DATE,59:90:SL:DATE",[IN:alarm [SL:DATE kuwa mbere saa mbili] [SL:DATE kuwa kabili saa tatu mu gitondo] ],DATE: kuwa mbere saa mbili $$ DATE: kuwa kabili saa tatu mu gitondo,kin
utility,alarm,I'm going to put an alarm,,[IN:alarm ],,kin
utility,alarm,How do I set up an alarm for tomorrow,30:33:SL:DATE,[IN:alarm [SL:DATE ejo] ],DATE: ejo,kin
utility,alarm,"I'd like to put an alert on it, please",,[IN:alarm ],,kin
utility,alarm,set the alarm for Tuesday at twelve,21:45:SL:DATE,[IN:alarm [SL:DATE kuwa 2 saa kumi n'ebyiri] ],DATE: kuwa 2 saa kumi n'ebyiri,kin
utility,alarm,I set the alarm for the park at 4: 00,24:46:SL:TIME,[IN:alarm [SL:TIME saa moya za mu gitongo] ],TIME: saa moya za mu gitongo,kin
utility,alarm,you can set the alarm for ten,25:33:SL:TIME,[IN:alarm [SL:TIME saa kumi] ],TIME: saa kumi,kin
utility,alarm,Sound the alarm at 1:00 a.m.,18:34:SL:TIME,[IN:alarm [SL:TIME saa moya z'ijoro] ],TIME: saa moya z'ijoro,kin
utility,alarm,set the alarm for 4 a.m.,21:40:SL:TIME,[IN:alarm [SL:TIME saa 4 za mu gitondo] ],TIME: saa 4 za mu gitondo,kin
utility,alarm,set the alarm for 8 a.m.,21:41:SL:TIME,[IN:alarm [SL:TIME saa  8 za mu gitondo] ],TIME: saa  8 za mu gitondo,kin
utility,alarm,set the alarm for 4 a.m.,17:36:SL:TIME,[IN:alarm [SL:TIME saa 4 za mu gitongo] ],TIME: saa 4 za mu gitongo,kin
utility,alarm,set the alarm for two o'clock in the evening,21:44:SL:TIME,[IN:alarm [SL:TIME saa mbili za nimugoroba] ],TIME: saa mbili za nimugoroba,kin
utility,alarm,set an alarm for midnight,24:40:SL:TIME,[IN:alarm [SL:TIME saa sita z'ijoro] ],TIME: saa sita z'ijoro,kin
utility,alarm,I need the alarm for twelve o'clock in the evening,"21:38:SL:TIME,42:52:SL:TIME",[IN:alarm [SL:TIME saa kumi n'ebyili] [SL:TIME nimugoroba] ],TIME: saa kumi n'ebyili $$ TIME: nimugoroba,kin
utility,alarm,set an alarm on your phone for the accident,,[IN:alarm ],,kin
utility,alarm,set the alarm for tomorrow at dawn,16:29:SL:TIME,[IN:alarm [SL:TIME ejo mu museso] ],TIME: ejo mu museso,kin
utility,alarm,set up a wake-up call for me.,,[IN:alarm ],,kin
