domain,intent,text,spans,logical_form,xtreme-up,source_language
travel,translate,where can I find the bus to Mlazi?,44:50:SL:PLACE_NAME,[IN:translate [SL:PLACE_NAME eMlazi] ],PLACE_NAME: eMlazi,zul
travel,translate,a plant traveling in a subway?,,[IN:translate ],,zul
travel,translate,greet Clara in Tswana.,"11:16:SL:PERSONAL_NAME,22:28:SL:LANGUAGE_NAME",[IN:translate [SL:PERSONAL_NAME Clara] [SL:LANGUAGE_NAME Tswana] ],PERSONAL_NAME: Clara $$ LANGUAGE_NAME: Tswana,zul
travel,translate,what is the fastest train in south africa?,30:46:SL:COUNTRY,[IN:translate [SL:COUNTRY Ningizimu Afrika] ],COUNTRY: Ningizimu Afrika,zul
travel,translate,what is the main language spoken in Johannesburg?,34:39:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE eGoli] ],CITY_OR_PROVINCE: eGoli,zul
travel,translate,how do you say hello in English?,33:37:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Zulu] ],LANGUAGE_NAME: Zulu,zul
travel,translate,how much is it to go to Pretoria by train from Johannesburg?,"17:24:SL:CITY_OR_PROVINCE,46:51:SL:CITY_OR_PROVINCE",[IN:translate [SL:CITY_OR_PROVINCE ePitoli] [SL:CITY_OR_PROVINCE eGoli] ],CITY_OR_PROVINCE: ePitoli $$ CITY_OR_PROVINCE: eGoli,zul
travel,translate,Does the Gautrain run on weekends?,21:34:SL:DATE,[IN:translate [SL:DATE ngempelasonto] ],DATE: ngempelasonto,zul
travel,translate,what language is spoken in the East?,,[IN:translate ],,zul
travel,translate,is it allowed to take twins on a plane to Korea from South Africa?,"62:68:SL:COUNTRY,78:94:SL:COUNTRY",[IN:translate [SL:COUNTRY eKorea] [SL:COUNTRY Ningizimu Afrika] ],COUNTRY: eKorea $$ COUNTRY: Ningizimu Afrika,zul
travel,translate,tell Grandma I won't be visiting her this December because I'm working.,38:48:SL:DATE,[IN:translate [SL:DATE Zibandlela] ],DATE: Zibandlela,zul
travel,translate,how much does one cow cost in Cape Town?,"17:23:SL:NUMBER,24:29:SL:CITY_OR_PROVINCE",[IN:translate [SL:NUMBER eyodwa] [SL:CITY_OR_PROVINCE eKapa] ],NUMBER: eyodwa $$ CITY_OR_PROVINCE: eKapa,zul
travel,translate,what is the importance of greeting people you meet on the road in Zulu tradition?,76:80:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Zulu] ],LANGUAGE_NAME: Zulu,zul
travel,translate,write a message to say goodbye to Nokuzola and tell him to talk to me tomorrow on my way to work.,29:37:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME Nokuzola] ],PERSONAL_NAME: Nokuzola,zul
travel,translate,what is the famous place for couples to visit in Durban?,49:58:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE eThekwini] ],CITY_OR_PROVINCE: eThekwini,zul
travel,translate,is there an ABSA bank ATM in Mlazi?,"47:51:SL:BANK_NAME,52:58:SL:PLACE_NAME",[IN:translate [SL:BANK_NAME ABSA] [SL:PLACE_NAME eMlazi] ],BANK_NAME: ABSA $$ PLACE_NAME: eMlazi,zul
