domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,How many shillings do I have in my NBC Savings bank account?,"9:17:SL:CURRENCY,31:53:SL:ACCOUNT_TYPE,57:60:SL:BANK_NAME",[IN:balance [SL:CURRENCY shilingi] [SL:ACCOUNT_TYPE akaunti yangu ya Akiba] [SL:BANK_NAME NBC] ],CURRENCY: shilingi $$ ACCOUNT_TYPE: akaunti yangu ya Akiba $$ BANK_NAME: NBC,swa
banking,balance,How much is left in my T-money account after I make household purchases?,47:53:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY T-pesa] ],PAYMENT_COMPANY: T-pesa,swa
banking,balance,How much money is in my Deposit Bank account?,52:57:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Amana] ],BANK_NAME: Amana,swa
banking,balance,What balance is left in my halo-money account?,47:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY halo-pesa] ],PAYMENT_COMPANY: halo-pesa,swa
banking,balance,How much money is in my Tigo-pesa account?,52:61:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Tigo-pesa] ],PAYMENT_COMPANY: Tigo-pesa,swa
banking,balance,How much money is left on my NBC account?,17:20:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nbc] ],BANK_NAME: Nbc,swa
banking,balance,Please see the balance on my checkout counter.,31:55:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akanti yangu ya kuustafu] ],ACCOUNT_TYPE: akanti yangu ya kuustafu,swa
banking,balance,Let me know the amount in my Azam-pesa account.,51:60:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Azam-pesa] ],PAYMENT_COMPANY: Azam-pesa,swa
banking,balance,Look at my savings account balance.,17:39:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya akiba] ],ACCOUNT_TYPE: akaunti yangu ya akiba,swa
banking,balance,Do I have enough to make a transfer of seven million shillings?,54:75:SL:MONEY,[IN:balance [SL:MONEY shilingi milioni saba] ],MONEY: shilingi milioni saba,swa
banking,balance,Check my emergency account balance.,17:41:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya dharura] ],ACCOUNT_TYPE: akaunti yangu ya dharura,swa
banking,balance,How much money was left in the NBC bank account?,56:59:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nbc] ],BANK_NAME: Nbc,swa
banking,balance,Check the balance of my wife's savings account?,17:33:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti ya akiba] ],ACCOUNT_TYPE: akaunti ya akiba,swa
banking,balance,Do I have enough money in my m-money account to buy a Toyota Hilux?,47:53:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY m-pesa] ],PAYMENT_COMPANY: m-pesa,swa
banking,balance,Check the balance in my Crdb bank account.,38:42:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Crdb] ],BANK_NAME: Crdb,swa
banking,balance,How much is left in my M-penny account?,50:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ],PAYMENT_COMPANY: M-pesa,swa
banking,balance,Please check my balance of my Stanbic bank account.,44:51:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Stanbic] ],BANK_NAME: Stanbic,swa
banking,balance,How many shillings are left in my Crdb bank account after today's purchases?,"6:14:SL:CURRENCY,54:58:SL:BANK_NAME,94:97:SL:DATE",[IN:balance [SL:CURRENCY shilingi] [SL:BANK_NAME Crdb] [SL:DATE leo] ],CURRENCY: shilingi $$ BANK_NAME: Crdb $$ DATE: leo,swa
banking,balance,How much have I spent on my Azania bank account in the last three months?,"45:51:SL:BANK_NAME,77:99:SL:DATE",[IN:balance [SL:BANK_NAME Azania] [SL:DATE miezi mitatu iliyopita] ],BANK_NAME: Azania $$ DATE: miezi mitatu iliyopita,swa
banking,balance,How many shillings have I left in my DTB bank account after the purchase of construction materials?,"7:15:SL:CURRENCY,55:58:SL:BANK_NAME,86:102:SL:SHOPPING_ITEM",[IN:balance [SL:CURRENCY shilingi] [SL:BANK_NAME DTB] [SL:SHOPPING_ITEM vifaa vya ujenzi] ],CURRENCY: shilingi $$ BANK_NAME: DTB $$ SHOPPING_ITEM: vifaa vya ujenzi,swa
banking,balance,Check my M-pesa account balance using the M-pesa app.,34:40:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ],PAYMENT_COMPANY: M-pesa,swa
banking,balance,How much money is left in my Tigo-pesa account?,"21:30:SL:PAYMENT_COMPANY,44:52:SL:CURRENCY",[IN:balance [SL:PAYMENT_COMPANY Tigo-pesa] [SL:CURRENCY shilingi] ],PAYMENT_COMPANY: Tigo-pesa $$ CURRENCY: shilingi,swa
banking,balance,How much money is left in my retirement account?,,[IN:balance ],,swa
banking,balance,How much is left on my Nmb Bank loan?,53:56:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nmb] ],BANK_NAME: Nmb,swa
banking,balance,Look at my M-money account balance.,34:40:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ],PAYMENT_COMPANY: M-pesa,swa
banking,balance,How much do I have in my emergency account?,27:51:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE akaunti yangu ya dharura] ],ACCOUNT_TYPE: akaunti yangu ya dharura,swa
banking,balance,What is the balance on my car loan?,,[IN:balance ],,swa
banking,balance,How much is left in my Nbc Bank account?,17:20:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nbc] ],BANK_NAME: Nbc,swa
banking,balance,How much is left in my Hello-money account?,47:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Halo-pesa] ],PAYMENT_COMPANY: Halo-pesa,swa
banking,balance,How much money do I have in my auto repair fund?,9:17:SL:CURRENCY,[IN:balance [SL:CURRENCY shilingi] ],CURRENCY: shilingi,swa
banking,balance,How much is left in my Azam-pesa account?,47:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Azam-pesa] ],PAYMENT_COMPANY: Azam-pesa,swa
banking,balance,Look at my Z-money account balance.,34:40:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Z-pesa] ],PAYMENT_COMPANY: Z-pesa,swa
banking,balance,How much money is left in my Deposit bank account?,65:70:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Amana] ],BANK_NAME: Amana,swa
banking,balance,How much is left in my M-pesa account?,50:56:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY M-pesa] ],PAYMENT_COMPANY: M-pesa,swa
banking,balance,Do I have enough to make a transfer of three hundred thousand shillings?,54:72:SL:MONEY,[IN:balance [SL:MONEY shilingi laki tatu] ],MONEY: shilingi laki tatu,swa
banking,balance,Check the balance on my account of Absa bank.,38:42:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Absa] ],BANK_NAME: Absa,swa
banking,balance,Check the balance in my Tigo-money account.,38:47:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Tigo-pesa] ],PAYMENT_COMPANY: Tigo-pesa,swa
