domain,intent,raw,text,language,spans,logical_form
travel,translate,"""አውቶቢሱን መጠቀም አፈልጋለው"" በኦሮምኛ እንዴት ነው ምለው?","how do I say ""I want to use the bus"" in Oromo language?",amh,40:45:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Oromo] ]
banking,transfer,50000 ብር ከንግድ ባንክ አካውንቴ ወደሲቢኢ ብር ልታስተላልፍልኝ ትችላለህ?,Can you transfer 50000 birr from my commercial Bank account to cbe birr wallet?,amh,"17:27:SL:MONEY,36:51:SL:BANK_NAME,63:71:SL:PAYMENT_COMPANY",[IN:transfer [SL:MONEY 50000 birr] [SL:BANK_NAME commercial Bank] [SL:PAYMENT_COMPANY cbe birr] ]
utility,time,በአዲስ አበባ ስንት ሰአት ነው?,what time is it in Addis Ababa,amh,19:30:SL:CITY_OR_PROVINCE,[IN:time [SL:CITY_OR_PROVINCE Addis Ababa] ]
home,shopping_list_update,የአስቤዛ ዝርዝር ላይ ጨምርበት,Add teff to the groceries list.,amh,4:8:SL:DISH_OR_FOOD,[IN:shopping_list_update [SL:DISH_OR_FOOD teff] ]
kitchen_and_dining,restaurant_reservation,ቶቶት ክትፎ ቤት እራት ቦታ ልቲዝልኝ ትችላለህ?,Can you reserve a dinner place for me at Totot Kitfo House?,amh,"18:24:SL:MEAL_PERIOD,41:58:SL:RESTAURANT_NAME",[IN:restaurant_reservation [SL:MEAL_PERIOD dinner] [SL:RESTAURANT_NAME Totot Kitfo House] ]
banking,balance,እባክህ በአዋሽ ባንክ የቁጠባ ሂሳቤ ላይ ብር ታስገባልኛለህ?,Would you please put some money in my Awash Bank savings account?,amh,"38:48:SL:BANK_NAME,49:64:SL:ACCOUNT_TYPE",[IN:balance [SL:BANK_NAME Awash Bank] [SL:ACCOUNT_TYPE savings account] ]
kitchen_and_dining,confirm_reservation,በኢሊሌ ሆቴል ለእራት ቦታ እንደያዝኩ ታረጋግጥልኛለህ?,Would you please confirm that I have a reservation for dinner at the Hotel Elile?,amh,"55:61:SL:MEAL_PERIOD,69:80:SL:HOTEL_NAME",[IN:confirm_reservation [SL:MEAL_PERIOD dinner] [SL:HOTEL_NAME Hotel Elile] ]
banking,freeze_account,ከአቢሲኒያ አካውንቴ ምንም አይነት ብር እንዳይንቀሳቀስ ልታግድልኝ ትችላለህ?,Can you block any money trasaction from my Abyssinia account?,amh,43:52:SL:BANK_NAME,[IN:freeze_account [SL:BANK_NAME Abyssinia] ]
travel,timezone,ኢትዮጵያ እና የኬንያ የጊዜ ቀጠና አንድ አይነት ነው?,Is the time zone of Ethiopia and Kenya the same?,amh,"20:28:SL:COUNTRY,33:38:SL:COUNTRY",[IN:timezone [SL:COUNTRY Ethiopia] [SL:COUNTRY Kenya] ]
banking,transactions,በቴሌብር ክፍያ ለመፈθም በቅድሚያ ማሟላት ያለብኝ ነገር ምንድን ነው?,What do I need to complete in advance to make a payment using Telebirr?,amh,62:70:SL:PAYMENT_COMPANY,[IN:transactions [SL:PAYMENT_COMPANY Telebirr] ]
