intent,text,domain,spans,logical_form,split
alarm,set an alarm for my tutorial at 5.00pm ,eng,,[SL: alarm],dev
alarm,Set wake up ring for tomorrow morning at 12:00 AM. ,eng,,[SL: alarm],dev
balance,is there enough money on my M-pesa account to buy the toy worth Ksh. 2000?,eng,,[SL: balance],dev
balance,How can I check my account balance?,eng,,[SL: balance],dev
bill_balance,How much is the bill altogether?,eng,,[SL: bill_balance],dev
bill_balance,What would be my hause rent and electric bill of this month,eng,,[SL: bill_balance],dev
book_flight,Which airline can I book for my trip to Lagos on the 2nd of March,eng,,[SL: book_flight],dev
book_flight,Book me a flight with Fast Jet for Saturday morning from Victoria Falls to Cape town.,eng,,[SL: book_flight],dev
book_hotel,book me the nearest hotel to Murtala Muhammed international airport,eng,,[SL: book_hotel],dev
book_hotel,is it feasible to reserve illili hotel for 20 persons for the months of march,eng,,[SL: book_hotel],dev
calendar_update,add family celebration to my calendar for the 10th of March.,eng,,[SL: calendar_update],dev
calendar_update,Set the Departmental committee meeting for March 20 at 12:00 PM in the mid day,eng,,[SL: calendar_update],dev
cancel_reservation,please cancel my 6.00pm reservation at Sweet Sensation,eng,,[SL: cancel_reservation],dev
cancel_reservation,Please cancel my booking for Bunaqala at Ya'ii Balloo Hotel,eng,,[SL: cancel_reservation],dev
car_rental,rent a car  for my trip from Murtala Muhammed airport to Ibadan.,eng,,[SL: car_rental],dev
car_rental,could you please recommend the top Toyota leasing service in Adama City for the summer,eng,,[SL: car_rental],dev
confirm_reservation,Would you please confirm that I have a reservation for dinner at the Hotel Elile?,eng,,[SL: confirm_reservation],dev
confirm_reservation,Please move my reservation to 9 instead of 7,eng,,[SL: confirm_reservation],dev
cook_time,How long does it take to make Àkàrà?,eng,,[SL: cook_time],dev
cook_time,What is the duration required to make a shiroo,eng,,[SL: cook_time],dev
exchange_rate,How much Naira will I get for $100?,eng,,[SL: exchange_rate],dev
exchange_rate,what is the exchange amount of the 24 dollars in Oromia Qarshii,eng,,[SL: exchange_rate],dev
food_last,can Nigerian meat-pie last for a week in the fridge compartment?,eng,,[SL: food_last],dev
food_last,For How long can the Oromo cuukkoo stays without losting its taste?,eng,,[SL: food_last],dev
freeze_account,lock my nmb account for 3 days  i have noticed unusual activity,eng,,[SL: freeze_account],dev
freeze_account,Can you temporarily suspend my account because fraudsters want to steal from me?,eng,,[SL: freeze_account],dev
ingredients_list,what are the  essential ingredients needed in making tasty pepper-soup?,eng,,[SL: ingredients_list],dev
ingredients_list,what ingredients are there in Ancoote,eng,,[SL: ingredients_list],dev
interest_rate,What is the interest rate on a #5 million loan,eng,,[SL: interest_rate],dev
interest_rate,"If you borrow one hundred dollars with RBZ, what will be the interest rate?",eng,,[SL: interest_rate],dev
international_visa,how long does a USA visa application  from Nigeria take?,eng,,[SL: international_visa],dev
international_visa,Do I need to have travel document to visit Bale Mauntain of Oromia,eng,,[SL: international_visa],dev
make_call,Can you put a call through to Adé?,eng,,[SL: make_call],dev
make_call,dail the police station ,eng,,[SL: make_call],dev
meal_suggestion,What other meal can I make from beans aside moinmoin?,eng,,[SL: meal_suggestion],dev
meal_suggestion,Tell me the list of food for supper i can get from Eat and Lick for two people in love.,eng,,[SL: meal_suggestion],dev
min_payment,How much is the minimum deposit for the shoe,eng,,[SL: min_payment],dev
min_payment,tell me the minum cost I will have to pay in the coming month,eng,,[SL: min_payment],dev
