domain,intent,text,spans,logical_form
banking,balance,Nsigazzaayo ensimbi zenkanaki ku akawunti yange eya Cairo,52:57:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Cairo] ]
banking,balance,"""Nfuna miganyulo ki bwe mba nterese ensimbi obukadde ataano mu mwaka ku akawunti yange?","44:59:SL:MONEY,63:68:SL:DATE",[IN:balance [SL:MONEY obukadde ataano] [SL:DATE mwaka] ]
banking,balance,Essomero lirinayo ssente mmeka ku akawunti yaalyo mu Tropical bank?,53:66:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Tropical bank] ]
banking,balance,Akawunti zo zonna ez'emirimu mu bbanka ya DFCU ziriko ssente mmeka?,42:46:SL:BANK_NAME,[IN:balance [SL:BANK_NAME DFCU] ]
banking,balance,Waliwo ekkomo ku mirundi gye nnina okubuuza ensimbi ze nninayo ku akawunti yange mu bbanka ya Eco?,94:97:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Eco] ]
banking,balance,Nsobola okumanya ensimbi eziri ku akawunti yange mu Eco bank nga mpeereza obubaka ku ssimu?,52:60:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Eco bank] ]
banking,balance,Nsobola okumanya ensimbi ze nninayo ku akawunti yange nga nkozesa omutimbagano?,,[IN:balance ]
banking,balance,"""Ku akawunti yo mu bbanka ya KCB olinayo ku ssente ezimala okugulayo ensawo?","29:32:SL:BANK_NAME,69:75:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME KCB] [SL:SHOPPING_ITEM ensawo] ]
banking,balance,Ku akawunti yo mu bbanka ya Centenary tulinayo ensimbi ezimala okugulirayo abaana engatto?,"28:37:SL:BANK_NAME,82:89:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME Centenary] [SL:SHOPPING_ITEM engatto] ]
banking,balance,Ensimbi ze watereka ku akawunti yo mu Tropical bank waziggyayo?,38:51:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Tropical bank] ]
