domain,intent,text,spans,logical_form
banking,balance,ብዙ ብር ያለው የትኛው አካውንቴ ነው,3:5:SL:CURRENCY,[IN:balance [SL:CURRENCY ብር] ]
banking,balance,የባንክ አካውንቶቼ ውስጥ አሁን ያለኝን ቀሪ ሂሳብ ንገሩኝ።,,[IN:balance ]
banking,balance,በባንክ አካውንቴ አሁን ያለኝ አጠቃላይ ገንዘብ ምን ያህል ነው።,,[IN:balance ]
banking,balance,በአዋሽ ባንክ ሂሳቤ ውስጥ ምን ያህል አለኝ?,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አዋሽ ባንክ] ]
banking,balance,በባንክ ሂሳቦቼ ውስጥ ያለው ቀሪ ሂሳብ ስንት ነው?,,[IN:balance ]
banking,balance,አሁን በባንክ ሒሳቤ ውስጥ ስንት አለኝ?,,[IN:balance ]
banking,balance,አንዳንድ የቤት ዕቃዎች ለመግዛት በእኔ የዳሽን አካውንት ውስጥ በቂ ገንዘብ አለ?,26:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ዳሽን] ]
banking,balance,አንዳንድ የቤት ዕቃዎች ለማግኘት በእኔ የአዋሽ አካውንት ውስጥ በቂ ገንዘብ አለ?,26:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አዋሽ] ]
banking,balance,በ አባይ ባንክ አካውንት ለሶፋ የሚሆን ገንዘብ አለኝ,"2:9:SL:BANK_NAME,17:19:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME አባይ ባንክ] [SL:SHOPPING_ITEM ሶፋ] ]
banking,balance,አንዳንድ ልብሶችን እፈልጋለሁ ፣ በአማራ ባንክ አካውንቴ ውስጥ በቂ ገንዘብ አለኝ?,22:29:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አማራ ባንክ] ]
banking,balance,ለእነዚህ ልብሶች በቂ ገንዘብ እንዳለኝ ለማየት የአዋሽ ባንክ አካውንቴን አረጋግጥ,"6:10:SL:SHOPPING_ITEM,31:38:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM ልብሶች] [SL:BANK_NAME አዋሽ ባንክ] ]
banking,balance,የአባይ ባንክ ሂሳቤን ንገረኝ?,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አባይ ባንክ] ]
banking,balance,የዳሽን ባንክ ሂሳቤን ልትነግሩኝ ትችላላችሁ,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ዳሽን ባንክ] ]
banking,balance,የአዋሽ ባንክ ሂሳቤን ታሳውቀኛለህ?,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አዋሽ ባንክ] ]
banking,balance,የንግድ ባንክ ሒሳቤን ይነግሩኛል?,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ንግድ ባንክ] ]
banking,balance,በንግድ ባንክ ሂሳቤ ውስጥ ምን ያህል ገንዘብ አለ ,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ንግድ ባንክ] ]
banking,balance,የንግድ ባንክ ቀሪ ሂሳቤ ስንት ነው?,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ንግድ ባንክ] ]
banking,balance,በአቢሲኒያ የባንክ ሂሳቤ ውስጥ ስንት ገንዘብ አለ,1:6:SL:BANK_NAME,[IN:balance [SL:BANK_NAME አቢሲኒያ] ]
banking,balance,በእኔ የባንክ ሂሳቦች ያለው መጠን ምን ያህል ነው,,[IN:balance ]
banking,balance,በባንክ ሂሳቤ ውስጥ ምን ያህል ገንዘብ አለኝ,,[IN:balance ]
banking,balance,የቁጠባ አካውንቴ ላይ ቀሪ ሂሳቤ ስንት ነው?,0:10:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE የቁጠባ አካውንቴ] ]
banking,balance,በዳሽን ባንኬ ውስጥ ምን ያህል አለኝ,1:8:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ዳሽን ባንኬ] ]
banking,balance,የቁጠባ ደብተሬ ላይ ያለው ምን ያህል ነው?,1:4:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE ቁጠባ] ]
banking,balance,ምን ያህል ገንዘብ ቆጥቤአለሁ,,[IN:balance ]
banking,balance,በወጭ አካውንቴ ውስጥ ምን ያህል ገንዘብ አለ,1:9:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE ወጭ አካውንቴ] ]
banking,balance,በባንክ ሒሳቤ ውስጥ የተከመጠው የገንዘብ መጠን ስንት ነው።,,[IN:balance ]
banking,balance,የትኛው የቁጠባ አካውንቴ ላይ ብዙ ብር አለ,5:15:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE የቁጠባ አካውንቴ] ]
banking,balance,በባንክ ውስጥ ምን ያህል ጠቅላላ ገንዘብ አለኝ,,[IN:balance ]
banking,balance,አሁን በወጭ አካውንት ያለው ቀሪ ሒሳቤ ስንት ነው?,4:13:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE በወጭ አካውንት] ]
banking,balance,አሁን ያለኝን የባንክ ሒሳቤን ልትነግሩኝ ትችላላችሁ,,[IN:balance ]
banking,balance,የባንክ ሂሳቦቼ ቀሪ ገንዘብ ምን ያህል ነው?,,[IN:balance ]
banking,balance,በቴሌብር የብድር አካውንቴ ላይ አሁን ያለብኝ ቀሪ ሂሳብ ምን ያህል ነው።,"1:5:SL:PAYMENT_COMPANY,6:16:SL:ACCOUNT_TYPE",[IN:balance [SL:PAYMENT_COMPANY ቴሌብር] [SL:ACCOUNT_TYPE የብድር አካውንቴ] ]
banking,balance,እባክዎን ዳሽን ባንክ ላይ ያለውን ቀሪ ሒሳቤን ያግኙ,6:13:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ዳሽን ባንክ] ]
banking,balance,የወጭ አካውንት ቀሪ ሒሳቤን ልትነግሩኝ ትችላላችሁ,0:9:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE የወጭ አካውንት] ]
