domain,intent,text,spans,logical_form
travel,translate,ikuphi la engingathola khona istimela esiya eMlazi?,44:50:SL:PLACE_NAME,[IN:translate [SL:PLACE_NAME eMlazi] ]
travel,translate,istimela sihamba kumzila  ongaphansi komhlaba?,,[IN:translate ]
travel,translate,bingelela uClara ngesiTswana.,"11:16:SL:PERSONAL_NAME,22:28:SL:LANGUAGE_NAME",[IN:translate [SL:PERSONAL_NAME Clara] [SL:LANGUAGE_NAME Tswana] ]
travel,translate,isiphi isitimela esisheshayo eNingizimu Afrika?,30:46:SL:COUNTRY,[IN:translate [SL:COUNTRY Ningizimu Afrika] ]
travel,translate,uliphi ulimi olukhulunywa kakhulu eGoli?,34:39:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE eGoli] ]
travel,translate,umubingelela kanjani umuntu ngesiZulu?,33:37:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Zulu] ]
travel,translate,kuyimalini ukuya ePitoli ngestimela uma usuka eGoli?,"17:24:SL:CITY_OR_PROVINCE,46:51:SL:CITY_OR_PROVINCE",[IN:translate [SL:CITY_OR_PROVINCE ePitoli] [SL:CITY_OR_PROVINCE eGoli] ]
travel,translate,iGautrain iyasebenza ngempelasonto?,21:34:SL:DATE,[IN:translate [SL:DATE ngempelasonto] ]
travel,translate,kukhulunywa luphi ulimi eMpumalanga?,,[IN:translate ]
travel,translate,kuvumelekile ukuhamba nezingane ezingamawele ebhanoyini eliya eKorea elisuka eNingizimu Afrika?,"62:68:SL:COUNTRY,78:94:SL:COUNTRY",[IN:translate [SL:COUNTRY eKorea] [SL:COUNTRY Ningizimu Afrika] ]
travel,translate,tshela uGogo angeke ngimvakashele kuloZibandlela ngoba ngiyasebenza.,38:48:SL:DATE,[IN:translate [SL:DATE Zibandlela] ]
travel,translate,iyimalini inkomo eyodwa eKapa?,"17:23:SL:NUMBER,24:29:SL:CITY_OR_PROVINCE",[IN:translate [SL:NUMBER eyodwa] [SL:CITY_OR_PROVINCE eKapa] ]
travel,translate,kubaluleke ngani ukubingelela abantu ohlangana nabo endleleni osikweni lakwaZulu?,76:80:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Zulu] ]
travel,translate,bhalela umyalezo uvalelise kuNokuzola umtshele sokhuluma ksasa ngisaya emsebenzini.,29:37:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME Nokuzola] ]
travel,translate,iyiphi indawo edumile engavakashelwa izithandani eThekwini?,49:58:SL:CITY_OR_PROVINCE,[IN:translate [SL:CITY_OR_PROVINCE eThekwini] ]
travel,translate,ukhona umshini wokukhipha imali webhange lakwa ABSA eMlazi?,"47:51:SL:BANK_NAME,52:58:SL:PLACE_NAME",[IN:translate [SL:BANK_NAME ABSA] [SL:PLACE_NAME eMlazi] ]
travel,translate,isiphi isitolo engingathenga kusona ukudla esiseduze uma ngivakashele kwihotela iRadisson Blu eMhlanga?,"81:93:SL:HOTEL_NAME,94:102:SL:PLACE_NAME",[IN:translate [SL:HOTEL_NAME Radisson Blu] [SL:PLACE_NAME eMhlanga] ]
travel,translate,bhalela uCharmaine umyalezo umtshele ngithe alale kahle.,9:18:SL:PERSONAL_NAME,[IN:translate [SL:PERSONAL_NAME Charmaine] ]
travel,translate,iyimalini incwadi yokubhalela kwinxanxathela yezitolo eseBluff ePNA? ,57:62:SL:PLACE_NAME,[IN:translate [SL:PLACE_NAME Bluff] ]
travel,translate,usho kanjani ukuthi sawubona ngesiTswana?,34:40:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME Tswana] ]
travel,translate,igama elithi ngiyabonga ulisebenzisa uma kunjani?,,[IN:translate ]
travel,translate,thumela ugogo umyalezo umtshele ukuthi ngyamthanda.,,[IN:translate ]
travel,translate,kubaluleke ngani ukubonga abantu uma bekusiza?,,[IN:translate ]
travel,translate,ubani owamukelekile ngokweminyaka  ukuthamela ifestivali yomculo enyakatho ntshonalanga ngomhlaka-27?,"46:64:SL:CALENDAR_EVENT,88:100:SL:DATE",[IN:translate [SL:CALENDAR_EVENT ifestivali yomculo] [SL:DATE ngomhlaka-27] ]
travel,translate,bingelela umalume umtshele ngiyeza ukuzombona ksasa esbhedlela.,,[IN:translate ]
