intent,text,domain,spans,logical_form,split
alarm,wake me up at noon tomorrow,clinc,,[SL: alarm],train
alarm,set my alarm for getting up,clinc,,[SL: alarm],train
alarm,make sure my alarm is set for three thirty in the morning,clinc,,[SL: alarm],train
alarm,please set an alarm for mid day,clinc,,[SL: alarm],train
alarm,have an alarm set for three in the morning,clinc,,[SL: alarm],train
alarm,you need to set alarm for me,clinc,,[SL: alarm],train
alarm,i need you to set alarm for me,clinc,,[SL: alarm],train
alarm,set the alarm for me,clinc,,[SL: alarm],train
alarm,can you set alarm for me,clinc,,[SL: alarm],train
alarm,please set alarm for me,clinc,,[SL: alarm],train
alarm,make a new alarm for 6 in the morning,clinc,,[SL: alarm],train
alarm,make a new alarm,clinc,,[SL: alarm],train
alarm,create an alarm,clinc,,[SL: alarm],train
alarm,i need an alarm for 6am,clinc,,[SL: alarm],train
alarm,can you alert me at 6 in the morning,clinc,,[SL: alarm],train
alarm,i'd like a new alarm set for 6am,clinc,,[SL: alarm],train
alarm,"set an alarm for 6am, please",clinc,,[SL: alarm],train
alarm,initiate a new alarm please,clinc,,[SL: alarm],train
alarm,set up an alarm,clinc,,[SL: alarm],train
alarm,make up a new alarm,clinc,,[SL: alarm],train
alarm,i want to make an alarm,clinc,,[SL: alarm],train
alarm,i would like an alarm set,clinc,,[SL: alarm],train
alarm,schedule an alarm,clinc,,[SL: alarm],train
alarm,i need an alarm set,clinc,,[SL: alarm],train
alarm,i need alarms set for 6am and 615am,clinc,,[SL: alarm],train
balance,savings account balance at chase bank please,clinc,,[SL: balance],train
balance,check chase bank for my checking balance,clinc,,[SL: balance],train
balance,what is my checking account balance at chase,clinc,,[SL: balance],train
balance,i want my checking balance at chase,clinc,,[SL: balance],train
balance,what's my savings balance at chase,clinc,,[SL: balance],train
balance,do i have enough money in my chime bank account to take ashley to the movies tuesday,clinc,,[SL: balance],train
balance,check my visa account and see if i have enough money for dinner tonight,clinc,,[SL: balance],train
balance,is tehre enough in my bluebird account for groceries this week,clinc,,[SL: balance],train
balance,do i have enough in my sears account to buy a new dishwasher,clinc,,[SL: balance],train
balance,is there enough money in my discover account for a new pair of jeans,clinc,,[SL: balance],train
balance,what is the total of my bank accounts,clinc,,[SL: balance],train
balance,what is in my bank accounts,clinc,,[SL: balance],train
balance,what is the balance on my bank accounts,clinc,,[SL: balance],train
balance,what is remaining in my bank acccounts,clinc,,[SL: balance],train
balance,how much money is left in my bank accounts,clinc,,[SL: balance],train
balance,what amount of money is in my bank accounts,clinc,,[SL: balance],train
balance,what is the balance of my bank accounts,clinc,,[SL: balance],train
balance,what what kind money is available in my bank accounts,clinc,,[SL: balance],train
balance,what is the value of my bank accounts,clinc,,[SL: balance],train
balance,how much funds do i have in my bank accounts,clinc,,[SL: balance],train
balance,what's my checking account balance,clinc,,[SL: balance],train
balance,how much do i have in my checking,clinc,,[SL: balance],train
balance,what's the balance of my savings,clinc,,[SL: balance],train
balance,how much is in savings,clinc,,[SL: balance],train
balance,how much money is in my checking account,clinc,,[SL: balance],train
bill_balance,the bill for water and electricity is how much,clinc,,[SL: bill_balance],train
bill_balance,what's my bill for water and electricity,clinc,,[SL: bill_balance],train
bill_balance,"for my water and electricity, how much is the bill",clinc,,[SL: bill_balance],train
bill_balance,how much is the bill for my water and electricity,clinc,,[SL: bill_balance],train
bill_balance,my water and electricity bill is how much,clinc,,[SL: bill_balance],train
bill_balance,what is the total amount that i owe to sony and verizon,clinc,,[SL: bill_balance],train
bill_balance,please tell me how much i owe sprint and how much i owe hsn,clinc,,[SL: bill_balance],train
bill_balance,tell me how much my verizon and comcast bill come to together,clinc,,[SL: bill_balance],train
bill_balance,how much in total do i need to pay cox and at&t,clinc,,[SL: bill_balance],train
bill_balance,please let me know how much my bills for comcast and sprint total,clinc,,[SL: bill_balance],train
bill_balance,what do my bills add up to,clinc,,[SL: bill_balance],train
bill_balance,how much do i owe in bills,clinc,,[SL: bill_balance],train
bill_balance,what's the balance on my bills,clinc,,[SL: bill_balance],train
bill_balance,read my bill balances,clinc,,[SL: bill_balance],train
bill_balance,how much are my bills,clinc,,[SL: bill_balance],train
bill_balance,find out what my water bill costs please,clinc,,[SL: bill_balance],train
bill_balance,how much is my electricity bill costing me,clinc,,[SL: bill_balance],train
bill_balance,find out the cost of my bill payments,clinc,,[SL: bill_balance],train
bill_balance,let me know the amounts i owe for my utilities and tuition bills,clinc,,[SL: bill_balance],train
bill_balance,how much money do i need to spend on bill payments,clinc,,[SL: bill_balance],train
bill_balance,can you tell me what i owe for this month's phone bill,clinc,,[SL: bill_balance],train
bill_balance,tell me the sum total of my water and electricity bills,clinc,,[SL: bill_balance],train
bill_balance,can you tell me the total cost of my bills please,clinc,,[SL: bill_balance],train
bill_balance,what is the total amount due on my electricity bill,clinc,,[SL: bill_balance],train
bill_balance,what am i being charged for my water bill,clinc,,[SL: bill_balance],train
book_flight,what's the cheapest fares from lax to sfo for round trip flights leaving april 1st and returning april 7th,clinc,,[SL: book_flight],train
book_flight,"for the dates april 1st to the 7th, find me round trip air tickets from la to sfo",clinc,,[SL: book_flight],train
book_flight,what southwest flights are there for lax to sfo arriving april 1st and returning april 7th,clinc,,[SL: book_flight],train
book_flight,what airlines have flights round trip on april 1st to april 7th from lax to sfo,clinc,,[SL: book_flight],train
book_flight,find me round trip flights out of lax to sfox,clinc,,[SL: book_flight],train
book_flight,find me a flight from tijuana to guadalajara on volaris,clinc,,[SL: book_flight],train
book_flight,i need a flight to be booked from san diego to boston through frontier,clinc,,[SL: book_flight],train
book_flight,i want a flight booked from new york to san francisco with continental,clinc,,[SL: book_flight],train
book_flight,get me a flight booked from houston to phoenix with american airlines,clinc,,[SL: book_flight],train
book_flight,i want to fly southwest from dallas to phoenix,clinc,,[SL: book_flight],train
book_flight,book a flight from chicago to dc on monday and returning on wednesday,clinc,,[SL: book_flight],train
book_flight,i need to get a flight out of lax to dia on the 16th for under four hundred,clinc,,[SL: book_flight],train
book_flight,book a flight from sacremento to tampa two weeks from now and returning a month after,clinc,,[SL: book_flight],train
book_flight,i'm looking for a roundtrip flight from afw to dgb for tomorrow until next week,clinc,,[SL: book_flight],train
book_flight,"i'm looking for a roundtrip flight from oma to sps august 1st, 2019 to august 2nd, 2019",clinc,,[SL: book_flight],train
book_flight,i need to get a flight out of tampa to chicago in a month for under $123,clinc,,[SL: book_flight],train
book_flight,book a flight from denver to austin on the 16th and returning on the 20th,clinc,,[SL: book_flight],train
book_flight,book a flight from bangor to las vegas on may 1st and returning july 4th,clinc,,[SL: book_flight],train
book_flight,book a flight from seattle to dallas-fort worth on april the 1st and returning on april 5th,clinc,,[SL: book_flight],train
book_flight,i need to get a flight out of seattle to dulles next week for under $500,clinc,,[SL: book_flight],train
book_flight,i'm looking for a roundtrip flight from koa to mgj for june to july,clinc,,[SL: book_flight],train
book_flight,i need to get a flight out of denver to houston on friday for under $250,clinc,,[SL: book_flight],train
book_flight,"i need to get a flight out of my local airport to england on monday, the 23rd for under a grand",clinc,,[SL: book_flight],train
book_flight,i'm looking for a roundtrip flight from aaf to dia for february 23rd to february 28th,clinc,,[SL: book_flight],train
book_flight,i'm looking for a roundtrip flight from fwa to hsv for march first to march fifth,clinc,,[SL: book_flight],train
book_hotel,i need a bed in brownsburg near walmart from apil 4th until the 5th,clinc,,[SL: book_hotel],train
book_hotel,i need a room in indianapolis near the track from may 2nd through the 5th,clinc,,[SL: book_hotel],train
book_hotel,i need lodging in lizton near the ice cream parlor from may 3rd until the 8th,clinc,,[SL: book_hotel],train
book_hotel,need a place to crash in elizabeth near the refinery from june 4th until the 9th,clinc,,[SL: book_hotel],train
book_hotel,i need a place to stay in newark near a bodega from may 2nd through the 4th,clinc,,[SL: book_hotel],train
book_hotel,i want to book a hotel room for 10 people from monday to tuesday in manhattan,clinc,,[SL: book_hotel],train
book_hotel,is there a room big enough for 10 people from monday to tuesday in manhattan,clinc,,[SL: book_hotel],train
book_hotel,is it possible to book 10 people from monday to tuesday in manhattan,clinc,,[SL: book_hotel],train
book_hotel,i would like to reserve a hotel room that accomodates 10 people from monday to tuesday in manhattan,clinc,,[SL: book_hotel],train
book_hotel,i'm inquiring about the availability of a room that fits 10 people from monday to tuesday in manhattan,clinc,,[SL: book_hotel],train
book_hotel,book me a hotel in st louis near the arch from march 2nd to 5th,clinc,,[SL: book_hotel],train
book_hotel,i need a room in london for 2 people from march 1st to 3rd,clinc,,[SL: book_hotel],train
book_hotel,get me a hotel room for 3 people from march 12th to 14th in chicago,clinc,,[SL: book_hotel],train
book_hotel,book me a hotel in new york near the empire state building from marc 2nd to 4th,clinc,,[SL: book_hotel],train
book_hotel,book me a hotel in chicago near the water tower shopping from april 2nd to 4th,clinc,,[SL: book_hotel],train
book_hotel,get me a hotel room for 4 people from march 1st to 3rd in seattle,clinc,,[SL: book_hotel],train
book_hotel,"in paris, get me a hotel room for 4 people from march 1st to 3rd",clinc,,[SL: book_hotel],train
book_hotel,can you find me a hotel for 2 people on april 1st to 4th in rome,clinc,,[SL: book_hotel],train
book_hotel,can you book me a hotel in los angeles near commerce casino from april 1st to the 5th,clinc,,[SL: book_hotel],train
book_hotel,book me a hotel in seattle near the space needle from march 3rd to 5th,clinc,,[SL: book_hotel],train
book_hotel,can you book me a room in new york city from april 2 through april 8,clinc,,[SL: book_hotel],train
book_hotel,are there any openings in new york city from april 2 through april 8,clinc,,[SL: book_hotel],train
book_hotel,are there any vacancies in new york city from april 2 through april 8,clinc,,[SL: book_hotel],train
book_hotel,how about any bookings in new york city from april 2 through april 8,clinc,,[SL: book_hotel],train
book_hotel,is there anything available in new york city from april 2 through april 8,clinc,,[SL: book_hotel],train
calendar_update,add my dentist appointment to the calendar,clinc,,[SL: calendar_update],train
calendar_update,add a vet appointment for 5 pm on saturday,clinc,,[SL: calendar_update],train
calendar_update,i need to edit this event out of my calendar,clinc,,[SL: calendar_update],train
calendar_update,please remove an event from this calendar,clinc,,[SL: calendar_update],train
calendar_update,i no longer want this event in my calendar,clinc,,[SL: calendar_update],train
calendar_update,delete that event from calendar,clinc,,[SL: calendar_update],train
calendar_update,make sure to add to my calendar the staff meeting for march 1 at 10 am,clinc,,[SL: calendar_update],train
calendar_update,add staff meeting to my calendar for march 1 at 10:00 in the morning,clinc,,[SL: calendar_update],train
calendar_update,i want you to add staff meeting to my calendar for march 1 at 10:00 am,clinc,,[SL: calendar_update],train
calendar_update,"please add to my calendar for the staff meeting that is scheduled on march 1, 2019 at 10 am",clinc,,[SL: calendar_update],train
calendar_update,the staff meeting on march 1 at 10:00 am needs to be added to my calendar,clinc,,[SL: calendar_update],train
calendar_update,leave the date of june 4 open on my calendar,clinc,,[SL: calendar_update],train
calendar_update,i need anniversary dinner added to my schedule for march 7,clinc,,[SL: calendar_update],train
calendar_update,can you change the date of the doctor's appointment event in my calendar from april 1 to april 3rd,clinc,,[SL: calendar_update],train
calendar_update,i need a clear calendar for april 15,clinc,,[SL: calendar_update],train
calendar_update,please add final exams to my calendar for may 2,clinc,,[SL: calendar_update],train
calendar_update,add mom's birthday to my calendar on april 12,clinc,,[SL: calendar_update],train
calendar_update,please take final exams off my calendar for may 3,clinc,,[SL: calendar_update],train
calendar_update,add dentist appointment to my calendar for march 1,clinc,,[SL: calendar_update],train
calendar_update,remove the may 11 event called baby shower from my calendar,clinc,,[SL: calendar_update],train
calendar_update,clear my entire schedule for april 1,clinc,,[SL: calendar_update],train
calendar_update,take the event called surprise party off my calendar for june 2,clinc,,[SL: calendar_update],train
calendar_update,i want you to cancel the event called 'bachelorette party' on april 15,clinc,,[SL: calendar_update],train
calendar_update,please schedule an event called 'nadine's baby shower' on my calendar,clinc,,[SL: calendar_update],train
calendar_update,remove the june 12 event called sasha's wedding from my calendar,clinc,,[SL: calendar_update],train
cancel_reservation,remove my reservation at outback for timmy,clinc,,[SL: cancel_reservation],train
cancel_reservation,can you cancel the reservation for kyle's party at red lobster,clinc,,[SL: cancel_reservation],train
cancel_reservation,cancel my party reservation for brad at longhorn,clinc,,[SL: cancel_reservation],train
cancel_reservation,get rid of my reservation at chez francois for jennifer,clinc,,[SL: cancel_reservation],train
cancel_reservation,cancel the reservation at olive garden for tommy,clinc,,[SL: cancel_reservation],train
cancel_reservation,you can cancel my reservation,clinc,,[SL: cancel_reservation],train
cancel_reservation,my reservation is no longer needed,clinc,,[SL: cancel_reservation],train
cancel_reservation,tell the restaurant i cannot make it,clinc,,[SL: cancel_reservation],train
cancel_reservation,there is no need to confirm my reservation,clinc,,[SL: cancel_reservation],train
cancel_reservation,would you please cancel the reservations for dinner,clinc,,[SL: cancel_reservation],train
cancel_reservation,"hello, i need to cancel tonight's reservation for dinner",clinc,,[SL: cancel_reservation],train
cancel_reservation,i need to put in a cancellation for the dinner plans tonight,clinc,,[SL: cancel_reservation],train
cancel_reservation,"cancel the dinner reservation i made, okay",clinc,,[SL: cancel_reservation],train
cancel_reservation,i need to cancel my dinner reservation,clinc,,[SL: cancel_reservation],train
cancel_reservation,please cancel my reservation for dinner,clinc,,[SL: cancel_reservation],train
cancel_reservation,cancel my reservation for dinner,clinc,,[SL: cancel_reservation],train
cancel_reservation,my reservation for dinner needs to be canceled,clinc,,[SL: cancel_reservation],train
cancel_reservation,call the restaurant and cancel my reservation,clinc,,[SL: cancel_reservation],train
cancel_reservation,get rid of my 2 pm reservation at ruth's steakhouse,clinc,,[SL: cancel_reservation],train
cancel_reservation,can you cancelt the reservation i have for dinner,clinc,,[SL: cancel_reservation],train
cancel_reservation,please cancel my dinner reservation for tuesday,clinc,,[SL: cancel_reservation],train
cancel_reservation,can you cancel my reservation for dinner tomorrow,clinc,,[SL: cancel_reservation],train
cancel_reservation,cancel my reservation for 6 pm at sidetracks,clinc,,[SL: cancel_reservation],train
cancel_reservation,get rid of my 4 pm reservation at the steakhouse please,clinc,,[SL: cancel_reservation],train
cancel_reservation,can you cancel the reservation i have at 4 pm at ruth's,clinc,,[SL: cancel_reservation],train
car_rental,i want to reserve a convertible from july 2nd through july 18th for los angeles,clinc,,[SL: car_rental],train
car_rental,i'd like to rent a vehicle from nov 1st to nov 15th in san antonio and i need a 15 passenger van,clinc,,[SL: car_rental],train
car_rental,"i want to rent the cheapest car for charlottesville, virginia for march 7th through 10th, that's monday, tuesday, wednesday and thursday",clinc,,[SL: car_rental],train
car_rental,i'd like to reserve a high-end car that seats 5 comfortably for april 12th through 18th for st louis missouri,clinc,,[SL: car_rental],train
car_rental,"i need a van that seats 8 or more for new york city, august 12th, 13th, and 14th",clinc,,[SL: car_rental],train
car_rental,a rental car needs to be booked in nashville,clinc,,[SL: car_rental],train
car_rental,book me a car rental in nashville,clinc,,[SL: car_rental],train
car_rental,please help me book a rental car for nashville,clinc,,[SL: car_rental],train
car_rental,i need you to get me a rental car in nashville,clinc,,[SL: car_rental],train
car_rental,"in nashville, i need a rental car booked",clinc,,[SL: car_rental],train
car_rental,where can i rent a car in boston,clinc,,[SL: car_rental],train
car_rental,i need to rent a car in boston,clinc,,[SL: car_rental],train
car_rental,i need to book a car rental in boston,clinc,,[SL: car_rental],train
car_rental,how can i rent a car in boston,clinc,,[SL: car_rental],train
car_rental,help me get a rental car for march 2 to 6th in dallas and i would prefer a bmw suv,clinc,,[SL: car_rental],train
car_rental,i want to rent a bmw suv for dallas from march 2 to 6th,clinc,,[SL: car_rental],train
car_rental,i want a bmw suv for march 2 to 6th in dallas,clinc,,[SL: car_rental],train
car_rental,"can you help me book a bmw suv for march 2 to 6th, dallas texas",clinc,,[SL: car_rental],train
car_rental,"will you help me rent a car from march 2 to 6th in dallas i want a bmw suv, if possible",clinc,,[SL: car_rental],train
car_rental,book me a car rental between january 1st to january 3rd in denver colorado and id prefer a ford,clinc,,[SL: car_rental],train
car_rental,"id like a car rental between january 1st to the 3rd in denver, id like a ford",clinc,,[SL: car_rental],train
car_rental,id like to rent a ford in denver colorado between january 1st to the 3rd,clinc,,[SL: car_rental],train
car_rental,reserve a car rental for denver colorado for a ford between january 1st through 3rd,clinc,,[SL: car_rental],train
car_rental,id like a rental car in denver colorado between january 1st and january 3rd and id like a ford if possible,clinc,,[SL: car_rental],train
car_rental,i need to find a rental car since i'm travelling to new york tomorrow,clinc,,[SL: car_rental],train
confirm_reservation,verify that i have reservations at chilis for john doe,clinc,,[SL: confirm_reservation],train
confirm_reservation,can you check my reservations for mortons under david winters,clinc,,[SL: confirm_reservation],train
confirm_reservation,can you check for reservations at wongs chinese for john acer,clinc,,[SL: confirm_reservation],train
confirm_reservation,check and confirm reservations at ruth chris for carol lee,clinc,,[SL: confirm_reservation],train
confirm_reservation,verify that my reservations at won wons for joe lee are good,clinc,,[SL: confirm_reservation],train
confirm_reservation,check on my reservation for umami at 6pm,clinc,,[SL: confirm_reservation],train
confirm_reservation,"confirm a reservation for nicole brown at diangelo's at 6:45 pm, please",clinc,,[SL: confirm_reservation],train
confirm_reservation,i need you to confirm that there is a reservation under the name david kramer for 7:00 pm at pietro's,clinc,,[SL: confirm_reservation],train
confirm_reservation,"i would like to confirm my 7:30 pm reservation at morton's steakhouse, under michael james",clinc,,[SL: confirm_reservation],train
confirm_reservation,can you please confirm that i have a 6:00 pm table reserved under michelle solomon at devon's,clinc,,[SL: confirm_reservation],train
confirm_reservation,"please confirm my reservation at parc for 8:00 pm, with the name denise jack",clinc,,[SL: confirm_reservation],train
confirm_reservation,please confirm my reservation for thursday at 10am,clinc,,[SL: confirm_reservation],train
confirm_reservation,does it show me as having a reservation for tomorrow at 5,clinc,,[SL: confirm_reservation],train
confirm_reservation,can you confirm my reservation for 6 at the outback,clinc,,[SL: confirm_reservation],train
confirm_reservation,can you check that i have a reservation on february 28th for 3 in the afternoon,clinc,,[SL: confirm_reservation],train
confirm_reservation,i want to make sure my reservation for 5 at mcdonalds is still set,clinc,,[SL: confirm_reservation],train
confirm_reservation,i want to verify my reservation for the 18th at 1pm,clinc,,[SL: confirm_reservation],train
confirm_reservation,"do i have a reservation for may 1st, 2019 at 4 pm",clinc,,[SL: confirm_reservation],train
confirm_reservation,can you verify that i have a reservation at o'reilly's for 9,clinc,,[SL: confirm_reservation],train
confirm_reservation,can you assure me i have a table at taco bell at 7pm,clinc,,[SL: confirm_reservation],train
confirm_reservation,is my 10am village inn reservation valid,clinc,,[SL: confirm_reservation],train
confirm_reservation,please confirm my reservation for morton's at 5 pm,clinc,,[SL: confirm_reservation],train
confirm_reservation,do i have reservations at o'neal's at 3 pm,clinc,,[SL: confirm_reservation],train
confirm_reservation,is my reservation confirmed for lu shi at 7 pm,clinc,,[SL: confirm_reservation],train
confirm_reservation,confirm my reservation at dino's at 6 pm,clinc,,[SL: confirm_reservation],train
cook_time,how long will the turkey take to cook,clinc,,[SL: cook_time],train
cook_time,so how long do you think the chicken will take,clinc,,[SL: cook_time],train
cook_time,how long does pizza take to cook,clinc,,[SL: cook_time],train
cook_time,how long is the chicken gonna take,clinc,,[SL: cook_time],train
cook_time,how long will the chicken take to cook,clinc,,[SL: cook_time],train
cook_time,how long does it take to cook roast beef,clinc,,[SL: cook_time],train
cook_time,how long does it take to boil an egg,clinc,,[SL: cook_time],train
cook_time,how long does it take to bake a pork loin,clinc,,[SL: cook_time],train
cook_time,how long does it take to make roast chicken,clinc,,[SL: cook_time],train
cook_time,how long does it take to cook a pork chop,clinc,,[SL: cook_time],train
cook_time,how much time do i need to make the chicken,clinc,,[SL: cook_time],train
cook_time,what's the prep and cooking time on pizza dough,clinc,,[SL: cook_time],train
cook_time,how long does it take to make lasagna,clinc,,[SL: cook_time],train
cook_time,how long will it take to make the wings,clinc,,[SL: cook_time],train
cook_time,what's the cooking time for the cake,clinc,,[SL: cook_time],train
cook_time,the steak must go under the broiler for how long,clinc,,[SL: cook_time],train
cook_time,how long do i put the casserole in,clinc,,[SL: cook_time],train
cook_time,if i cook the pizza at 400 degrees how long must it be in for,clinc,,[SL: cook_time],train
cook_time,how long do you need to put the cuish in for,clinc,,[SL: cook_time],train
cook_time,the sauce must simmer then go in the oven but for how long,clinc,,[SL: cook_time],train
cook_time,i need the cooking length for a turkey,clinc,,[SL: cook_time],train
cook_time,how many minutes do i cook baked ziti,clinc,,[SL: cook_time],train
cook_time,how long does it take to cook ham,clinc,,[SL: cook_time],train
cook_time,i need to know how long to do a pot roast in a slow cooker,clinc,,[SL: cook_time],train
cook_time,how long does a roast take,clinc,,[SL: cook_time],train
exchange_rate,how many pesos can i get for one dollar,clinc,,[SL: exchange_rate],train
exchange_rate,what is the current going rate for exchanging dollars for pesos,clinc,,[SL: exchange_rate],train
exchange_rate,tell me the exchange rate between dollars and pesos,clinc,,[SL: exchange_rate],train
exchange_rate,let me know what the exchange rate between dollars and pesos is,clinc,,[SL: exchange_rate],train
exchange_rate,what's the exchange rate between dollars and pesos,clinc,,[SL: exchange_rate],train
exchange_rate,whats dollars won in 15,clinc,,[SL: exchange_rate],train
exchange_rate,what's dollars yen in 10,clinc,,[SL: exchange_rate],train
exchange_rate,whats pesos australian dollars in 20,clinc,,[SL: exchange_rate],train
exchange_rate,whats rupees dollars in 30,clinc,,[SL: exchange_rate],train
exchange_rate,whats euros kroner in 25,clinc,,[SL: exchange_rate],train
exchange_rate,how many lira can i get for 250 dollars,clinc,,[SL: exchange_rate],train
exchange_rate,what is the exchange rate in pesos for 100 dollars,clinc,,[SL: exchange_rate],train
exchange_rate,how many dollars can i exchange for 25 euros,clinc,,[SL: exchange_rate],train
exchange_rate,how many dollars can i exchange for 75 euros,clinc,,[SL: exchange_rate],train
exchange_rate,what is the equal number of dollars i can exchange for 50 pesos,clinc,,[SL: exchange_rate],train
exchange_rate,tell me the exchange rate between rubles and dollars,clinc,,[SL: exchange_rate],train
exchange_rate,i wanna know five dollars in yen and rubles,clinc,,[SL: exchange_rate],train
exchange_rate,what's the currency conversion between rubles and yen,clinc,,[SL: exchange_rate],train
exchange_rate,how many dollars can i exchange for 10 yen,clinc,,[SL: exchange_rate],train
exchange_rate,i wanna know the exchange rate between yen and dollars,clinc,,[SL: exchange_rate],train
exchange_rate,how many dollars can i exchange for 10000 rubles,clinc,,[SL: exchange_rate],train
exchange_rate,what is 5 in yen and rubles,clinc,,[SL: exchange_rate],train
exchange_rate,how many dollars can i exchange for 5000 rubles,clinc,,[SL: exchange_rate],train
exchange_rate,i need to know five dollars in yen and rubles,clinc,,[SL: exchange_rate],train
exchange_rate,how many dollars can i exchange for 10000 yen,clinc,,[SL: exchange_rate],train
food_last,jello should stay in the fridge for how long,clinc,,[SL: food_last],train
food_last,when will my milk be no good,clinc,,[SL: food_last],train
food_last,when will my eggs go bad,clinc,,[SL: food_last],train
food_last,how long will my eggs be good for,clinc,,[SL: food_last],train
food_last,what date does my apple juice expire,clinc,,[SL: food_last],train
food_last,how long until my cereal is ruined,clinc,,[SL: food_last],train
food_last,what's the max time i can leave a green pepper in the fridge,clinc,,[SL: food_last],train
food_last,what's the time frame for hamburger stored in the freezer to go bad,clinc,,[SL: food_last],train
food_last,how long can i keep deer meat in the freezer before it's unedible,clinc,,[SL: food_last],train
food_last,has the leftover hamburger from last saturday gone bad,clinc,,[SL: food_last],train
food_last,is there a limit to how long you can store bread in the freezer,clinc,,[SL: food_last],train
food_last,"i've had eggs in the fridge since monday, are they still safe",clinc,,[SL: food_last],train
food_last,how long can you keep chicken in the freeze before it goes bad,clinc,,[SL: food_last],train
food_last,is the tofu i put in the fridge tuesday still edible today,clinc,,[SL: food_last],train
food_last,how long does cottage cheese keep in the fridge,clinc,,[SL: food_last],train
food_last,what's the shelf life of guacamole in the fridge,clinc,,[SL: food_last],train
food_last,how long does it take for dough in the freezer to go off,clinc,,[SL: food_last],train
food_last,will i get sick if i eat the tuna salad from friday,clinc,,[SL: food_last],train
food_last,i put some leftover stew in the fridge and want to know how long it'll last,clinc,,[SL: food_last],train
food_last,how long can i leave tuna casserole in the fridge,clinc,,[SL: food_last],train
food_last,is it still safe to consume the cake she backed last thursday,clinc,,[SL: food_last],train
food_last,can i safely eat chicken that i've had in my fridge since monday,clinc,,[SL: food_last],train
food_last,can i eat chicken if it's been in the fridge since monday,clinc,,[SL: food_last],train
food_last,is it safe to eat chicken that has been in the fridge since monday,clinc,,[SL: food_last],train
food_last,will the chicken have gone bad if it's been in the fridge since monday,clinc,,[SL: food_last],train
freeze_account,can you block my chase account right away please,clinc,,[SL: freeze_account],train
freeze_account,i want my chase account blocked immediately,clinc,,[SL: freeze_account],train
freeze_account,i need you to block my chase account immediately,clinc,,[SL: freeze_account],train
freeze_account,can you put a block on my chase account right away,clinc,,[SL: freeze_account],train
freeze_account,please block my chase account right away,clinc,,[SL: freeze_account],train
freeze_account,what do i do to freeze my account,clinc,,[SL: freeze_account],train
freeze_account,place a hold on my bank account,clinc,,[SL: freeze_account],train
freeze_account,how can i stop transactions on my account,clinc,,[SL: freeze_account],train
freeze_account,freeze my account immediately,clinc,,[SL: freeze_account],train
freeze_account,block my monkey market right now,clinc,,[SL: freeze_account],train
freeze_account,put a stop on my deposit account,clinc,,[SL: freeze_account],train
freeze_account,stop any future processing on my savings account,clinc,,[SL: freeze_account],train
freeze_account,put a hault on my savings account,clinc,,[SL: freeze_account],train
freeze_account,"could you put a stop on my bank account, please",clinc,,[SL: freeze_account],train
freeze_account,can you put a stop on my bank account now,clinc,,[SL: freeze_account],train
freeze_account,"can you put a stop on my bank account, please",clinc,,[SL: freeze_account],train
freeze_account,could you freeze my account,clinc,,[SL: freeze_account],train
freeze_account,"could you freeze my account, please",clinc,,[SL: freeze_account],train
freeze_account,can you put a stop on my bank account,clinc,,[SL: freeze_account],train
freeze_account,"can you freeze my account, please",clinc,,[SL: freeze_account],train
freeze_account,could you freeze my account now,clinc,,[SL: freeze_account],train
freeze_account,can you freeze my account,clinc,,[SL: freeze_account],train
freeze_account,could you put a stop on my bank account,clinc,,[SL: freeze_account],train
freeze_account,do you mind putting a stop on my bank account,clinc,,[SL: freeze_account],train
freeze_account,i would like you to put a stop on my bank account,clinc,,[SL: freeze_account],train
ingredients_list,what do you put in chicken noodle casserole,clinc,,[SL: ingredients_list],train
ingredients_list,what goes into chicken noodle casserole,clinc,,[SL: ingredients_list],train
ingredients_list,what do i need to make chicken noodle casserole,clinc,,[SL: ingredients_list],train
ingredients_list,how do you make chicken noodle casserole,clinc,,[SL: ingredients_list],train
