intent,text,domain,spans,logical_form,split
alarm,set an alarm for my tutorial at 5.00pm ,eng,,[SL: alarm],dev
alarm,Set wake up ring for tomorrow morning at 12:00 AM. ,eng,,[SL: alarm],dev
alarm,Set an alarm for all 5 prayer times of the day,eng,,[SL: alarm],dev
alarm,Wake me up early at 6:00 AM because we are going to Church in the morning,eng,,[SL: alarm],dev
alarm,Can you arrange the time to allow me to wake up earlier please ?,eng,,[SL: alarm],dev
balance,is there enough money on my M-pesa account to buy the toy worth Ksh. 2000?,eng,,[SL: balance],dev
balance,How can I check my account balance?,eng,,[SL: balance],dev
balance,can you please check my dasion bank account,eng,,[SL: balance],dev
balance,How much do I have left to pay off my loan?,eng,,[SL: balance],dev
balance,how much Naira is in my bank account?,eng,,[SL: balance],dev
bill_balance,How much is the bill altogether?,eng,,[SL: bill_balance],dev
bill_balance,What would be my hause rent and electric bill of this month,eng,,[SL: bill_balance],dev
bill_balance,Give me an update on my bill balance,eng,,[SL: bill_balance],dev
bill_balance,How much do I have to pay the monthly fee for water and electricity?,eng,,[SL: bill_balance],dev
bill_balance,Please calculate all the gaz bill I payed throught the bank,eng,,[SL: bill_balance],dev
book_flight,Which airline can I book for my trip to Lagos on the 2nd of March,eng,,[SL: book_flight],dev
book_flight,Book me a flight with Fast Jet for Saturday morning from Victoria Falls to Cape town.,eng,,[SL: book_flight],dev
book_flight,which flight to france is available ,eng,,[SL: book_flight],dev
book_flight,Do I need to make a reservation in advance to get a discounted for return flight from Dire-Dewa to Addis Ababa on March 10?,eng,,[SL: book_flight],dev
book_flight,Who knows the Afagnan-Aklakou tariff ?,eng,,[SL: book_flight],dev
book_hotel,book me the nearest hotel to Murtala Muhammed international airport,eng,,[SL: book_hotel],dev
book_hotel,is it feasible to reserve illili hotel for 20 persons for the months of march,eng,,[SL: book_hotel],dev
book_hotel,How to book a room at Pullman Hotel?,eng,,[SL: book_hotel],dev
book_hotel,I want to reserve a single room for July 21 and 22 at skylight Hotel.,eng,,[SL: book_hotel],dev
book_hotel,I'll need a single room during mu tracel to Kpalime,eng,,[SL: book_hotel],dev
calendar_update,add family celebration to my calendar for the 10th of March.,eng,,[SL: calendar_update],dev
calendar_update,Set the Departmental committee meeting for March 20 at 12:00 PM in the mid day,eng,,[SL: calendar_update],dev
calendar_update,Can you set an alarm for my son's birthday?,eng,,[SL: calendar_update],dev
calendar_update,I want to update my calendar; could you inform me about any upcoming appointments or tasks?,eng,,[SL: calendar_update],dev
calendar_update,Can you add some time to the wednesday meeting ?,eng,,[SL: calendar_update],dev
cancel_reservation,please cancel my 6.00pm reservation at Sweet Sensation,eng,,[SL: cancel_reservation],dev
cancel_reservation,Please cancel my booking for Bunaqala at Ya'ii Balloo Hotel,eng,,[SL: cancel_reservation],dev
cancel_reservation,Cancel my reservation at Onomo for tomorrow,eng,,[SL: cancel_reservation],dev
cancel_reservation,"Please cancel my dining reservation at Totot Hotel; unfortunately, I won't be able to make it as planned to",eng,,[SL: cancel_reservation],dev
cancel_reservation,Can you tell Kodzo that our restaurant is no longer holding up?,eng,,[SL: cancel_reservation],dev
car_rental,rent a car  for my trip from Murtala Muhammed airport to Ibadan.,eng,,[SL: car_rental],dev
car_rental,could you please recommend the top Toyota leasing service in Adama City for the summer,eng,,[SL: car_rental],dev
car_rental,Tell Ali to rent a car that will take me to Saint-Louis,eng,,[SL: car_rental],dev
