domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,How much money do I have in my Discovery account,32:41:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Discovery] ],BANK_NAME: Discovery,sot
banking,balance,how much money do you have in your account?,,[IN:balance ],,sot
banking,balance,Is the money in your account enough for your needs?,,[IN:balance ],,sot
banking,balance,how much money is left in the account?,,[IN:balance ],,sot
banking,balance,Do you have money set aside for emergencies?,,[IN:balance ],,sot
banking,balance,How much money do you deposit into Capitec bank each month,35:42:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,sot
banking,balance,How much did he buy the milk?,9:15:SL:DISH_OR_FOOD,[IN:balance [SL:DISH_OR_FOOD lebese] ],DISH_OR_FOOD: lebese,sot
banking,balance,How much money do you withdraw from your ABSA account each week?,43:47:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ABSA] ],BANK_NAME: ABSA,sot
banking,balance,Do you have money to buy stamps and sugar in your ABSA account?,"31:38:SL:SHOPPING_ITEM,42:50:SL:SHOPPING_ITEM,68:72:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM setampo] [SL:SHOPPING_ITEM tswekere] [SL:BANK_NAME ABSA] ],SHOPPING_ITEM: setampo $$ SHOPPING_ITEM: tswekere $$ BANK_NAME: ABSA,sot
banking,balance,Is there enough money in the bank to buy socks,61:68:SL:SHOPPING_ITEM,[IN:balance [SL:SHOPPING_ITEM dikausu] ],SHOPPING_ITEM: dikausu,sot
banking,balance,"What bank accounts do you have between FNB, Capitec and Nedbank?","46:49:SL:BANK_NAME,51:58:SL:BANK_NAME,62:69:SL:BANK_NAME",[IN:balance [SL:BANK_NAME FNB] [SL:BANK_NAME Capitec] [SL:BANK_NAME Nedbank] ],BANK_NAME: FNB $$ BANK_NAME: Capitec $$ BANK_NAME: Nedbank,sot
banking,balance,"your FNB, Capitec and Nedbank accounts?","21:24:SL:BANK_NAME,26:33:SL:BANK_NAME,37:44:SL:BANK_NAME",[IN:balance [SL:BANK_NAME FNB] [SL:BANK_NAME Capitec] [SL:BANK_NAME Nedbank] ],BANK_NAME: FNB $$ BANK_NAME: Capitec $$ BANK_NAME: Nedbank,sot
banking,balance,Do you check the money in the Nedbank before you buy?,23:30:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nedbank] ],BANK_NAME: Nedbank,sot
banking,balance,What are the ways to prevent fraud in FNB accounts?,42:45:SL:BANK_NAME,[IN:balance [SL:BANK_NAME FNB] ],BANK_NAME: FNB,sot
banking,balance,How much money can you borrow per day for Nedbank?,62:69:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Nedbank] ],BANK_NAME: Nedbank,sot
banking,balance,Can you increase the amount of money you can withdraw per day from your Capitec mobile phone bank?,83:90:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,sot
banking,balance,How much is in the Capitec?,21:28:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,sot
banking,balance,"When you put $500 into an FNB account, how much is left?","11:15:SL:MONEY,33:36:SL:BANK_NAME",[IN:balance [SL:MONEY R500] [SL:BANK_NAME FNB] ],MONEY: R500 $$ BANK_NAME: FNB,sot
banking,balance,Check if the money has been deposited in the Discovery bank and how much is in it,36:45:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Discovery] ],BANK_NAME: Discovery,sot
banking,balance,How much is in the Tyme Bank account?,32:41:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Tyme Bank] ],BANK_NAME: Tyme Bank,sot
banking,balance,How much does a Capitec card cost?,10:17:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Capitec] ],BANK_NAME: Capitec,sot
banking,balance,"If I withdraw $1,000 from the bank, how much is left?",12:17:SL:MONEY,[IN:balance [SL:MONEY R1000] ],MONEY: R1000,sot
banking,balance,"When you send $50 by cell phone, how much is left in your Standard Bank account?","12:15:SL:MONEY,61:74:SL:BANK_NAME",[IN:balance [SL:MONEY R50] [SL:BANK_NAME Standard Bank] ],MONEY: R50 $$ BANK_NAME: Standard Bank,sot
banking,balance,How much money is in the savings account?,,[IN:balance ],,sot
banking,balance,Can the money left in Nedbank buy rice and meat?,"25:32:SL:BANK_NAME,52:65:SL:DISH_OR_FOOD",[IN:balance [SL:BANK_NAME Nedbank] [SL:DISH_OR_FOOD raese le nama] ],BANK_NAME: Nedbank $$ DISH_OR_FOOD: raese le nama,sot
banking,balance,How much is on the FNB card?,30:33:SL:BANK_NAME,[IN:balance [SL:BANK_NAME FNB] ],BANK_NAME: FNB,sot
banking,balance,How much is the Game store owed?,,[IN:balance ],,sot
banking,balance,How much do I have on my ABSA card?,30:34:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ABSA] ],BANK_NAME: ABSA,sot
banking,balance,How much is in the Nedbank and ABSA accounts,"32:39:SL:BANK_NAME,46:50:SL:BANK_NAME",[IN:balance [SL:BANK_NAME Nedbank] [SL:BANK_NAME ABSA] ],BANK_NAME: Nedbank $$ BANK_NAME: ABSA,sot
