domain,intent,text,spans,logical_form
banking,balance,Ma menhu me sika a ɛwɔ me Citibank Senegal account no mu.,"26:34:SL:BANK_NAME,35:42:SL:COUNTRY",[IN:balance [SL:BANK_NAME Citibank] [SL:COUNTRY Senegal] ]
banking,balance,Ma minhu me sika a ɛwɔ me Zenith Bank Ghana account no mu.,"26:32:SL:BANK_NAME,38:43:SL:COUNTRY",[IN:balance [SL:BANK_NAME Zenith] [SL:COUNTRY Ghana] ]
banking,balance,Mepɛ sɛ minhu sɛnea me sikasem te wɔ expressPay account no mu.,37:47:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY expressPay] ]
banking,balance,Mepɛ sɛ minhu sɛnea me sikasem te wɔ Republic Sikakorabea account.,37:45:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Republic] ]
banking,balance,Sika dodoɔ bɛn na ɛwɔ me GhanaPay Agent account no mu seesei ara?,"25:33:SL:PAYMENT_COMPANY,54:60:SL:TIME",[IN:balance [SL:PAYMENT_COMPANY GhanaPay] [SL:TIME seesei] ]
banking,balance,Mprempren sika dodoɔ bɛn na ɛwɔ me myghpay account no mu?,"0:9:SL:TIME,35:42:SL:PAYMENT_COMPANY",[IN:balance [SL:TIME Mprempren] [SL:PAYMENT_COMPANY myghpay] ]
banking,balance,So mɛtumi de sika a aka wɔ me MTN kotoku mu no atɔ me GoTV+ nhyehyԑeԑ no so.,"30:40:SL:PAYMENT_COMPANY,54:69:SL:BILL_TYPE",[IN:balance [SL:PAYMENT_COMPANY MTN kotoku] [SL:BILL_TYPE GoTV+ nhyehyԑeԑ] ]
banking,balance,So sika bi wɔ me CalBank Sikakorabea no mu a mɛtumi de atɔ me Netflix nhyehyԑeԑ no so?,"17:24:SL:BANK_NAME,62:79:SL:BILL_TYPE",[IN:balance [SL:BANK_NAME CalBank] [SL:BILL_TYPE Netflix nhyehyԑeԑ] ]
banking,balance,So sika bi wɔ me CalBank Sikakorabea no mu a mɛtumi de atɔ me DSTV+ nhyehyԑeԑ no so?,"17:24:SL:BANK_NAME,62:77:SL:BILL_TYPE",[IN:balance [SL:BANK_NAME CalBank] [SL:BILL_TYPE DSTV+ nhyehyԑeԑ] ]
banking,balance,Mepɛ sɛ mehwehwɛ me sika a mɛwɔ wɔ PayPal Sikakorabea no mu sɛnea ɛbɛyɛ a mɛtumi atɔ Rolls-Royce no.,35:41:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY PayPal] ]
banking,balance,Mepɛ sɛ mehwehwɛ me sika a mɛwɔ wɔ Stanbic Sikakorabea no mu sɛnea ɛbɛyɛ a mɛtumi atɔ Jordan mpaboa no.,"35:42:SL:BANK_NAME,86:99:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME Stanbic] [SL:SHOPPING_ITEM Jordan mpaboa] ]
banking,balance,Sika ahe na mɛwɔ wɔ me PayPal sikakorabea no mu?,23:29:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY PayPal] ]
banking,balance,So wobԑtumi de sika a aka wɔ me Société Générale Sikakorabea no mu aka ma me?,32:48:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Société Générale] ]
banking,balance,Wobԑtumi aka sika dodoɔ ahe na ɛwɔ me Prudential Sikakorabea no akontaabu?,38:48:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Prudential] ]
