domain,intent,text,spans,logical_form
banking,balance,Jọ̀wọ́ yẹ àpò ìfowópamọ́ Dorm mi wò kí o sọ iye tí mo ní nínú rẹ̀.,10:29:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dorm] ]
banking,balance,"Ṣé mo ní tó ₦1,000,000 nínú àpò ilè-ìfowópamọ́ Union mi ní ọ̀sẹ̀ tí ó kọjá.","12:22:SL:MONEY,32:52:SL:BANK_NAME,59:74:SL:DATE","[IN:balance [SL:MONEY ₦1,000,000] [SL:BANK_NAME ilè-ìfowópamọ́ Union] [SL:DATE ọ̀sẹ̀ tí ó kọjá] ]"
banking,balance,Sáré ṣe ìṣirò iye tí ó kù nínú àpò ìfowópamọ́ Dollar mi láti bíi oṣù mẹ́fà sẹ́yín.,"31:52:SL:ACCOUNT_TYPE,65:81:SL:DATE",[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] [SL:DATE oṣù mẹ́fà sẹ́yín] ]
banking,balance,Jọ̀wọ́ yẹ iye tí mo ní nínú àpò ilè-ìfowópamọ́ mi wò.,,[IN:balance ]
banking,balance,"Ṣé iye tí ó kù nínú àpamọ́ ìfowópamọ́ GTB mi tó ₦200,000?","38:41:SL:BANK_NAME,48:56:SL:MONEY","[IN:balance [SL:BANK_NAME GTB] [SL:MONEY ₦200,000] ]"
banking,balance,Ó tó èló tí ó wà nínú àpò ìfowópamọ́ Dollar mi?,22:43:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] ]
banking,balance,"Bí mo bá yọ ₦3,000 kúrò nínú àpò ìfowópamọ́ Firstbank mi, èló ni yóò kù níbẹ̀?","12:18:SL:MONEY,44:53:SL:BANK_NAME","[IN:balance [SL:MONEY ₦3,000] [SL:BANK_NAME Firstbank] ]"
banking,balance,Jọ̀wọ́ yẹ iye tí ó ṣẹ́kù nínú àpò ìfowópamọ́ Current mi láti bíi oṣù kan sẹ́yìn.,"30:52:SL:ACCOUNT_TYPE,65:79:SL:DATE",[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Current] [SL:DATE oṣù kan sẹ́yìn] ]
banking,balance,Jẹ́ kí n mọ̀ bóyá mó ní tó ẹgbẹ̀rún mẹ́fà náírà nínú àpamọ́ ilé ìfowópamọ́ ní oṣù tí ó kọjá.,"27:47:SL:MONEY,78:91:SL:DATE",[IN:balance [SL:MONEY ẹgbẹ̀rún mẹ́fà náírà] [SL:DATE oṣù tí ó kọjá] ]
banking,balance,"Ní oṣù tí ó kọjá, èló ni mo ní nínú àpò ìfowópamọ́ Savings mi?","3:16:SL:DATE,36:58:SL:ACCOUNT_TYPE",[IN:balance [SL:DATE oṣù tí ó kọjá] [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Savings] ]
banking,balance,Bíi èló ni owó tí ó ṣẹ́kù nínú àpò ilè-ìfowópamọ́ Union mi?,35:55:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ilè-ìfowópamọ́ Union] ]
banking,balance,Rán mi létí iye tí ó kù nínú àpamọ́ ìlé ifowopamọ mi.,,[IN:balance ]
banking,balance,Ṣé mo ní owó dọ́là tí ó pọ̀ nínú àpò ìfowópamọ́ Dollar mi?,"13:18:SL:CURRENCY,33:54:SL:ACCOUNT_TYPE",[IN:balance [SL:CURRENCY dọ́là] [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] ]
banking,balance,Ṣé mo ṣì ní owó nínú àpamọ́ Current mi?,21:35:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpamọ́ Current] ]
banking,balance,Mo fẹ́ mọ àpapọ̀ iye tí ó kù nínú àpò ìfowópamọ́ báǹkì Union mi.,49:60:SL:BANK_NAME,[IN:balance [SL:BANK_NAME báǹkì Union] ]
banking,balance,Sọ iye tí ó kù nínú àpò ìfowópamọ́ báǹkì Zenith mi.,35:47:SL:BANK_NAME,[IN:balance [SL:BANK_NAME báǹkì Zenith] ]
banking,balance,Ó tó éló tí ó wà nínú àpò ìfowópamọ́ Zenith mi?,37:43:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Zenith] ]
banking,balance,Sọ iye tí mo ná kù nínú àpò ìfowópamọ́ GTB mi.,39:42:SL:BANK_NAME,[IN:balance [SL:BANK_NAME GTB] ]
banking,balance,Bá mi yẹ iye tí ó wà nínú àpò ìfowópamọ́ Access mi.,41:47:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Access] ]
banking,balance,Jọ̀wọ́ ṣe ìṣirò iye tí ó kù nínú àpò ìfowópamọ́ TitanTrust mi.,48:58:SL:BANK_NAME,[IN:balance [SL:BANK_NAME TitanTrust] ]
banking,balance,Mo fẹ́ mọ iye tí ó kù nínú àpò ìfowópamọ́ Union mi.,42:47:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Union] ]
banking,balance,Ǹjé mo ní owó kankan mọ́ nínú àpò ilè ìfowópamọ́ Union mi?,34:54:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ilè ìfowópamọ́ Union] ]
banking,balance,"Ṣé mo ní tó ₦200,000 nínú àpò ìfowópamọ́ FirstBank mi?","12:20:SL:MONEY,41:50:SL:BANK_NAME","[IN:balance [SL:MONEY ₦200,000] [SL:BANK_NAME FirstBank] ]"
banking,balance,Yẹ àpò ìfowópamọ́ GTB mi wò kí o sì sọ iye tí mo ní níbẹ̀.,18:21:SL:BANK_NAME,[IN:balance [SL:BANK_NAME GTB] ]
banking,balance,Èló ni ó wà nínú àpò ìfowópamọ́ Geegpay mi?,32:39:SL:PAYMENT_COMPANY,[IN:balance [SL:PAYMENT_COMPANY Geegpay] ]
banking,balance,Bí èló ni àpapọ̀ iye tí mo ní nínú àpò ìfowópamọ́ Wema mi?,50:54:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Wema] ]
banking,balance,Kíni ó kù nínú àpò ìfowópamọ́ Zenith mi?,30:36:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Zenith] ]
banking,balance,"Mo fẹ́ ra aṣọ, èló ni mo ní nínú àpò ilé-ìfowópamọ́ Access mi?","10:13:SL:SHOPPING_ITEM,37:58:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM aṣọ] [SL:BANK_NAME ilé-ìfowópamọ́ Access] ]
banking,balance,"Bí mo bá yọ ₦3,000 kúrò nínú àpò ìfowópamọ́ Zenith mi, èló ni yóò kù níbẹ̀?","12:18:SL:MONEY,44:50:SL:BANK_NAME","[IN:balance [SL:MONEY ₦3,000] [SL:BANK_NAME Zenith] ]"
banking,balance,Ǹjẹ́ o lè yẹ àpò ìfowópamọ́ Lotus mi wò láti mọ iye tí ó kù níbẹ̀?,28:33:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Lotus] ]
banking,balance,Èló ni mo ní nínú àpamọ́ báǹkì UBA mi?,25:34:SL:BANK_NAME,[IN:balance [SL:BANK_NAME báǹkì UBA] ]
banking,balance,Ṣé owó kù nínú àpò ìfowópamọ́ Dollar mi?,15:36:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] ]
banking,balance,Sọ iye tí ó kù nínú àpamọ́ GTB mi fún mi.,27:30:SL:BANK_NAME,[IN:balance [SL:BANK_NAME GTB] ]
banking,balance,"Lọ́wọ́lọ́wọ́ báyìí, èló ni ó wà nínú àpamọ́ Access mi?","0:18:SL:TIME,44:50:SL:BANK_NAME",[IN:balance [SL:TIME Lọ́wọ́lọ́wọ́ báyìí] [SL:BANK_NAME Access] ]
banking,balance,Ǹjẹ́ owó sì kù nínú àpò ìfowópamọ́ Jaiz mi?,35:39:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Jaiz] ]
banking,balance,"Mo fẹ́ san owó fún oníbàárà mi, rán mi létí iye tí ó kù nínú àpamọ́ ìlé ifowopamọ Access mi.",68:88:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ìlé ifowopamọ Access] ]
banking,balance,"Bí mo bá yọ ẹgbẹ̀rún mẹ́wàá náírà kúrò nínú àpò ìfowópamọ́ Current mi, èló ni yóò kù níbẹ̀?","12:33:SL:MONEY,44:66:SL:ACCOUNT_TYPE",[IN:balance [SL:MONEY ẹgbẹ̀rún mẹ́wàá náírà] [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Current] ]
banking,balance,Èló ni ó wà nínú àpò ìfowópamọ́ Dollar mi?,17:38:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] ]
banking,balance,Ǹjẹ́ mo ṣì ní àpapọ̀ owó tí ó tó mílíọ̀nù mẹ́ta náírà nínú àpò ìfowópamọ́ Savings àti Current mi?,"33:53:SL:MONEY,59:81:SL:ACCOUNT_TYPE,86:93:SL:ACCOUNT_TYPE",[IN:balance [SL:MONEY mílíọ̀nù mẹ́ta náírà] [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Savings] [SL:ACCOUNT_TYPE Current] ]
banking,balance,"Ní oṣù tó kọjá, èló ni mo ní nínú àpò ìfowópamọ́ Savings mi?","3:14:SL:DATE,34:56:SL:ACCOUNT_TYPE",[IN:balance [SL:DATE oṣù tó kọjá] [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Savings] ]
banking,balance,Rán mi létí iye tí ó wà nínú àpamọ́ owó Dollar mi ní oṣù tí ó kọjá.,"29:46:SL:ACCOUNT_TYPE,53:66:SL:DATE",[IN:balance [SL:ACCOUNT_TYPE àpamọ́ owó Dollar] [SL:DATE oṣù tí ó kọjá] ]
banking,balance,Mo ní látí mọ̀ bóyá mó ní tó ẹgbẹ̀rún mẹ́fà náírà nínú àpamọ́ ilé ìfowópamọ́ Wema mi.,"29:49:SL:MONEY,62:81:SL:BANK_NAME",[IN:balance [SL:MONEY ẹgbẹ̀rún mẹ́fà náírà] [SL:BANK_NAME ilé ìfowópamọ́ Wema] ]
banking,balance,Jọ̀wọ́ yẹ iye tí ó ṣẹ́kù nínú àpò ìfowópamọ́ Dollar mi.,30:51:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] ]
banking,balance,Ṣe àròpọ̀ iye tí ó wà nínú àpamọ́ ìfowópamọ́ Firstbank mi láti oṣù mẹ́fà sẹ́yìn.,"45:54:SL:BANK_NAME,63:79:SL:DATE",[IN:balance [SL:BANK_NAME Firstbank] [SL:DATE oṣù mẹ́fà sẹ́yìn] ]
banking,balance,"Ní ìparí oṣù Kẹrin, èló ní iye tí ó ṣẹ́kù sínú àpamọ́ akẹ́ẹ̀kọ́ mi ní ilé ìfowópamọ́ Wema?","9:18:SL:DATE,47:63:SL:ACCOUNT_TYPE,70:89:SL:BANK_NAME",[IN:balance [SL:DATE oṣù Kẹrin] [SL:ACCOUNT_TYPE àpamọ́ akẹ́ẹ̀kọ́] [SL:BANK_NAME ilé ìfowópamọ́ Wema] ]
banking,balance,Mo fẹ́ mọ̀ bóyá mo sì ní tó mílíọ̀nù mẹ́ta náírà nínú àpamọ́ ìlé ifowopamọ Zenith mi.,"28:48:SL:MONEY,61:81:SL:BANK_NAME",[IN:balance [SL:MONEY mílíọ̀nù mẹ́ta náírà] [SL:BANK_NAME ìlé ifowopamọ Zenith] ]
banking,balance,"Bí mo bá gba mílíọ̀nù méjì naira, èló ni yóò kù nínú àpamọ́ báǹkì mi?",13:32:SL:MONEY,[IN:balance [SL:MONEY mílíọ̀nù méjì naira] ]
banking,balance,Ṣe ìwádìí iye tí ó kù nínú àpò ìfowópamọ́ Union mi.,42:47:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Union] ]
banking,balance,Mo fẹ́ mọ iye tí mo ní nínú àpamọ́ ilé ìfowópamọ́ Union mi.,35:55:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ilé ìfowópamọ́ Union] ]
banking,balance,Yẹ iye tí ó kù nínú àpò ìfowópamọ́ báǹkì mi wò.,,[IN:balance ]
banking,balance,Ǹjé mo ṣì ní owó nínú àpamọ́ Savings mi?,22:36:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpamọ́ Savings] ]
banking,balance,Ṣé mo ní tó ẹgbẹ̀rún mẹ́ta naira nínú àpò ìfowópamọ́ báǹkì mi?,12:32:SL:MONEY,[IN:balance [SL:MONEY ẹgbẹ̀rún mẹ́ta naira] ]
banking,balance,Èló ni ó wà nínú àpò ìfowópamọ́ Zenith báǹkì mi láti bíi oṣù mẹ́ta sẹ́yìn.,"32:44:SL:BANK_NAME,57:73:SL:DATE",[IN:balance [SL:BANK_NAME Zenith báǹkì] [SL:DATE oṣù mẹ́ta sẹ́yìn] ]
banking,balance,"Bá mi wò ó bóyá mo ní tó ₦100,000 ní inú Access banki mi, láti ra aṣọ ","25:33:SL:MONEY,41:53:SL:BANK_NAME,66:69:SL:SHOPPING_ITEM","[IN:balance [SL:MONEY ₦100,000] [SL:BANK_NAME Access banki] [SL:SHOPPING_ITEM aṣọ] ]"
banking,balance,Èló ló ṣẹ́kù nínú àpò ìfowópamọ́ dorm mi?,18:37:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ dorm] ]
banking,balance,Mo fẹ́ mọ iye tó wà nínú àpò ilè-ìfowópamọ́ Diamond mi,29:51:SL:BANK_NAME,[IN:balance [SL:BANK_NAME ilè-ìfowópamọ́ Diamond] ]
banking,balance,Ǹjé owó kankan ṣẹ́kù sí nínú àpò ìfowópamọ́ akẹ́kọ̀ọ́ mi?,29:53:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ akẹ́kọ̀ọ́] ]
banking,balance,Sé iye tí o kù nínú àpamọ́ ile ìfowópamọ́  mi tó ẹgbẹ̀rún méjì Náírà?,49:68:SL:MONEY,[IN:balance [SL:MONEY ẹgbẹ̀rún méjì Náírà] ]
banking,balance,"Ní ìparí oṣù Kejì, èló ni ó ṣẹ́kù nínú àpò ilé-ìfowópamọ́ Wema mi?","9:17:SL:DATE,43:62:SL:BANK_NAME",[IN:balance [SL:DATE oṣù Kejì] [SL:BANK_NAME ilé-ìfowópamọ́ Wema] ]
banking,balance,"Mo ti gba owó oṣù, bíi èló ni àpapọ̀ iye tí mo ní nínú àpò ìfowópamọ́ Wema mi?",70:74:SL:BANK_NAME,[IN:balance [SL:BANK_NAME Wema] ]
