domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,Please check my Dorm wallet and tell me how much I have in it.,10:29:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dorm] ],ACCOUNT_TYPE: àpò ìfowópamọ́ Dorm,yor
banking,balance,"I had about 1,000,000 in my Union bank account last week.","12:22:SL:MONEY,32:52:SL:BANK_NAME,59:74:SL:DATE","[IN:balance [SL:MONEY ₦1,000,000] [SL:BANK_NAME ilè-ìfowópamọ́ Union] [SL:DATE ọ̀sẹ̀ tí ó kọjá] ]","MONEY: ₦1,000,000 $$ BANK_NAME: ilè-ìfowópamọ́ Union $$ DATE: ọ̀sẹ̀ tí ó kọjá",yor
banking,balance,Sáré calculated the amount left in my Dollar wallet from about six months ago.,"31:52:SL:ACCOUNT_TYPE,65:81:SL:DATE",[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] [SL:DATE oṣù mẹ́fà sẹ́yín] ],ACCOUNT_TYPE: àpò ìfowópamọ́ Dollar $$ DATE: oṣù mẹ́fà sẹ́yín,yor
banking,balance,Please check the amount I have in my wallet.,,[IN:balance ],,yor
banking,balance,"Is the balance in my GTB savings account 200,000?","38:41:SL:BANK_NAME,48:56:SL:MONEY","[IN:balance [SL:BANK_NAME GTB] [SL:MONEY ₦200,000] ]","BANK_NAME: GTB $$ MONEY: ₦200,000",yor
banking,balance,How much is in my Dollar wallet?,22:43:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Dollar] ],ACCOUNT_TYPE: àpò ìfowópamọ́ Dollar,yor
banking,balance,"If I withdraw 3,000 from my Firstbank wallet, how much will be left?","12:18:SL:MONEY,44:53:SL:BANK_NAME","[IN:balance [SL:MONEY ₦3,000] [SL:BANK_NAME Firstbank] ]","MONEY: ₦3,000 $$ BANK_NAME: Firstbank",yor
banking,balance,Please check the balance in my Current wallet from about a month ago.,"30:52:SL:ACCOUNT_TYPE,65:79:SL:DATE",[IN:balance [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Current] [SL:DATE oṣù kan sẹ́yìn] ],ACCOUNT_TYPE: àpò ìfowópamọ́ Current $$ DATE: oṣù kan sẹ́yìn,yor
banking,balance,"Let me know if I had about 6,000 naira in the bank safe last month.","27:47:SL:MONEY,78:91:SL:DATE",[IN:balance [SL:MONEY ẹgbẹ̀rún mẹ́fà náírà] [SL:DATE oṣù tí ó kọjá] ],MONEY: ẹgbẹ̀rún mẹ́fà náírà $$ DATE: oṣù tí ó kọjá,yor
banking,balance,"In the last month, how much did I have in my Savings wallet?","3:16:SL:DATE,36:58:SL:ACCOUNT_TYPE",[IN:balance [SL:DATE oṣù tí ó kọjá] [SL:ACCOUNT_TYPE àpò ìfowópamọ́ Savings] ],DATE: oṣù tí ó kọjá $$ ACCOUNT_TYPE: àpò ìfowópamọ́ Savings,yor
