domain,intent,text,spans,logical_form
travel,translate,"Ne twi menye ɖe, ale ke mayɔ ketekee",3:6:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME twi] ]
travel,translate,Keteke ko nàgblɔ le twi me,21:24:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME twi] ]
travel,translate,ale ke miedoa gbe le ŋdi me le ncam me,"21:27:SL:TIME,31:35:SL:LANGUAGE_NAME",[IN:translate [SL:TIME ŋdi me] [SL:LANGUAGE_NAME ncam] ]
travel,translate,le ncam me ya ɖe ale ke woyɔa keteke hã,3:7:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME ncam] ]
travel,translate,fia ŋdigbedodom le ncam me,19:23:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME ncam] ]
travel,translate,ale ke mado ŋdigbe le ncam mee,22:26:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME ncam] ]
travel,translate,"nenye be kotokoli nenye ɖe, ale ke nàgblɔ keteke le tem mee",53:56:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME tem] ]
travel,translate,ale ke mayɔ keteke nenye be kotokoli menye mahã,,[IN:translate ]
travel,translate,ale ke wodoa ŋdigbe le tem me ɖoe,23:26:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME tem] ]
travel,translate,ale ke mobawo yɔa akogo ɖoe,7:11:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME moba] ]
travel,translate,Ale ke mate gblɔ be gamea mesu haɖe o le anufogbe mee,41:49:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME anufogbe] ]
travel,translate,le miadegbe me ɖe ale ke woyɔa sɔ ɖo,,[IN:translate ]
travel,translate,Trɔ ŋdi na wò ɖe anufogbe me mase,18:26:SL:LANGUAGE_NAME,[IN:translate [SL:LANGUAGE_NAME anufogbe] ]
