domain,intent,text,spans,logical_form
banking,balance,Kaazinaa koo maallaqni hangaam akka jiru beeku nan danda'aa,,[IN:balance ]
banking,balance,Maaloo haftee herrega baankii koo amma jiru naaf beeksisu dandessa,,[IN:balance ]
banking,balance,Waliigala herrega baankii koo ammaa maal akka ta'e beekuu nan danda'aa,,[IN:balance ]
banking,balance,Herrega baankii koo keessaa meeqa akkan qabu natti himii,,[IN:balance ]
banking,balance,Maaloo hafteen amma herrega baankii koo hunda irraa jiru natti himuu dandeessa,,[IN:balance ]
banking,balance,Yeroo ammaa kana herrega baankii koo hunda keessaa meeqa akkan qabu ilaaltee natti himu dandeessaa,,[IN:balance ]
banking,balance,Mana jireenya bittachuf mallaqni ani herrega baankii daldalaa irra qabu na gahu danda'aa,45:61:SL:BANK_NAME,[IN:balance [SL:BANK_NAME baankii daldalaa] ]
banking,balance,Maallaqni ani herrega baankii Awaash irra qabu teessoo nyaata bitaachuf gahadha,"22:36:SL:BANK_NAME,47:61:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME baankii Awaash] [SL:SHOPPING_ITEM teessoo nyaata] ]
banking,balance,Koophe bitaachuf maallaqa hammamin herrega baankii koo Hoji Gamtaa Oromiyaa irraa qaba,"0:6:SL:SHOPPING_ITEM,43:75:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM Koophe] [SL:BANK_NAME baankii koo Hoji Gamtaa Oromiyaa] ]
banking,balance,Herrega koo baankii Siinqee irraa maallaqa gahaa meeshaalee mana bitachuuf naaf ta'u qabaachuu koo na mirkaneessuu dandeessa,12:27:SL:BANK_NAME,[IN:balance [SL:BANK_NAME baankii Siinqee] ]
banking,balance,Bittaa uffaata aadaa kanaf herrega baankii Gadaa koo irraa maallaqa gaha akkan qabu na ilaaluu dandeessa,"7:20:SL:SHOPPING_ITEM,35:48:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM uffaata aadaa] [SL:BANK_NAME baankii Gadaa] ]
banking,balance,Herrega baankii koo irraatti maallaqni meeqa akka hafee akkan beekuf na gargarii,,[IN:balance ]
banking,balance,Maaloo haftee herrega bankii koo na beeksisii,,[IN:balance ]
banking,balance,Haftee herrega bankii koo akkan beekuf na gargaruu dandeessa,,[IN:balance ]
banking,balance,Maaloo hafteen herrega baankii koo meeqa akka ta'e na beeksisuu dandeessa,,[IN:balance ]
banking,balance,Herrega baankii koo irraatti maallaqni meeqa akka hafee beeku nan danda'aa,,[IN:balance ]
banking,balance,Hafteen herrega baankii koo hundaa meeqa akka ta'e natti himuu dandeessa,,[IN:balance ]
banking,balance,Maaloo herrega baankii koo irraa mallaqnii meeqa akka jiru naf himii,,[IN:balance ]
banking,balance,Mallaqa yeroo ammaa herrega baankii koo hundaa irra jiru natti himuu dandeessa,,[IN:balance ]
banking,balance,Maallaqa meeqa akkan herrega baankii koo keessa qabu natti himuu dandeessa,,[IN:balance ]
banking,balance,Maaloo Haftee herrega cheekii koo natti himii,14:29:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE herrega cheekii] ]
banking,balance,Haftee herrega cheekii koo naaf ilaaluu dandeessa,7:22:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE herrega cheekii] ]
banking,balance,Maaloo haftee herrega qusannoo koo natti himuu dandeessaa,14:30:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE herrega qusannoo] ]
banking,balance,Herrega qusannoo koo keessa maallaqa meeqa jira,0:16:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE Herrega qusannoo] ]
banking,balance,Herrega qusannoo koo iirraa mallaqni meeqa akka jiru beeku nan danda'aa,0:16:SL:ACCOUNT_TYPE,[IN:balance [SL:ACCOUNT_TYPE Herrega qusannoo] ]
banking,balance,Maallaqa herrega baankii koo keessatti kuufamee natti himu dandeessa,,[IN:balance ]
