domain,intent,text,spans,logical_form,xtreme-up,source_language
banking,balance,I can't even tell you how much money there is.,,[IN:balance ],,orm
banking,balance,Please check every week that my bank account is disabled.,,[IN:balance ],,orm
banking,balance,I can't tell you what the bank is doing.,,[IN:balance ],,orm
banking,balance,So tell me the number of my bank account.,,[IN:balance ],,orm
banking,balance,"Please, if you have a bank account, you can tell me.",,[IN:balance ],,orm
banking,balance,"Now, look at every bank account, and see if you can tell me where I have it.",,[IN:balance ],,orm
banking,balance,"We don't own any property, and the bank that owns the land can't get to us.",45:61:SL:BANK_NAME,[IN:balance [SL:BANK_NAME baankii daldalaa] ],BANK_NAME: baankii daldalaa,orm
banking,balance,"I'm the owner of the bank, and I'm the one who has to pay for the food.","22:36:SL:BANK_NAME,47:61:SL:SHOPPING_ITEM",[IN:balance [SL:BANK_NAME baankii Awaash] [SL:SHOPPING_ITEM teessoo nyaata] ],BANK_NAME: baankii Awaash $$ SHOPPING_ITEM: teessoo nyaata,orm
banking,balance,Koophe bitaachuf has a wealth of knowledge about the bank Hoji Gamtaa Oromiyaa.,"0:6:SL:SHOPPING_ITEM,43:75:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM Koophe] [SL:BANK_NAME baankii koo Hoji Gamtaa Oromiyaa] ],SHOPPING_ITEM: Koophe $$ BANK_NAME: baankii koo Hoji Gamtaa Oromiyaa,orm
banking,balance,So you can guarantee that the Singapore Bank will not buy the handicapped.,12:27:SL:BANK_NAME,[IN:balance [SL:BANK_NAME baankii Siinqee] ],BANK_NAME: baankii Siinqee,orm
banking,balance,"Go to the bank and invest in it, and have enough money to protect us.","7:20:SL:SHOPPING_ITEM,35:48:SL:BANK_NAME",[IN:balance [SL:SHOPPING_ITEM uffaata aadaa] [SL:BANK_NAME baankii Gadaa] ],SHOPPING_ITEM: uffaata aadaa $$ BANK_NAME: baankii Gadaa,orm
banking,balance,"So the bank forgot to tell me where the money was, and I didn't know where it was.",,[IN:balance ],,orm
banking,balance,Please contact us every week,,[IN:balance ],,orm
banking,balance,You can help us with this by contacting our bank.,,[IN:balance ],,orm
